game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
player,201210180sfo,sfo,WillKy01,pass_yds,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_td,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_int,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_sacked,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_sacked_yds,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_long,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_rating,,,,,,
player,201210180sfo,sfo,WillKy01,rush_att,1,,,,,
player,201210180sfo,sfo,WillKy01,rush_yds,3,,,,,
player,201210180sfo,sfo,WillKy01,rush_td,0,,,,,
player,201210180sfo,sfo,WillKy01,rush_long,3,,,,,
player,201210180sfo,sfo,WillKy01,targets,4,,,,,
player,201210180sfo,sfo,WillKy01,rec,1,,,,,
player,201210180sfo,sfo,WillKy01,rec_yds,18,,,,,
player,201210180sfo,sfo,WillKy01,rec_td,0,,,,,
player,201210180sfo,sfo,WillKy01,rec_long,18,,,,,
player,201210180sfo,sfo,WillKy01,fumbles,0,,,,,
player,201210180sfo,sfo,WillKy01,fumbles_lost,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201210180sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201210180sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201210180sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201210180sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201210180sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201210180sfo,sfo,CrabMi00,targets,6,,,,,
player,201210180sfo,sfo,CrabMi00,rec,4,,,,,
player,201210180sfo,sfo,CrabMi00,rec_yds,31,,,,,
player,201210180sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201210180sfo,sfo,CrabMi00,rec_long,16,,,,,
player,201210180sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201210180sfo,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_cmp,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_att,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_yds,0,,,,,
player,201210180sfo,sfo,MossRa00,pass_td,0,,,,,
