game,2012,12,20121125,201211250tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",23
player,201211250tam,atl,WeatSe99,fumbles_rec,0,,,,,
player,201211250tam,atl,WeatSe99,fumbles_rec_yds,0,,,,,
player,201211250tam,atl,WeatSe99,fumbles_rec_td,0,,,,,
player,201211250tam,atl,WeatSe99,fumbles_forced,0,,,,,
player,201211250tam,atl,DentAk00,def_int,0,,,,,
player,201211250tam,atl,DentAk00,def_int_yds,0,,,,,
player,201211250tam,atl,DentAk00,def_int_td,0,,,,,
player,201211250tam,atl,DentAk00,def_int_long,0,,,,,
player,201211250tam,atl,DentAk00,pass_defended,0,,,,,
player,201211250tam,atl,DentAk00,sacks,0.0,,,,,
player,201211250tam,atl,DentAk00,tackles_combined,4,,,,,
player,201211250tam,atl,DentAk00,tackles_solo,4,,,,,
player,201211250tam,atl,DentAk00,tackles_assists,0,,,,,
player,201211250tam,atl,DentAk00,tackles_loss,1,,,,,
player,201211250tam,atl,DentAk00,qb_hits,0,,,,,
player,201211250tam,atl,DentAk00,fumbles_rec,0,,,,,
player,201211250tam,atl,DentAk00,fumbles_rec_yds,0,,,,,
player,201211250tam,atl,DentAk00,fumbles_rec_td,0,,,,,
player,201211250tam,atl,DentAk00,fumbles_forced,0,,,,,
player,201211250tam,atl,PeteCo00,def_int,0,,,,,
player,201211250tam,atl,PeteCo00,def_int_yds,0,,,,,
player,201211250tam,atl,PeteCo00,def_int_td,0,,,,,
player,201211250tam,atl,PeteCo00,def_int_long,0,,,,,
player,201211250tam,atl,PeteCo00,pass_defended,0,,,,,
player,201211250tam,atl,PeteCo00,sacks,0.0,,,,,
player,201211250tam,atl,PeteCo00,tackles_combined,3,,,,,
player,201211250tam,atl,PeteCo00,tackles_solo,1,,,,,
player,201211250tam,atl,PeteCo00,tackles_assists,2,,,,,
player,201211250tam,atl,PeteCo00,tackles_loss,0,,,,,
player,201211250tam,atl,PeteCo00,qb_hits,0,,,,,
player,201211250tam,atl,PeteCo00,fumbles_rec,0,,,,,
player,201211250tam,atl,PeteCo00,fumbles_rec_yds,0,,,,,
