game,2012,15,20121216,201212160ram,min,"Minnesota Vikings",36,ram,"St. Louis Rams",22
player,201212160ram,ram,GiveCh00,pass_int,0,,,,,
player,201212160ram,ram,GiveCh00,pass_sacked,0,,,,,
player,201212160ram,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,GiveCh00,pass_long,0,,,,,
player,201212160ram,ram,GiveCh00,pass_rating,,,,,,
player,201212160ram,ram,GiveCh00,rush_att,0,,,,,
player,201212160ram,ram,GiveCh00,rush_yds,0,,,,,
player,201212160ram,ram,GiveCh00,rush_td,0,,,,,
player,201212160ram,ram,GiveCh00,rush_long,0,,,,,
player,201212160ram,ram,GiveCh00,targets,4,,,,,
player,201212160ram,ram,GiveCh00,rec,1,,,,,
player,201212160ram,ram,GiveCh00,rec_yds,22,,,,,
player,201212160ram,ram,GiveCh00,rec_td,0,,,,,
player,201212160ram,ram,GiveCh00,rec_long,22,,,,,
player,201212160ram,ram,GiveCh00,fumbles,0,,,,,
player,201212160ram,ram,GiveCh00,fumbles_lost,0,,,,,
player,201212160ram,ram,HarkCo00,pass_cmp,0,,,,,
player,201212160ram,ram,HarkCo00,pass_att,0,,,,,
player,201212160ram,ram,HarkCo00,pass_yds,0,,,,,
player,201212160ram,ram,HarkCo00,pass_td,0,,,,,
player,201212160ram,ram,HarkCo00,pass_int,0,,,,,
player,201212160ram,ram,HarkCo00,pass_sacked,0,,,,,
player,201212160ram,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,HarkCo00,pass_long,0,,,,,
player,201212160ram,ram,HarkCo00,pass_rating,,,,,,
player,201212160ram,ram,HarkCo00,rush_att,0,,,,,
player,201212160ram,ram,HarkCo00,rush_yds,0,,,,,
player,201212160ram,ram,HarkCo00,rush_td,0,,,,,
player,201212160ram,ram,HarkCo00,rush_long,0,,,,,
player,201212160ram,ram,HarkCo00,targets,1,,,,,
player,201212160ram,ram,HarkCo00,rec,1,,,,,
player,201212160ram,ram,HarkCo00,rec_yds,21,,,,,
player,201212160ram,ram,HarkCo00,rec_td,0,,,,,
player,201212160ram,ram,HarkCo00,rec_long,21,,,,,
player,201212160ram,ram,HarkCo00,fumbles,0,,,,,
player,201212160ram,ram,HarkCo00,fumbles_lost,0,,,,,
player,201212160ram,ram,QuicBr00,pass_cmp,0,,,,,
player,201212160ram,ram,QuicBr00,pass_att,0,,,,,
player,201212160ram,ram,QuicBr00,pass_yds,0,,,,,
player,201212160ram,ram,QuicBr00,pass_td,0,,,,,
player,201212160ram,ram,QuicBr00,pass_int,0,,,,,
player,201212160ram,ram,QuicBr00,pass_sacked,0,,,,,
player,201212160ram,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,QuicBr00,pass_long,0,,,,,
player,201212160ram,ram,QuicBr00,pass_rating,,,,,,
player,201212160ram,ram,QuicBr00,rush_att,0,,,,,
player,201212160ram,ram,QuicBr00,rush_yds,0,,,,,
player,201212160ram,ram,QuicBr00,rush_td,0,,,,,
player,201212160ram,ram,QuicBr00,rush_long,0,,,,,
player,201212160ram,ram,QuicBr00,targets,3,,,,,
player,201212160ram,ram,QuicBr00,rec,2,,,,,
player,201212160ram,ram,QuicBr00,rec_yds,12,,,,,
player,201212160ram,ram,QuicBr00,rec_td,1,,,,,
player,201212160ram,ram,QuicBr00,rec_long,8,,,,,
player,201212160ram,ram,QuicBr00,fumbles,0,,,,,
player,201212160ram,ram,QuicBr00,fumbles_lost,0,,,,,
player,201212160ram,min,GrifEv99,def_int,1,,,,,
player,201212160ram,min,GrifEv99,def_int_yds,29,,,,,
player,201212160ram,min,GrifEv99,def_int_td,1,,,,,
player,201212160ram,min,GrifEv99,def_int_long,29,,,,,
player,201212160ram,min,GrifEv99,pass_defended,1,,,,,
player,201212160ram,min,GrifEv99,sacks,0.0,,,,,
player,201212160ram,min,GrifEv99,tackles_combined,1,,,,,
player,201212160ram,min,GrifEv99,tackles_solo,1,,,,,
player,201212160ram,min,GrifEv99,tackles_assists,0,,,,,
player,201212160ram,min,GrifEv99,tackles_loss,0,,,,,
player,201212160ram,min,GrifEv99,qb_hits,1,,,,,
player,201212160ram,min,GrifEv99,fumbles_rec,0,,,,,
player,201212160ram,min,GrifEv99,fumbles_rec_yds,0,,,,,
player,201212160ram,min,GrifEv99,fumbles_rec_td,0,,,,,
player,201212160ram,min,GrifEv99,fumbles_forced,0,,,,,
player,201212160ram,min,GreeCh99,def_int,0,,,,,
player,201212160ram,min,GreeCh99,def_int_yds,0,,,,,
player,201212160ram,min,GreeCh99,def_int_td,0,,,,,
player,201212160ram,min,GreeCh99,def_int_long,0,,,,,
player,201212160ram,min,GreeCh99,pass_defended,0,,,,,
player,201212160ram,min,GreeCh99,sacks,1.0,,,,,
player,201212160ram,min,GreeCh99,tackles_combined,14,,,,,
player,201212160ram,min,GreeCh99,tackles_solo,13,,,,,
player,201212160ram,min,GreeCh99,tackles_assists,1,,,,,
player,201212160ram,min,GreeCh99,tackles_loss,2,,,,,
player,201212160ram,min,GreeCh99,qb_hits,1,,,,,
player,201212160ram,min,GreeCh99,fumbles_rec,1,,,,,
player,201212160ram,min,GreeCh99,fumbles_rec_yds,0,,,,,
player,201212160ram,min,GreeCh99,fumbles_rec_td,0,,,,,
player,201212160ram,min,GreeCh99,fumbles_forced,0,,,,,
player,201212160ram,min,BallCh00,def_int,0,,,,,
player,201212160ram,min,BallCh00,def_int_yds,0,,,,,
player,201212160ram,min,BallCh00,def_int_td,0,,,,,
player,201212160ram,min,BallCh00,def_int_long,0,,,,,
player,201212160ram,min,BallCh00,pass_defended,0,,,,,
player,201212160ram,min,BallCh00,sacks,1.0,,,,,
player,201212160ram,min,BallCh00,tackles_combined,3,,,,,
player,201212160ram,min,BallCh00,tackles_solo,3,,,,,
player,201212160ram,min,BallCh00,tackles_assists,0,,,,,
player,201212160ram,min,BallCh00,tackles_loss,1,,,,,
player,201212160ram,min,BallCh00,qb_hits,2,,,,,
player,201212160ram,min,BallCh00,fumbles_rec,0,,,,,
player,201212160ram,min,BallCh00,fumbles_rec_yds,0,,,,,
player,201212160ram,min,BallCh00,fumbles_rec_td,0,,,,,
player,201212160ram,min,BallCh00,fumbles_forced,0,,,,,
player,201212160ram,min,HendEr99,def_int,0,,,,,
player,201212160ram,min,HendEr99,def_int_yds,0,,,,,
player,201212160ram,min,HendEr99,def_int_td,0,,,,,
player,201212160ram,min,HendEr99,def_int_long,0,,,,,
player,201212160ram,min,HendEr99,pass_defended,0,,,,,
player,201212160ram,min,HendEr99,sacks,1.0,,,,,
player,201212160ram,min,HendEr99,tackles_combined,2,,,,,
player,201212160ram,min,HendEr99,tackles_solo,2,,,,,
player,201212160ram,min,HendEr99,tackles_assists,0,,,,,
player,201212160ram,min,HendEr99,tackles_loss,1,,,,,
