game,2012,16,20121223,201212230phi,was,"Washington Redskins",27,phi,"Philadelphia Eagles",20
player,201212230phi,phi,CoopRi00,rec_td,0,,,,,
player,201212230phi,phi,CoopRi00,rec_long,18,,,,,
player,201212230phi,phi,CoopRi00,fumbles,0,,,,,
player,201212230phi,phi,CoopRi00,fumbles_lost,0,,,,,
player,201212230phi,phi,MoorEv00,pass_cmp,0,,,,,
player,201212230phi,phi,MoorEv00,pass_att,0,,,,,
player,201212230phi,phi,MoorEv00,pass_yds,0,,,,,
player,201212230phi,phi,MoorEv00,pass_td,0,,,,,
player,201212230phi,phi,MoorEv00,pass_int,0,,,,,
player,201212230phi,phi,MoorEv00,pass_sacked,0,,,,,
player,201212230phi,phi,MoorEv00,pass_sacked_yds,0,,,,,
player,201212230phi,phi,MoorEv00,pass_long,0,,,,,
player,201212230phi,phi,MoorEv00,pass_rating,,,,,,
player,201212230phi,phi,MoorEv00,rush_att,0,,,,,
player,201212230phi,phi,MoorEv00,rush_yds,0,,,,,
player,201212230phi,phi,MoorEv00,rush_td,0,,,,,
player,201212230phi,phi,MoorEv00,rush_long,0,,,,,
player,201212230phi,phi,MoorEv00,targets,2,,,,,
player,201212230phi,phi,MoorEv00,rec,0,,,,,
player,201212230phi,phi,MoorEv00,rec_yds,0,,,,,
player,201212230phi,phi,MoorEv00,rec_td,0,,,,,
player,201212230phi,phi,MoorEv00,rec_long,0,,,,,
player,201212230phi,phi,MoorEv00,fumbles,0,,,,,
player,201212230phi,phi,MoorEv00,fumbles_lost,0,,,,,
player,201212230phi,was,FletLo20,def_int,1,,,,,
player,201212230phi,was,FletLo20,def_int_yds,9,,,,,
player,201212230phi,was,FletLo20,def_int_td,0,,,,,
player,201212230phi,was,FletLo20,def_int_long,9,,,,,
player,201212230phi,was,FletLo20,pass_defended,1,,,,,
player,201212230phi,was,FletLo20,sacks,0.0,,,,,
player,201212230phi,was,FletLo20,tackles_combined,12,,,,,
player,201212230phi,was,FletLo20,tackles_solo,10,,,,,
player,201212230phi,was,FletLo20,tackles_assists,2,,,,,
player,201212230phi,was,FletLo20,tackles_loss,0,,,,,
player,201212230phi,was,FletLo20,qb_hits,0,,,,,
player,201212230phi,was,FletLo20,fumbles_rec,0,,,,,
player,201212230phi,was,FletLo20,fumbles_rec_yds,0,,,,,
player,201212230phi,was,FletLo20,fumbles_rec_td,0,,,,,
player,201212230phi,was,FletLo20,fumbles_forced,0,,,,,
player,201212230phi,was,KerrRy00,def_int,0,,,,,
player,201212230phi,was,KerrRy00,def_int_yds,0,,,,,
player,201212230phi,was,KerrRy00,def_int_td,0,,,,,
player,201212230phi,was,KerrRy00,def_int_long,0,,,,,
player,201212230phi,was,KerrRy00,pass_defended,0,,,,,
player,201212230phi,was,KerrRy00,sacks,2.0,,,,,
player,201212230phi,was,KerrRy00,tackles_combined,5,,,,,
player,201212230phi,was,KerrRy00,tackles_solo,5,,,,,
player,201212230phi,was,KerrRy00,tackles_assists,0,,,,,
player,201212230phi,was,KerrRy00,tackles_loss,2,,,,,
player,201212230phi,was,KerrRy00,qb_hits,2,,,,,
player,201212230phi,was,KerrRy00,fumbles_rec,0,,,,,
player,201212230phi,was,KerrRy00,fumbles_rec_yds,0,,,,,
player,201212230phi,was,KerrRy00,fumbles_rec_td,0,,,,,
player,201212230phi,was,KerrRy00,fumbles_forced,1,,,,,
player,201212230phi,was,RilePe00,def_int,0,,,,,
player,201212230phi,was,RilePe00,def_int_yds,0,,,,,
player,201212230phi,was,RilePe00,def_int_td,0,,,,,
