game,2012,4,20120930,201209300atl,car,"Carolina Panthers",28,atl,"Atlanta Falcons",30
player,201209300atl,atl,SnelJa00,rush_td,0,,,,,
player,201209300atl,atl,SnelJa00,rush_long,0,,,,,
player,201209300atl,atl,SnelJa00,targets,4,,,,,
player,201209300atl,atl,SnelJa00,rec,3,,,,,
player,201209300atl,atl,SnelJa00,rec_yds,5,,,,,
player,201209300atl,atl,SnelJa00,rec_td,0,,,,,
player,201209300atl,atl,SnelJa00,rec_long,5,,,,,
player,201209300atl,atl,SnelJa00,fumbles,0,,,,,
player,201209300atl,atl,SnelJa00,fumbles_lost,0,,,,,
player,201209300atl,car,NakaHa99,def_int,1,,,,,
player,201209300atl,car,NakaHa99,def_int_yds,21,,,,,
player,201209300atl,car,NakaHa99,def_int_td,0,,,,,
player,201209300atl,car,NakaHa99,def_int_long,21,,,,,
player,201209300atl,car,NakaHa99,pass_defended,2,,,,,
player,201209300atl,car,NakaHa99,sacks,0.0,,,,,
player,201209300atl,car,NakaHa99,tackles_combined,4,,,,,
player,201209300atl,car,NakaHa99,tackles_solo,4,,,,,
player,201209300atl,car,NakaHa99,tackles_assists,0,,,,,
player,201209300atl,car,NakaHa99,tackles_loss,0,,,,,
player,201209300atl,car,NakaHa99,qb_hits,0,,,,,
player,201209300atl,car,NakaHa99,fumbles_rec,0,,,,,
player,201209300atl,car,NakaHa99,fumbles_rec_yds,0,,,,,
player,201209300atl,car,NakaHa99,fumbles_rec_td,0,,,,,
player,201209300atl,car,NakaHa99,fumbles_forced,0,,,,,
player,201209300atl,car,JohnCh98,def_int,0,,,,,
player,201209300atl,car,JohnCh98,def_int_yds,0,,,,,
player,201209300atl,car,JohnCh98,def_int_td,0,,,,,
player,201209300atl,car,JohnCh98,def_int_long,0,,,,,
player,201209300atl,car,JohnCh98,pass_defended,1,,,,,
player,201209300atl,car,JohnCh98,sacks,3.5,,,,,
player,201209300atl,car,JohnCh98,tackles_combined,7,,,,,
player,201209300atl,car,JohnCh98,tackles_solo,6,,,,,
player,201209300atl,car,JohnCh98,tackles_assists,1,,,,,
player,201209300atl,car,JohnCh98,tackles_loss,2,,,,,
player,201209300atl,car,JohnCh98,qb_hits,6,,,,,
player,201209300atl,car,JohnCh98,fumbles_rec,0,,,,,
player,201209300atl,car,JohnCh98,fumbles_rec_yds,0,,,,,
player,201209300atl,car,JohnCh98,fumbles_rec_td,0,,,,,
player,201209300atl,car,JohnCh98,fumbles_forced,0,,,,,
player,201209300atl,car,AlexFr00,def_int,0,,,,,
player,201209300atl,car,AlexFr00,def_int_yds,0,,,,,
player,201209300atl,car,AlexFr00,def_int_td,0,,,,,
player,201209300atl,car,AlexFr00,def_int_long,0,,,,,
player,201209300atl,car,AlexFr00,pass_defended,0,,,,,
player,201209300atl,car,AlexFr00,sacks,1.5,,,,,
player,201209300atl,car,AlexFr00,tackles_combined,2,,,,,
player,201209300atl,car,AlexFr00,tackles_solo,1,,,,,
player,201209300atl,car,AlexFr00,tackles_assists,1,,,,,
player,201209300atl,car,AlexFr00,tackles_loss,1,,,,,
player,201209300atl,car,AlexFr00,qb_hits,3,,,,,
player,201209300atl,car,AlexFr00,fumbles_rec,0,,,,,
player,201209300atl,car,AlexFr00,fumbles_rec_yds,0,,,,,
player,201209300atl,car,AlexFr00,fumbles_rec_td,0,,,,,
player,201209300atl,car,AlexFr00,fumbles_forced,0,,,,,
player,201209300atl,car,EdwaRo20,def_int,0,,,,,
player,201209300atl,car,EdwaRo20,def_int_yds,0,,,,,
player,201209300atl,car,EdwaRo20,def_int_td,0,,,,,
player,201209300atl,car,EdwaRo20,def_int_long,0,,,,,
player,201209300atl,car,EdwaRo20,pass_defended,0,,,,,
player,201209300atl,car,EdwaRo20,sacks,1.0,,,,,
player,201209300atl,car,EdwaRo20,tackles_combined,1,,,,,
player,201209300atl,car,EdwaRo20,tackles_solo,1,,,,,
player,201209300atl,car,EdwaRo20,tackles_assists,0,,,,,
player,201209300atl,car,EdwaRo20,tackles_loss,1,,,,,
