game,2012,5,20121007,201210070clt,gnb,"Green Bay Packers",27,clt,"Indianapolis Colts",30
player,201210070clt,clt,PalmNa00,pass_cmp,0,,,,,
player,201210070clt,clt,PalmNa00,pass_att,0,,,,,
player,201210070clt,clt,PalmNa00,pass_yds,0,,,,,
player,201210070clt,clt,PalmNa00,pass_td,0,,,,,
player,201210070clt,clt,PalmNa00,pass_int,0,,,,,
player,201210070clt,clt,PalmNa00,pass_sacked,0,,,,,
player,201210070clt,clt,PalmNa00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,PalmNa00,pass_long,0,,,,,
player,201210070clt,clt,PalmNa00,pass_rating,,,,,,
player,201210070clt,clt,PalmNa00,rush_att,0,,,,,
player,201210070clt,clt,PalmNa00,rush_yds,0,,,,,
player,201210070clt,clt,PalmNa00,rush_td,0,,,,,
player,201210070clt,clt,PalmNa00,rush_long,0,,,,,
player,201210070clt,clt,PalmNa00,targets,1,,,,,
player,201210070clt,clt,PalmNa00,rec,0,,,,,
player,201210070clt,clt,PalmNa00,rec_yds,0,,,,,
player,201210070clt,clt,PalmNa00,rec_td,0,,,,,
player,201210070clt,clt,PalmNa00,rec_long,0,,,,,
player,201210070clt,clt,PalmNa00,fumbles,0,,,,,
player,201210070clt,clt,PalmNa00,fumbles_lost,0,,,,,
player,201210070clt,gnb,HaywCa00,def_int,1,,,,,
player,201210070clt,gnb,HaywCa00,def_int_yds,0,,,,,
player,201210070clt,gnb,HaywCa00,def_int_td,0,,,,,
player,201210070clt,gnb,HaywCa00,def_int_long,0,,,,,
player,201210070clt,gnb,HaywCa00,pass_defended,1,,,,,
player,201210070clt,gnb,HaywCa00,sacks,0.0,,,,,
player,201210070clt,gnb,HaywCa00,tackles_combined,2,,,,,
player,201210070clt,gnb,HaywCa00,tackles_solo,1,,,,,
player,201210070clt,gnb,HaywCa00,tackles_assists,1,,,,,
player,201210070clt,gnb,HaywCa00,tackles_loss,0,,,,,
player,201210070clt,gnb,HaywCa00,qb_hits,0,,,,,
player,201210070clt,gnb,HaywCa00,fumbles_rec,0,,,,,
player,201210070clt,gnb,HaywCa00,fumbles_rec_yds,0,,,,,
player,201210070clt,gnb,HaywCa00,fumbles_rec_td,0,,,,,
player,201210070clt,gnb,HaywCa00,fumbles_forced,0,,,,,
player,201210070clt,gnb,SmitD.00,def_int,0,,,,,
player,201210070clt,gnb,SmitD.00,def_int_yds,0,,,,,
