game,2012,13,20121202,201212020ram,sfo,"San Francisco 49ers",13,ram,"St. Louis Rams",16
player,201212020ram,sfo,SmitJu20,def_int_long,0,,,,,
player,201212020ram,sfo,SmitJu20,pass_defended,0,,,,,
player,201212020ram,sfo,SmitJu20,sacks,1.0,,,,,
player,201212020ram,sfo,SmitJu20,tackles_combined,8,,,,,
player,201212020ram,sfo,SmitJu20,tackles_solo,8,,,,,
player,201212020ram,sfo,SmitJu20,tackles_assists,0,,,,,
player,201212020ram,sfo,SmitJu20,tackles_loss,3,,,,,
player,201212020ram,sfo,SmitJu20,qb_hits,1,,,,,
player,201212020ram,sfo,SmitJu20,fumbles_rec,0,,,,,
player,201212020ram,sfo,SmitJu20,fumbles_rec_yds,0,,,,,
player,201212020ram,sfo,SmitJu20,fumbles_rec_td,0,,,,,
player,201212020ram,sfo,SmitJu20,fumbles_forced,0,,,,,
player,201212020ram,sfo,SmitAl04,def_int,0,,,,,
player,201212020ram,sfo,SmitAl04,def_int_yds,0,,,,,
player,201212020ram,sfo,SmitAl04,def_int_td,0,,,,,
player,201212020ram,sfo,SmitAl04,def_int_long,0,,,,,
player,201212020ram,sfo,SmitAl04,pass_defended,0,,,,,
player,201212020ram,sfo,SmitAl04,sacks,1.0,,,,,
player,201212020ram,sfo,SmitAl04,tackles_combined,3,,,,,
player,201212020ram,sfo,SmitAl04,tackles_solo,2,,,,,
player,201212020ram,sfo,SmitAl04,tackles_assists,1,,,,,
player,201212020ram,sfo,SmitAl04,tackles_loss,1,,,,,
player,201212020ram,sfo,SmitAl04,qb_hits,2,,,,,
player,201212020ram,sfo,SmitAl04,fumbles_rec,0,,,,,
player,201212020ram,sfo,SmitAl04,fumbles_rec_yds,0,,,,,
player,201212020ram,sfo,SmitAl04,fumbles_rec_td,0,,,,,
player,201212020ram,sfo,SmitAl04,fumbles_forced,0,,,,,
player,201212020ram,sfo,BowmNa99,def_int,0,,,,,
player,201212020ram,sfo,BowmNa99,def_int_yds,0,,,,,
player,201212020ram,sfo,BowmNa99,def_int_td,0,,,,,
player,201212020ram,sfo,BowmNa99,def_int_long,0,,,,,
player,201212020ram,sfo,BowmNa99,pass_defended,0,,,,,
player,201212020ram,sfo,BowmNa99,sacks,0.0,,,,,
player,201212020ram,sfo,BowmNa99,tackles_combined,8,,,,,
player,201212020ram,sfo,BowmNa99,tackles_solo,7,,,,,
player,201212020ram,sfo,BowmNa99,tackles_assists,1,,,,,
