game,2012,9,20121105,201211050nor,phi,"Philadelphia Eagles",13,nor,"New Orleans Saints",28
player,201211050nor,nor,HendDe00,pass_long,0,,,,,
player,201211050nor,nor,HendDe00,pass_rating,,,,,,
player,201211050nor,nor,HendDe00,rush_att,0,,,,,
player,201211050nor,nor,HendDe00,rush_yds,0,,,,,
player,201211050nor,nor,HendDe00,rush_td,0,,,,,
player,201211050nor,nor,HendDe00,rush_long,0,,,,,
player,201211050nor,nor,HendDe00,targets,3,,,,,
player,201211050nor,nor,HendDe00,rec,1,,,,,
player,201211050nor,nor,HendDe00,rec_yds,8,,,,,
player,201211050nor,nor,HendDe00,rec_td,0,,,,,
player,201211050nor,nor,HendDe00,rec_long,8,,,,,
player,201211050nor,nor,HendDe00,fumbles,0,,,,,
player,201211050nor,nor,HendDe00,fumbles_lost,0,,,,,
player,201211050nor,nor,CollJe01,pass_cmp,0,,,,,
player,201211050nor,nor,CollJe01,pass_att,0,,,,,
player,201211050nor,nor,CollJe01,pass_yds,0,,,,,
player,201211050nor,nor,CollJe01,pass_td,0,,,,,
player,201211050nor,nor,CollJe01,pass_int,0,,,,,
player,201211050nor,nor,CollJe01,pass_sacked,0,,,,,
player,201211050nor,nor,CollJe01,pass_sacked_yds,0,,,,,
player,201211050nor,nor,CollJe01,pass_long,0,,,,,
player,201211050nor,nor,CollJe01,pass_rating,,,,,,
player,201211050nor,nor,CollJe01,rush_att,0,,,,,
player,201211050nor,nor,CollJe01,rush_yds,0,,,,,
player,201211050nor,nor,CollJe01,rush_td,0,,,,,
player,201211050nor,nor,CollJe01,rush_long,0,,,,,
player,201211050nor,nor,CollJe01,targets,1,,,,,
player,201211050nor,nor,CollJe01,rec,1,,,,,
player,201211050nor,nor,CollJe01,rec_yds,1,,,,,
player,201211050nor,nor,CollJe01,rec_td,0,,,,,
player,201211050nor,nor,CollJe01,rec_long,1,,,,,
player,201211050nor,nor,CollJe01,fumbles,0,,,,,
player,201211050nor,nor,CollJe01,fumbles_lost,0,,,,,
player,201211050nor,phi,BabiJa20,def_int,0,,,,,
player,201211050nor,phi,BabiJa20,def_int_yds,0,,,,,
player,201211050nor,phi,BabiJa20,def_int_td,0,,,,,
player,201211050nor,phi,BabiJa20,def_int_long,0,,,,,
player,201211050nor,phi,BabiJa20,pass_defended,0,,,,,
player,201211050nor,phi,BabiJa20,sacks,1.0,,,,,
player,201211050nor,phi,BabiJa20,tackles_combined,4,,,,,
player,201211050nor,phi,BabiJa20,tackles_solo,2,,,,,
player,201211050nor,phi,BabiJa20,tackles_assists,2,,,,,
player,201211050nor,phi,BabiJa20,tackles_loss,0,,,,,
player,201211050nor,phi,BabiJa20,qb_hits,2,,,,,
player,201211050nor,phi,BabiJa20,fumbles_rec,0,,,,,
player,201211050nor,phi,BabiJa20,fumbles_rec_yds,0,,,,,
