game,2012,8,20121028,201210280dal,nyg,"New York Giants",29,dal,"Dallas Cowboys",24
player,201210280dal,nyg,PierJa99,qb_hits,1,,,,,
player,201210280dal,nyg,PierJa99,fumbles_rec,0,,,,,
player,201210280dal,nyg,PierJa99,fumbles_rec_yds,0,,,,,
player,201210280dal,nyg,PierJa99,fumbles_rec_td,0,,,,,
player,201210280dal,nyg,PierJa99,fumbles_forced,0,,,,,
player,201210280dal,nyg,WebsCo20,def_int,1,,,,,
player,201210280dal,nyg,WebsCo20,def_int_yds,38,,,,,
player,201210280dal,nyg,WebsCo20,def_int_td,0,,,,,
player,201210280dal,nyg,WebsCo20,def_int_long,38,,,,,
player,201210280dal,nyg,WebsCo20,pass_defended,1,,,,,
player,201210280dal,nyg,WebsCo20,sacks,0.0,,,,,
player,201210280dal,nyg,WebsCo20,tackles_combined,5,,,,,
player,201210280dal,nyg,WebsCo20,tackles_solo,5,,,,,
player,201210280dal,nyg,WebsCo20,tackles_assists,0,,,,,
player,201210280dal,nyg,WebsCo20,tackles_loss,0,,,,,
player,201210280dal,nyg,WebsCo20,qb_hits,0,,,,,
player,201210280dal,nyg,WebsCo20,fumbles_rec,0,,,,,
