game,2016,14,20161211,201612110gnb,sea,"Seattle Seahawks",10,gnb,"Green Bay Packers",38
player,201612110gnb,gnb,AdamDa01,rec_td,1,,,,,
player,201612110gnb,gnb,AdamDa01,rec_long,66,,,,,
player,201612110gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201612110gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_cmp,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_att,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_yds,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_td,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_int,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_sacked,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_long,0,,,,,
player,201612110gnb,gnb,NelsJo00,pass_rating,,,,,,
player,201612110gnb,gnb,NelsJo00,rush_att,0,,,,,
player,201612110gnb,gnb,NelsJo00,rush_yds,0,,,,,
player,201612110gnb,gnb,NelsJo00,rush_td,0,,,,,
player,201612110gnb,gnb,NelsJo00,rush_long,0,,,,,
player,201612110gnb,gnb,NelsJo00,targets,7,,,,,
player,201612110gnb,gnb,NelsJo00,rec,6,,,,,
player,201612110gnb,gnb,NelsJo00,rec_yds,41,,,,,
player,201612110gnb,gnb,NelsJo00,rec_td,2,,,,,
player,201612110gnb,gnb,NelsJo00,rec_long,11,,,,,
player,201612110gnb,gnb,NelsJo00,fumbles,0,,,,,
player,201612110gnb,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_cmp,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_att,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_yds,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_td,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_int,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_sacked,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,CobbRa00,pass_long,0,,,,,
