game,2016,2,20160918,201609180nyg,nor,"New Orleans Saints",13,nyg,"New York Giants",16
player,201609180nyg,nyg,ShepSt00,pass_yds,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_td,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_int,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_sacked,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_long,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_rating,,,,,,
player,201609180nyg,nyg,ShepSt00,rush_att,0,,,,,
player,201609180nyg,nyg,ShepSt00,rush_yds,0,,,,,
player,201609180nyg,nyg,ShepSt00,rush_td,0,,,,,
player,201609180nyg,nyg,ShepSt00,rush_long,0,,,,,
player,201609180nyg,nyg,ShepSt00,targets,8,,,,,
player,201609180nyg,nyg,ShepSt00,rec,8,,,,,
player,201609180nyg,nyg,ShepSt00,rec_yds,117,,,,,
player,201609180nyg,nyg,ShepSt00,rec_td,0,,,,,
player,201609180nyg,nyg,ShepSt00,rec_long,32,,,,,
player,201609180nyg,nyg,ShepSt00,fumbles,0,,,,,
player,201609180nyg,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_cmp,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_att,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_yds,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_td,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_int,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_sacked,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_long,0,,,,,
player,201609180nyg,nyg,CruzVi00,pass_rating,,,,,,
player,201609180nyg,nyg,CruzVi00,rush_att,0,,,,,
player,201609180nyg,nyg,CruzVi00,rush_yds,0,,,,,
player,201609180nyg,nyg,CruzVi00,rush_td,0,,,,,
player,201609180nyg,nyg,CruzVi00,rush_long,0,,,,,
player,201609180nyg,nyg,CruzVi00,targets,8,,,,,
player,201609180nyg,nyg,CruzVi00,rec,4,,,,,
player,201609180nyg,nyg,CruzVi00,rec_yds,91,,,,,
player,201609180nyg,nyg,CruzVi00,rec_td,0,,,,,
player,201609180nyg,nyg,CruzVi00,rec_long,40,,,,,
player,201609180nyg,nyg,CruzVi00,fumbles,1,,,,,
player,201609180nyg,nyg,CruzVi00,fumbles_lost,1,,,,,
player,201609180nyg,nyg,BeckOd00,pass_cmp,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_att,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_yds,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_td,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_int,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_sacked,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_long,0,,,,,
player,201609180nyg,nyg,BeckOd00,pass_rating,,,,,,
player,201609180nyg,nyg,BeckOd00,rush_att,0,,,,,
player,201609180nyg,nyg,BeckOd00,rush_yds,0,,,,,
player,201609180nyg,nyg,BeckOd00,rush_td,0,,,,,
player,201609180nyg,nyg,BeckOd00,rush_long,0,,,,,
player,201609180nyg,nyg,BeckOd00,targets,11,,,,,
player,201609180nyg,nyg,BeckOd00,rec,8,,,,,
player,201609180nyg,nyg,BeckOd00,rec_yds,86,,,,,
player,201609180nyg,nyg,BeckOd00,rec_td,0,,,,,
player,201609180nyg,nyg,BeckOd00,rec_long,17,,,,,
player,201609180nyg,nyg,BeckOd00,fumbles,0,,,,,
player,201609180nyg,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_cmp,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_att,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_yds,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_td,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_int,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_sacked,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_long,0,,,,,
player,201609180nyg,nyg,DonnLa00,pass_rating,,,,,,
player,201609180nyg,nyg,DonnLa00,rush_att,0,,,,,
player,201609180nyg,nyg,DonnLa00,rush_yds,0,,,,,
player,201609180nyg,nyg,DonnLa00,rush_td,0,,,,,
player,201609180nyg,nyg,DonnLa00,rush_long,0,,,,,
player,201609180nyg,nyg,DonnLa00,targets,5,,,,,
player,201609180nyg,nyg,DonnLa00,rec,4,,,,,
player,201609180nyg,nyg,DonnLa00,rec_yds,24,,,,,
player,201609180nyg,nyg,DonnLa00,rec_td,0,,,,,
player,201609180nyg,nyg,DonnLa00,rec_long,12,,,,,
player,201609180nyg,nyg,DonnLa00,fumbles,0,,,,,
player,201609180nyg,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_cmp,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_att,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_yds,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_td,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_int,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_sacked,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_long,0,,,,,
player,201609180nyg,nyg,TyexWi00,pass_rating,,,,,,
player,201609180nyg,nyg,TyexWi00,rush_att,0,,,,,
player,201609180nyg,nyg,TyexWi00,rush_yds,0,,,,,
player,201609180nyg,nyg,TyexWi00,rush_td,0,,,,,
player,201609180nyg,nyg,TyexWi00,rush_long,0,,,,,
player,201609180nyg,nyg,TyexWi00,targets,3,,,,,
player,201609180nyg,nyg,TyexWi00,rec,2,,,,,
player,201609180nyg,nyg,TyexWi00,rec_yds,10,,,,,
player,201609180nyg,nyg,TyexWi00,rec_td,0,,,,,
player,201609180nyg,nyg,TyexWi00,rec_long,5,,,,,
player,201609180nyg,nyg,TyexWi00,fumbles,0,,,,,
player,201609180nyg,nyg,TyexWi00,fumbles_lost,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_cmp,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_att,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_yds,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_td,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_int,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_sacked,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_long,0,,,,,
player,201609180nyg,nyg,DarkOr00,pass_rating,,,,,,
player,201609180nyg,nyg,DarkOr00,rush_att,1,,,,,
player,201609180nyg,nyg,DarkOr00,rush_yds,-1,,,,,
player,201609180nyg,nyg,DarkOr00,rush_td,0,,,,,
player,201609180nyg,nyg,DarkOr00,rush_long,-1,,,,,
player,201609180nyg,nyg,DarkOr00,targets,1,,,,,
player,201609180nyg,nyg,DarkOr00,rec,1,,,,,
player,201609180nyg,nyg,DarkOr00,rec_yds,3,,,,,
