game,2016,4,20161002,201610020htx,oti,"Tennessee Titans",20,htx,"Houston Texans",27
player,201610020htx,oti,McCoJa99,qb_hits,0,,,,,
player,201610020htx,oti,McCoJa99,fumbles_rec,0,,,,,
player,201610020htx,oti,McCoJa99,fumbles_rec_yds,0,,,,,
player,201610020htx,oti,McCoJa99,fumbles_rec_td,0,,,,,
player,201610020htx,oti,McCoJa99,fumbles_forced,0,,,,,
player,201610020htx,oti,OrakBr99,def_int,0,,,,,
player,201610020htx,oti,OrakBr99,def_int_yds,0,,,,,
player,201610020htx,oti,OrakBr99,def_int_td,0,,,,,
player,201610020htx,oti,OrakBr99,def_int_long,0,,,,,
player,201610020htx,oti,OrakBr99,pass_defended,0,,,,,
player,201610020htx,oti,OrakBr99,sacks,1.0,,,,,
player,201610020htx,oti,OrakBr99,tackles_combined,4,,,,,
player,201610020htx,oti,OrakBr99,tackles_solo,1,,,,,
player,201610020htx,oti,OrakBr99,tackles_assists,3,,,,,
player,201610020htx,oti,OrakBr99,tackles_loss,1,,,,,
player,201610020htx,oti,OrakBr99,qb_hits,2,,,,,
player,201610020htx,oti,OrakBr99,fumbles_rec,0,,,,,
player,201610020htx,oti,OrakBr99,fumbles_rec_yds,0,,,,,
player,201610020htx,oti,OrakBr99,fumbles_rec_td,0,,,,,
player,201610020htx,oti,OrakBr99,fumbles_forced,0,,,,,
player,201610020htx,oti,WillAv00,def_int,0,,,,,
player,201610020htx,oti,WillAv00,def_int_yds,0,,,,,
player,201610020htx,oti,WillAv00,def_int_td,0,,,,,
player,201610020htx,oti,WillAv00,def_int_long,0,,,,,
player,201610020htx,oti,WillAv00,pass_defended,0,,,,,
player,201610020htx,oti,WillAv00,sacks,0.0,,,,,
player,201610020htx,oti,WillAv00,tackles_combined,12,,,,,
player,201610020htx,oti,WillAv00,tackles_solo,9,,,,,
player,201610020htx,oti,WillAv00,tackles_assists,3,,,,,
player,201610020htx,oti,WillAv00,tackles_loss,0,,,,,
player,201610020htx,oti,WillAv00,qb_hits,0,,,,,
player,201610020htx,oti,WillAv00,fumbles_rec,0,,,,,
player,201610020htx,oti,WillAv00,fumbles_rec_yds,0,,,,,
player,201610020htx,oti,WillAv00,fumbles_rec_td,0,,,,,
player,201610020htx,oti,WillAv00,fumbles_forced,0,,,,,
player,201610020htx,oti,JohnRa98,def_int,0,,,,,
player,201610020htx,oti,JohnRa98,def_int_yds,0,,,,,
player,201610020htx,oti,JohnRa98,def_int_td,0,,,,,
player,201610020htx,oti,JohnRa98,def_int_long,0,,,,,
player,201610020htx,oti,JohnRa98,pass_defended,1,,,,,
player,201610020htx,oti,JohnRa98,sacks,0.0,,,,,
