game,2016,11,20161120,201611200was,gnb,"Green Bay Packers",24,was,"Washington Redskins",42
player,201611200was,was,HarrMa05,rec_td,0,,,,,
player,201611200was,was,HarrMa05,rec_long,14,,,,,
player,201611200was,was,HarrMa05,fumbles,0,,,,,
player,201611200was,was,HarrMa05,fumbles_lost,0,,,,,
player,201611200was,was,GranRy01,pass_cmp,0,,,,,
player,201611200was,was,GranRy01,pass_att,0,,,,,
player,201611200was,was,GranRy01,pass_yds,0,,,,,
player,201611200was,was,GranRy01,pass_td,0,,,,,
player,201611200was,was,GranRy01,pass_int,0,,,,,
player,201611200was,was,GranRy01,pass_sacked,0,,,,,
player,201611200was,was,GranRy01,pass_sacked_yds,0,,,,,
player,201611200was,was,GranRy01,pass_long,0,,,,,
player,201611200was,was,GranRy01,pass_rating,,,,,,
player,201611200was,was,GranRy01,rush_att,0,,,,,
player,201611200was,was,GranRy01,rush_yds,0,,,,,
player,201611200was,was,GranRy01,rush_td,0,,,,,
player,201611200was,was,GranRy01,rush_long,0,,,,,
player,201611200was,was,GranRy01,targets,1,,,,,
player,201611200was,was,GranRy01,rec,1,,,,,
player,201611200was,was,GranRy01,rec_yds,4,,,,,
player,201611200was,was,GranRy01,rec_td,0,,,,,
player,201611200was,was,GranRy01,rec_long,4,,,,,
player,201611200was,was,GranRy01,fumbles,0,,,,,
player,201611200was,was,GranRy01,fumbles_lost,0,,,,,
player,201611200was,was,DaviVe00,pass_cmp,0,,,,,
player,201611200was,was,DaviVe00,pass_att,0,,,,,
player,201611200was,was,DaviVe00,pass_yds,0,,,,,
player,201611200was,was,DaviVe00,pass_td,0,,,,,
player,201611200was,was,DaviVe00,pass_int,0,,,,,
player,201611200was,was,DaviVe00,pass_sacked,0,,,,,
player,201611200was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201611200was,was,DaviVe00,pass_long,0,,,,,
player,201611200was,was,DaviVe00,pass_rating,,,,,,
player,201611200was,was,DaviVe00,rush_att,0,,,,,
player,201611200was,was,DaviVe00,rush_yds,0,,,,,
player,201611200was,was,DaviVe00,rush_td,0,,,,,
player,201611200was,was,DaviVe00,rush_long,0,,,,,
player,201611200was,was,DaviVe00,targets,1,,,,,
player,201611200was,was,DaviVe00,rec,0,,,,,
player,201611200was,was,DaviVe00,rec_yds,0,,,,,
player,201611200was,was,DaviVe00,rec_td,0,,,,,
player,201611200was,was,DaviVe00,rec_long,0,,,,,
player,201611200was,was,DaviVe00,fumbles,0,,,,,
player,201611200was,was,DaviVe00,fumbles_lost,0,,,,,
player,201611200was,gnb,PerrNi00,def_int,0,,,,,
player,201611200was,gnb,PerrNi00,def_int_yds,0,,,,,
player,201611200was,gnb,PerrNi00,def_int_td,0,,,,,
player,201611200was,gnb,PerrNi00,def_int_long,0,,,,,
