game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
player,201609110phi,phi,AghoNe00,pass_yds,0,,,,,
player,201609110phi,phi,AghoNe00,pass_td,0,,,,,
player,201609110phi,phi,AghoNe00,pass_int,0,,,,,
player,201609110phi,phi,AghoNe00,pass_sacked,0,,,,,
player,201609110phi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,AghoNe00,pass_long,0,,,,,
player,201609110phi,phi,AghoNe00,pass_rating,,,,,,
player,201609110phi,phi,AghoNe00,rush_att,0,,,,,
player,201609110phi,phi,AghoNe00,rush_yds,0,,,,,
player,201609110phi,phi,AghoNe00,rush_td,0,,,,,
player,201609110phi,phi,AghoNe00,rush_long,0,,,,,
player,201609110phi,phi,AghoNe00,targets,5,,,,,
player,201609110phi,phi,AghoNe00,rec,4,,,,,
player,201609110phi,phi,AghoNe00,rec_yds,57,,,,,
player,201609110phi,phi,AghoNe00,rec_td,1,,,,,
player,201609110phi,phi,AghoNe00,rec_long,35,,,,,
player,201609110phi,phi,AghoNe00,fumbles,0,,,,,
player,201609110phi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201609110phi,phi,GreeDo00,pass_cmp,0,,,,,
player,201609110phi,phi,GreeDo00,pass_att,0,,,,,
player,201609110phi,phi,GreeDo00,pass_yds,0,,,,,
player,201609110phi,phi,GreeDo00,pass_td,0,,,,,
player,201609110phi,phi,GreeDo00,pass_int,0,,,,,
player,201609110phi,phi,GreeDo00,pass_sacked,0,,,,,
player,201609110phi,phi,GreeDo00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,GreeDo00,pass_long,0,,,,,
player,201609110phi,phi,GreeDo00,pass_rating,,,,,,
player,201609110phi,phi,GreeDo00,rush_att,0,,,,,
player,201609110phi,phi,GreeDo00,rush_yds,0,,,,,
player,201609110phi,phi,GreeDo00,rush_td,0,,,,,
player,201609110phi,phi,GreeDo00,rush_long,0,,,,,
player,201609110phi,phi,GreeDo00,targets,2,,,,,
player,201609110phi,phi,GreeDo00,rec,2,,,,,
player,201609110phi,phi,GreeDo00,rec_yds,14,,,,,
player,201609110phi,phi,GreeDo00,rec_td,0,,,,,
player,201609110phi,phi,GreeDo00,rec_long,9,,,,,
player,201609110phi,phi,GreeDo00,fumbles,0,,,,,
player,201609110phi,phi,GreeDo00,fumbles_lost,0,,,,,
player,201609110phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201609110phi,phi,CeleBr00,pass_att,0,,,,,
player,201609110phi,phi,CeleBr00,pass_yds,0,,,,,
player,201609110phi,phi,CeleBr00,pass_td,0,,,,,
player,201609110phi,phi,CeleBr00,pass_int,0,,,,,
player,201609110phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201609110phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,CeleBr00,pass_long,0,,,,,
player,201609110phi,phi,CeleBr00,pass_rating,,,,,,
player,201609110phi,phi,CeleBr00,rush_att,0,,,,,
player,201609110phi,phi,CeleBr00,rush_yds,0,,,,,
player,201609110phi,phi,CeleBr00,rush_td,0,,,,,
player,201609110phi,phi,CeleBr00,rush_long,0,,,,,
player,201609110phi,phi,CeleBr00,targets,1,,,,,
player,201609110phi,phi,CeleBr00,rec,1,,,,,
player,201609110phi,phi,CeleBr00,rec_yds,11,,,,,
player,201609110phi,phi,CeleBr00,rec_td,0,,,,,
player,201609110phi,phi,CeleBr00,rec_long,11,,,,,
player,201609110phi,phi,CeleBr00,fumbles,0,,,,,
player,201609110phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201609110phi,phi,HuffJo00,pass_cmp,0,,,,,
