game,2016,14,20161212,201612120nwe,rav,"Baltimore Ravens",23,nwe,"New England Patriots",30
player,201612120nwe,nwe,WhitJa02,rush_yds,3,,,,,
player,201612120nwe,nwe,WhitJa02,rush_td,0,,,,,
player,201612120nwe,nwe,WhitJa02,rush_long,5,,,,,
player,201612120nwe,nwe,WhitJa02,targets,3,,,,,
player,201612120nwe,nwe,WhitJa02,rec,3,,,,,
player,201612120nwe,nwe,WhitJa02,rec_yds,81,,,,,
player,201612120nwe,nwe,WhitJa02,rec_td,0,,,,,
player,201612120nwe,nwe,WhitJa02,rec_long,61,,,,,
player,201612120nwe,nwe,WhitJa02,fumbles,0,,,,,
player,201612120nwe,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_cmp,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_att,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_yds,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_td,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_int,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_sacked,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_long,0,,,,,
player,201612120nwe,nwe,EdelJu00,pass_rating,,,,,,
player,201612120nwe,nwe,EdelJu00,rush_att,0,,,,,
player,201612120nwe,nwe,EdelJu00,rush_yds,0,,,,,
player,201612120nwe,nwe,EdelJu00,rush_td,0,,,,,
player,201612120nwe,nwe,EdelJu00,rush_long,0,,,,,
player,201612120nwe,nwe,EdelJu00,targets,15,,,,,
player,201612120nwe,nwe,EdelJu00,rec,7,,,,,
player,201612120nwe,nwe,EdelJu00,rec_yds,73,,,,,
player,201612120nwe,nwe,EdelJu00,rec_td,0,,,,,
player,201612120nwe,nwe,EdelJu00,rec_long,28,,,,,
player,201612120nwe,nwe,EdelJu00,fumbles,0,,,,,
player,201612120nwe,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_cmp,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_att,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_yds,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_td,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_int,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_sacked,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_long,0,,,,,
player,201612120nwe,nwe,BennMa00,pass_rating,,,,,,
player,201612120nwe,nwe,BennMa00,rush_att,0,,,,,
player,201612120nwe,nwe,BennMa00,rush_yds,0,,,,,
player,201612120nwe,nwe,BennMa00,rush_td,0,,,,,
player,201612120nwe,nwe,BennMa00,rush_long,0,,,,,
player,201612120nwe,nwe,BennMa00,targets,4,,,,,
player,201612120nwe,nwe,BennMa00,rec,4,,,,,
player,201612120nwe,nwe,BennMa00,rec_yds,70,,,,,
player,201612120nwe,nwe,BennMa00,rec_td,1,,,,,
player,201612120nwe,nwe,BennMa00,rec_long,27,,,,,
