game,2016,15,20161218,201612180dal,tam,"Tampa Bay Buccaneers",20,dal,"Dallas Cowboys",26
player,201612180dal,dal,CollMa00,def_int_yds,0,,,,,
player,201612180dal,dal,CollMa00,def_int_td,0,,,,,
player,201612180dal,dal,CollMa00,def_int_long,0,,,,,
player,201612180dal,dal,CollMa00,pass_defended,0,,,,,
player,201612180dal,dal,CollMa00,sacks,1.0,,,,,
player,201612180dal,dal,CollMa00,tackles_combined,1,,,,,
player,201612180dal,dal,CollMa00,tackles_solo,1,,,,,
player,201612180dal,dal,CollMa00,tackles_assists,0,,,,,
player,201612180dal,dal,CollMa00,tackles_loss,0,,,,,
player,201612180dal,dal,CollMa00,qb_hits,2,,,,,
player,201612180dal,dal,CollMa00,fumbles_rec,1,,,,,
player,201612180dal,dal,CollMa00,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,CollMa00,fumbles_rec_td,0,,,,,
player,201612180dal,dal,CollMa00,fumbles_forced,1,,,,,
player,201612180dal,dal,MayoBe00,def_int,0,,,,,
player,201612180dal,dal,MayoBe00,def_int_yds,0,,,,,
player,201612180dal,dal,MayoBe00,def_int_td,0,,,,,
player,201612180dal,dal,MayoBe00,def_int_long,0,,,,,
player,201612180dal,dal,MayoBe00,pass_defended,0,,,,,
player,201612180dal,dal,MayoBe00,sacks,0.5,,,,,
player,201612180dal,dal,MayoBe00,tackles_combined,6,,,,,
player,201612180dal,dal,MayoBe00,tackles_solo,3,,,,,
player,201612180dal,dal,MayoBe00,tackles_assists,3,,,,,
player,201612180dal,dal,MayoBe00,tackles_loss,2,,,,,
player,201612180dal,dal,MayoBe00,qb_hits,1,,,,,
player,201612180dal,dal,MayoBe00,fumbles_rec,0,,,,,
player,201612180dal,dal,MayoBe00,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,MayoBe00,fumbles_rec_td,0,,,,,
player,201612180dal,dal,MayoBe00,fumbles_forced,0,,,,,
player,201612180dal,dal,LeexSe99,def_int,0,,,,,
player,201612180dal,dal,LeexSe99,def_int_yds,0,,,,,
player,201612180dal,dal,LeexSe99,def_int_td,0,,,,,
player,201612180dal,dal,LeexSe99,def_int_long,0,,,,,
player,201612180dal,dal,LeexSe99,pass_defended,0,,,,,
player,201612180dal,dal,LeexSe99,sacks,0.0,,,,,
player,201612180dal,dal,LeexSe99,tackles_combined,10,,,,,
player,201612180dal,dal,LeexSe99,tackles_solo,7,,,,,
player,201612180dal,dal,LeexSe99,tackles_assists,3,,,,,
player,201612180dal,dal,LeexSe99,tackles_loss,1,,,,,
player,201612180dal,dal,LeexSe99,qb_hits,1,,,,,
player,201612180dal,dal,LeexSe99,fumbles_rec,0,,,,,
player,201612180dal,dal,LeexSe99,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,LeexSe99,fumbles_rec_td,0,,,,,
player,201612180dal,dal,LeexSe99,fumbles_forced,0,,,,,
player,201612180dal,dal,ChurBa99,def_int,0,,,,,
player,201612180dal,dal,ChurBa99,def_int_yds,0,,,,,
player,201612180dal,dal,ChurBa99,def_int_td,0,,,,,
player,201612180dal,dal,ChurBa99,def_int_long,0,,,,,
player,201612180dal,dal,ChurBa99,pass_defended,0,,,,,
player,201612180dal,dal,ChurBa99,sacks,0.0,,,,,
player,201612180dal,dal,ChurBa99,tackles_combined,6,,,,,
player,201612180dal,dal,ChurBa99,tackles_solo,5,,,,,
player,201612180dal,dal,ChurBa99,tackles_assists,1,,,,,
player,201612180dal,dal,ChurBa99,tackles_loss,0,,,,,
player,201612180dal,dal,ChurBa99,qb_hits,0,,,,,
player,201612180dal,dal,ChurBa99,fumbles_rec,0,,,,,
player,201612180dal,dal,ChurBa99,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,ChurBa99,fumbles_rec_td,0,,,,,
player,201612180dal,dal,ChurBa99,fumbles_forced,0,,,,,
player,201612180dal,dal,BrowAn02,def_int,0,,,,,
player,201612180dal,dal,BrowAn02,def_int_yds,0,,,,,
player,201612180dal,dal,BrowAn02,def_int_td,0,,,,,
player,201612180dal,dal,BrowAn02,def_int_long,0,,,,,
player,201612180dal,dal,BrowAn02,pass_defended,0,,,,,
player,201612180dal,dal,BrowAn02,sacks,0.0,,,,,
player,201612180dal,dal,BrowAn02,tackles_combined,4,,,,,
player,201612180dal,dal,BrowAn02,tackles_solo,1,,,,,
player,201612180dal,dal,BrowAn02,tackles_assists,3,,,,,
player,201612180dal,dal,BrowAn02,tackles_loss,0,,,,,
player,201612180dal,dal,BrowAn02,qb_hits,0,,,,,
player,201612180dal,dal,BrowAn02,fumbles_rec,0,,,,,
player,201612180dal,dal,BrowAn02,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,BrowAn02,fumbles_rec_td,0,,,,,
player,201612180dal,dal,BrowAn02,fumbles_forced,0,,,,,
player,201612180dal,dal,DuraJu99,def_int,0,,,,,
player,201612180dal,dal,DuraJu99,def_int_yds,0,,,,,
player,201612180dal,dal,DuraJu99,def_int_td,0,,,,,
player,201612180dal,dal,DuraJu99,def_int_long,0,,,,,
