game,2016,12,20161128,201611280phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",13
player,201611280phi,phi,MattJo00,pass_int,0,,,,,
player,201611280phi,phi,MattJo00,pass_sacked,0,,,,,
player,201611280phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,MattJo00,pass_long,0,,,,,
player,201611280phi,phi,MattJo00,pass_rating,,,,,,
player,201611280phi,phi,MattJo00,rush_att,0,,,,,
player,201611280phi,phi,MattJo00,rush_yds,0,,,,,
player,201611280phi,phi,MattJo00,rush_td,0,,,,,
player,201611280phi,phi,MattJo00,rush_long,0,,,,,
player,201611280phi,phi,MattJo00,targets,4,,,,,
player,201611280phi,phi,MattJo00,rec,4,,,,,
player,201611280phi,phi,MattJo00,rec_yds,47,,,,,
player,201611280phi,phi,MattJo00,rec_td,0,,,,,
player,201611280phi,phi,MattJo00,rec_long,20,,,,,
player,201611280phi,phi,MattJo00,fumbles,0,,,,,
player,201611280phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_att,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_td,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_int,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_long,0,,,,,
player,201611280phi,phi,ErtzZa00,pass_rating,,,,,,
player,201611280phi,phi,ErtzZa00,rush_att,0,,,,,
player,201611280phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201611280phi,phi,ErtzZa00,rush_td,0,,,,,
player,201611280phi,phi,ErtzZa00,rush_long,0,,,,,
player,201611280phi,phi,ErtzZa00,targets,6,,,,,
player,201611280phi,phi,ErtzZa00,rec,3,,,,,
player,201611280phi,phi,ErtzZa00,rec_yds,36,,,,,
player,201611280phi,phi,ErtzZa00,rec_td,0,,,,,
player,201611280phi,phi,ErtzZa00,rec_long,16,,,,,
player,201611280phi,phi,ErtzZa00,fumbles,0,,,,,
player,201611280phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201611280phi,phi,BurtTr01,pass_cmp,0,,,,,
player,201611280phi,phi,BurtTr01,pass_att,0,,,,,
player,201611280phi,phi,BurtTr01,pass_yds,0,,,,,
player,201611280phi,phi,BurtTr01,pass_td,0,,,,,
player,201611280phi,phi,BurtTr01,pass_int,0,,,,,
player,201611280phi,phi,BurtTr01,pass_sacked,0,,,,,
player,201611280phi,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201611280phi,phi,BurtTr01,pass_long,0,,,,,
player,201611280phi,phi,BurtTr01,pass_rating,,,,,,
player,201611280phi,phi,BurtTr01,rush_att,0,,,,,
player,201611280phi,phi,BurtTr01,rush_yds,0,,,,,
player,201611280phi,phi,BurtTr01,rush_td,0,,,,,
player,201611280phi,phi,BurtTr01,rush_long,0,,,,,
player,201611280phi,phi,BurtTr01,targets,4,,,,,
player,201611280phi,phi,BurtTr01,rec,3,,,,,
player,201611280phi,phi,BurtTr01,rec_yds,10,,,,,
player,201611280phi,phi,BurtTr01,rec_td,0,,,,,
player,201611280phi,phi,BurtTr01,rec_long,9,,,,,
player,201611280phi,phi,BurtTr01,fumbles,0,,,,,
player,201611280phi,phi,BurtTr01,fumbles_lost,0,,,,,
player,201611280phi,gnb,ClinHa00,def_int,1,,,,,
player,201611280phi,gnb,ClinHa00,def_int_yds,12,,,,,
player,201611280phi,gnb,ClinHa00,def_int_td,0,,,,,
player,201611280phi,gnb,ClinHa00,def_int_long,12,,,,,
player,201611280phi,gnb,ClinHa00,pass_defended,1,,,,,
player,201611280phi,gnb,ClinHa00,sacks,0.0,,,,,
player,201611280phi,gnb,ClinHa00,tackles_combined,3,,,,,
player,201611280phi,gnb,ClinHa00,tackles_solo,3,,,,,
player,201611280phi,gnb,ClinHa00,tackles_assists,0,,,,,
player,201611280phi,gnb,ClinHa00,tackles_loss,0,,,,,
player,201611280phi,gnb,ClinHa00,qb_hits,0,,,,,
player,201611280phi,gnb,ClinHa00,fumbles_rec,0,,,,,
player,201611280phi,gnb,ClinHa00,fumbles_rec_yds,0,,,,,
player,201611280phi,gnb,ClinHa00,fumbles_rec_td,0,,,,,
