game,2016,3,20160925,201609250phi,pit,"Pittsburgh Steelers",3,phi,"Philadelphia Eagles",34
player,201609250phi,phi,BurtTr01,rec_long,16,,,,,
player,201609250phi,phi,BurtTr01,fumbles,0,,,,,
player,201609250phi,phi,BurtTr01,fumbles_lost,0,,,,,
player,201609250phi,phi,SproDa00,pass_cmp,0,,,,,
player,201609250phi,phi,SproDa00,pass_att,0,,,,,
player,201609250phi,phi,SproDa00,pass_yds,0,,,,,
player,201609250phi,phi,SproDa00,pass_td,0,,,,,
player,201609250phi,phi,SproDa00,pass_int,0,,,,,
player,201609250phi,phi,SproDa00,pass_sacked,0,,,,,
player,201609250phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,SproDa00,pass_long,0,,,,,
player,201609250phi,phi,SproDa00,pass_rating,,,,,,
player,201609250phi,phi,SproDa00,rush_att,2,,,,,
player,201609250phi,phi,SproDa00,rush_yds,-1,,,,,
player,201609250phi,phi,SproDa00,rush_td,0,,,,,
player,201609250phi,phi,SproDa00,rush_long,0,,,,,
player,201609250phi,phi,SproDa00,targets,6,,,,,
player,201609250phi,phi,SproDa00,rec,6,,,,,
player,201609250phi,phi,SproDa00,rec_yds,128,,,,,
player,201609250phi,phi,SproDa00,rec_td,1,,,,,
player,201609250phi,phi,SproDa00,rec_long,73,,,,,
player,201609250phi,phi,SproDa00,fumbles,0,,,,,
player,201609250phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201609250phi,phi,MathRy00,pass_cmp,0,,,,,
player,201609250phi,phi,MathRy00,pass_att,0,,,,,
player,201609250phi,phi,MathRy00,pass_yds,0,,,,,
player,201609250phi,phi,MathRy00,pass_td,0,,,,,
player,201609250phi,phi,MathRy00,pass_int,0,,,,,
player,201609250phi,phi,MathRy00,pass_sacked,0,,,,,
player,201609250phi,phi,MathRy00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,MathRy00,pass_long,0,,,,,
