game,2019,13,20191201,201912010kan,rai,"Oakland Raiders",9,kan,"Kansas City Chiefs",40
player,201912010kan,kan,WatkSa00,pass_sacked,0,,,,,
player,201912010kan,kan,WatkSa00,pass_sacked_yds,0,,,,,
player,201912010kan,kan,WatkSa00,pass_long,0,,,,,
player,201912010kan,kan,WatkSa00,pass_rating,,,,,,
player,201912010kan,kan,WatkSa00,rush_att,0,,,,,
player,201912010kan,kan,WatkSa00,rush_yds,0,,,,,
player,201912010kan,kan,WatkSa00,rush_td,0,,,,,
player,201912010kan,kan,WatkSa00,rush_long,0,,,,,
player,201912010kan,kan,WatkSa00,targets,3,,,,,
player,201912010kan,kan,WatkSa00,rec,0,,,,,
player,201912010kan,kan,WatkSa00,rec_yds,0,,,,,
player,201912010kan,kan,WatkSa00,rec_td,0,,,,,
player,201912010kan,kan,WatkSa00,rec_long,0,,,,,
player,201912010kan,kan,WatkSa00,fumbles,0,,,,,
player,201912010kan,kan,WatkSa00,fumbles_lost,0,,,,,
player,201912010kan,kan,BellBl00,pass_cmp,0,,,,,
player,201912010kan,kan,BellBl00,pass_att,0,,,,,
player,201912010kan,kan,BellBl00,pass_yds,0,,,,,
player,201912010kan,kan,BellBl00,pass_td,0,,,,,
player,201912010kan,kan,BellBl00,pass_int,0,,,,,
player,201912010kan,kan,BellBl00,pass_sacked,0,,,,,
player,201912010kan,kan,BellBl00,pass_sacked_yds,0,,,,,
player,201912010kan,kan,BellBl00,pass_long,0,,,,,
player,201912010kan,kan,BellBl00,pass_rating,,,,,,
player,201912010kan,kan,BellBl00,rush_att,0,,,,,
player,201912010kan,kan,BellBl00,rush_yds,0,,,,,
player,201912010kan,kan,BellBl00,rush_td,0,,,,,
player,201912010kan,kan,BellBl00,rush_long,0,,,,,
player,201912010kan,kan,BellBl00,targets,1,,,,,
player,201912010kan,kan,BellBl00,rec,0,,,,,
player,201912010kan,kan,BellBl00,rec_yds,0,,,,,
player,201912010kan,kan,BellBl00,rec_td,0,,,,,
player,201912010kan,kan,BellBl00,rec_long,0,,,,,
player,201912010kan,kan,BellBl00,fumbles,0,,,,,
player,201912010kan,kan,BellBl00,fumbles_lost,0,,,,,
player,201912010kan,kan,MoorMa01,pass_cmp,0,,,,,
player,201912010kan,kan,MoorMa01,pass_att,0,,,,,
player,201912010kan,kan,MoorMa01,pass_yds,0,,,,,
