game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
player,201912080gnb,gnb,LewiMa00,pass_cmp,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_att,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_yds,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_td,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_int,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_sacked,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_long,0,,,,,
player,201912080gnb,gnb,LewiMa00,pass_rating,,,,,,
player,201912080gnb,gnb,LewiMa00,rush_att,0,,,,,
player,201912080gnb,gnb,LewiMa00,rush_yds,0,,,,,
player,201912080gnb,gnb,LewiMa00,rush_td,0,,,,,
player,201912080gnb,gnb,LewiMa00,rush_long,0,,,,,
player,201912080gnb,gnb,LewiMa00,targets,1,,,,,
player,201912080gnb,gnb,LewiMa00,rec,1,,,,,
player,201912080gnb,gnb,LewiMa00,rec_yds,5,,,,,
player,201912080gnb,gnb,LewiMa00,rec_td,0,,,,,
player,201912080gnb,gnb,LewiMa00,rec_long,5,,,,,
player,201912080gnb,gnb,LewiMa00,fumbles,0,,,,,
player,201912080gnb,gnb,LewiMa00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_cmp,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_att,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_yds,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_td,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_int,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_sacked,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_long,0,,,,,
player,201912080gnb,gnb,SterJa00,pass_rating,,,,,,
player,201912080gnb,gnb,SterJa00,rush_att,0,,,,,
player,201912080gnb,gnb,SterJa00,rush_yds,0,,,,,
player,201912080gnb,gnb,SterJa00,rush_td,0,,,,,
player,201912080gnb,gnb,SterJa00,rush_long,0,,,,,
player,201912080gnb,gnb,SterJa00,targets,1,,,,,
player,201912080gnb,gnb,SterJa00,rec,0,,,,,
player,201912080gnb,gnb,SterJa00,rec_yds,0,,,,,
player,201912080gnb,gnb,SterJa00,rec_td,0,,,,,
player,201912080gnb,gnb,SterJa00,rec_long,0,,,,,
player,201912080gnb,gnb,SterJa00,fumbles,0,,,,,
player,201912080gnb,gnb,SterJa00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_cmp,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_att,0,,,,,
player,201912080gnb,gnb,VitaDa00,pass_yds,0,,,,,
