game,2018,17,20181230,201812300rav,cle,"Cleveland Browns",24,rav,"Baltimore Ravens",26
player,201812300rav,rav,BrowJo02,rush_long,0,,,,,
player,201812300rav,rav,BrowJo02,targets,3,,,,,
player,201812300rav,rav,BrowJo02,rec,1,,,,,
player,201812300rav,rav,BrowJo02,rec_yds,7,,,,,
player,201812300rav,rav,BrowJo02,rec_td,0,,,,,
player,201812300rav,rav,BrowJo02,rec_long,7,,,,,
player,201812300rav,rav,BrowJo02,fumbles,0,,,,,
player,201812300rav,rav,BrowJo02,fumbles_lost,0,,,,,
player,201812300rav,rav,WillMa04,pass_cmp,0,,,,,
player,201812300rav,rav,WillMa04,pass_att,0,,,,,
player,201812300rav,rav,WillMa04,pass_yds,0,,,,,
player,201812300rav,rav,WillMa04,pass_td,0,,,,,
player,201812300rav,rav,WillMa04,pass_int,0,,,,,
player,201812300rav,rav,WillMa04,pass_sacked,0,,,,,
player,201812300rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201812300rav,rav,WillMa04,pass_long,0,,,,,
player,201812300rav,rav,WillMa04,pass_rating,,,,,,
player,201812300rav,rav,WillMa04,rush_att,1,,,,,
player,201812300rav,rav,WillMa04,rush_yds,0,,,,,
player,201812300rav,rav,WillMa04,rush_td,0,,,,,
player,201812300rav,rav,WillMa04,rush_long,0,,,,,
player,201812300rav,rav,WillMa04,targets,0,,,,,
player,201812300rav,rav,WillMa04,rec,0,,,,,
player,201812300rav,rav,WillMa04,rec_yds,0,,,,,
player,201812300rav,rav,WillMa04,rec_td,0,,,,,
player,201812300rav,rav,WillMa04,rec_long,0,,,,,
player,201812300rav,rav,WillMa04,fumbles,0,,,,,
player,201812300rav,rav,WillMa04,fumbles_lost,0,,,,,
player,201812300rav,cle,CollJa00,def_int,0,,,,,
player,201812300rav,cle,CollJa00,def_int_yds,0,,,,,
player,201812300rav,cle,CollJa00,def_int_td,0,,,,,
player,201812300rav,cle,CollJa00,def_int_long,0,,,,,
player,201812300rav,cle,CollJa00,pass_defended,0,,,,,
player,201812300rav,cle,CollJa00,sacks,1.0,,,,,
player,201812300rav,cle,CollJa00,tackles_combined,9,,,,,
player,201812300rav,cle,CollJa00,tackles_solo,7,,,,,
player,201812300rav,cle,CollJa00,tackles_assists,2,,,,,
player,201812300rav,cle,CollJa00,tackles_loss,1,,,,,
player,201812300rav,cle,CollJa00,qb_hits,1,,,,,
player,201812300rav,cle,CollJa00,fumbles_rec,0,,,,,
player,201812300rav,cle,CollJa00,fumbles_rec_yds,0,,,,,
player,201812300rav,cle,CollJa00,fumbles_rec_td,0,,,,,
player,201812300rav,cle,CollJa00,fumbles_forced,0,,,,,
player,201812300rav,cle,GarrMy00,def_int,0,,,,,
player,201812300rav,cle,GarrMy00,def_int_yds,0,,,,,
player,201812300rav,cle,GarrMy00,def_int_td,0,,,,,
player,201812300rav,cle,GarrMy00,def_int_long,0,,,,,
player,201812300rav,cle,GarrMy00,pass_defended,0,,,,,
player,201812300rav,cle,GarrMy00,sacks,1.0,,,,,
player,201812300rav,cle,GarrMy00,tackles_combined,1,,,,,
player,201812300rav,cle,GarrMy00,tackles_solo,1,,,,,
player,201812300rav,cle,GarrMy00,tackles_assists,0,,,,,
player,201812300rav,cle,GarrMy00,tackles_loss,1,,,,,
player,201812300rav,cle,GarrMy00,qb_hits,1,,,,,
player,201812300rav,cle,GarrMy00,fumbles_rec,0,,,,,
