game,2018,11,20181119,201811190ram,kan,"Kansas City Chiefs",51,ram,"Los Angeles Rams",54
player,201811190ram,kan,HousJu00,fumbles_rec_td,0,,,,,
player,201811190ram,kan,HousJu00,fumbles_forced,1,,,,,
player,201811190ram,kan,WillXa00,def_int,0,,,,,
player,201811190ram,kan,WillXa00,def_int_yds,0,,,,,
player,201811190ram,kan,WillXa00,def_int_td,0,,,,,
player,201811190ram,kan,WillXa00,def_int_long,0,,,,,
player,201811190ram,kan,WillXa00,pass_defended,0,,,,,
player,201811190ram,kan,WillXa00,sacks,1.0,,,,,
player,201811190ram,kan,WillXa00,tackles_combined,4,,,,,
player,201811190ram,kan,WillXa00,tackles_solo,3,,,,,
player,201811190ram,kan,WillXa00,tackles_assists,1,,,,,
player,201811190ram,kan,WillXa00,tackles_loss,1,,,,,
player,201811190ram,kan,WillXa00,qb_hits,1,,,,,
player,201811190ram,kan,WillXa00,fumbles_rec,0,,,,,
player,201811190ram,kan,WillXa00,fumbles_rec_yds,0,,,,,
player,201811190ram,kan,WillXa00,fumbles_rec_td,0,,,,,
player,201811190ram,kan,WillXa00,fumbles_forced,0,,,,,
player,201811190ram,kan,BailAl00,def_int,0,,,,,
player,201811190ram,kan,BailAl00,def_int_yds,0,,,,,
player,201811190ram,kan,BailAl00,def_int_td,0,,,,,
player,201811190ram,kan,BailAl00,def_int_long,0,,,,,
player,201811190ram,kan,BailAl00,pass_defended,0,,,,,
player,201811190ram,kan,BailAl00,sacks,1.0,,,,,
player,201811190ram,kan,BailAl00,tackles_combined,1,,,,,
player,201811190ram,kan,BailAl00,tackles_solo,1,,,,,
player,201811190ram,kan,BailAl00,tackles_assists,0,,,,,
player,201811190ram,kan,BailAl00,tackles_loss,0,,,,,
player,201811190ram,kan,BailAl00,qb_hits,1,,,,,
player,201811190ram,kan,BailAl00,fumbles_rec,2,,,,,
player,201811190ram,kan,BailAl00,fumbles_rec_yds,2,,,,,
player,201811190ram,kan,BailAl00,fumbles_rec_td,1,,,,,
player,201811190ram,kan,BailAl00,fumbles_forced,0,,,,,
player,201811190ram,kan,ParkRo01,def_int,0,,,,,
player,201811190ram,kan,ParkRo01,def_int_yds,0,,,,,
player,201811190ram,kan,ParkRo01,def_int_td,0,,,,,
player,201811190ram,kan,ParkRo01,def_int_long,0,,,,,
