game,2018,1,20180909,201809090car,dal,"Dallas Cowboys",8,car,"Carolina Panthers",16
player,201809090car,car,MoorD.00,rush_yds,3,,,,,
player,201809090car,car,MoorD.00,rush_td,0,,,,,
player,201809090car,car,MoorD.00,rush_long,3,,,,,
player,201809090car,car,MoorD.00,targets,0,,,,,
player,201809090car,car,MoorD.00,rec,0,,,,,
player,201809090car,car,MoorD.00,rec_yds,0,,,,,
player,201809090car,car,MoorD.00,rec_td,0,,,,,
player,201809090car,car,MoorD.00,rec_long,0,,,,,
player,201809090car,car,MoorD.00,fumbles,0,,,,,
player,201809090car,car,MoorD.00,fumbles_lost,0,,,,,
player,201809090car,car,ArmaAl00,pass_cmp,0,,,,,
player,201809090car,car,ArmaAl00,pass_att,0,,,,,
player,201809090car,car,ArmaAl00,pass_yds,0,,,,,
player,201809090car,car,ArmaAl00,pass_td,0,,,,,
player,201809090car,car,ArmaAl00,pass_int,0,,,,,
player,201809090car,car,ArmaAl00,pass_sacked,0,,,,,
player,201809090car,car,ArmaAl00,pass_sacked_yds,0,,,,,
player,201809090car,car,ArmaAl00,pass_long,0,,,,,
player,201809090car,car,ArmaAl00,pass_rating,,,,,,
player,201809090car,car,ArmaAl00,rush_att,1,,,,,
player,201809090car,car,ArmaAl00,rush_yds,1,,,,,
player,201809090car,car,ArmaAl00,rush_td,1,,,,,
player,201809090car,car,ArmaAl00,rush_long,1,,,,,
player,201809090car,car,ArmaAl00,targets,0,,,,,
player,201809090car,car,ArmaAl00,rec,0,,,,,
player,201809090car,car,ArmaAl00,rec_yds,0,,,,,
player,201809090car,car,ArmaAl00,rec_td,0,,,,,
player,201809090car,car,ArmaAl00,rec_long,0,,,,,
player,201809090car,car,ArmaAl00,fumbles,0,,,,,
player,201809090car,car,ArmaAl00,fumbles_lost,0,,,,,
player,201809090car,car,FuncDe00,pass_cmp,0,,,,,
player,201809090car,car,FuncDe00,pass_att,0,,,,,
player,201809090car,car,FuncDe00,pass_yds,0,,,,,
player,201809090car,car,FuncDe00,pass_td,0,,,,,
player,201809090car,car,FuncDe00,pass_int,0,,,,,
player,201809090car,car,FuncDe00,pass_sacked,0,,,,,
player,201809090car,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201809090car,car,FuncDe00,pass_long,0,,,,,
player,201809090car,car,FuncDe00,pass_rating,,,,,,
player,201809090car,car,FuncDe00,rush_att,0,,,,,
player,201809090car,car,FuncDe00,rush_yds,0,,,,,
player,201809090car,car,FuncDe00,rush_td,0,,,,,
player,201809090car,car,FuncDe00,rush_long,0,,,,,
player,201809090car,car,FuncDe00,targets,5,,,,,
player,201809090car,car,FuncDe00,rec,3,,,,,
player,201809090car,car,FuncDe00,rec_yds,41,,,,,
player,201809090car,car,FuncDe00,rec_td,0,,,,,
player,201809090car,car,FuncDe00,rec_long,15,,,,,
player,201809090car,car,FuncDe00,fumbles,0,,,,,
player,201809090car,car,FuncDe00,fumbles_lost,0,,,,,
player,201809090car,car,OlseGr00,pass_cmp,0,,,,,
player,201809090car,car,OlseGr00,pass_att,0,,,,,
player,201809090car,car,OlseGr00,pass_yds,0,,,,,
player,201809090car,car,OlseGr00,pass_td,0,,,,,
player,201809090car,car,OlseGr00,pass_int,0,,,,,
player,201809090car,car,OlseGr00,pass_sacked,0,,,,,
player,201809090car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201809090car,car,OlseGr00,pass_long,0,,,,,
player,201809090car,car,OlseGr00,pass_rating,,,,,,
player,201809090car,car,OlseGr00,rush_att,0,,,,,
player,201809090car,car,OlseGr00,rush_yds,0,,,,,
player,201809090car,car,OlseGr00,rush_td,0,,,,,
player,201809090car,car,OlseGr00,rush_long,0,,,,,
player,201809090car,car,OlseGr00,targets,2,,,,,
player,201809090car,car,OlseGr00,rec,2,,,,,
player,201809090car,car,OlseGr00,rec_yds,33,,,,,
player,201809090car,car,OlseGr00,rec_td,0,,,,,
player,201809090car,car,OlseGr00,rec_long,19,,,,,
player,201809090car,car,OlseGr00,fumbles,0,,,,,
player,201809090car,car,OlseGr00,fumbles_lost,0,,,,,
player,201809090car,car,WrigJa02,pass_cmp,0,,,,,
player,201809090car,car,WrigJa02,pass_att,0,,,,,
player,201809090car,car,WrigJa02,pass_yds,0,,,,,
player,201809090car,car,WrigJa02,pass_td,0,,,,,
player,201809090car,car,WrigJa02,pass_int,0,,,,,
player,201809090car,car,WrigJa02,pass_sacked,0,,,,,
player,201809090car,car,WrigJa02,pass_sacked_yds,0,,,,,
player,201809090car,car,WrigJa02,pass_long,0,,,,,
player,201809090car,car,WrigJa02,pass_rating,,,,,,
player,201809090car,car,WrigJa02,rush_att,0,,,,,
player,201809090car,car,WrigJa02,rush_yds,0,,,,,
player,201809090car,car,WrigJa02,rush_td,0,,,,,
player,201809090car,car,WrigJa02,rush_long,0,,,,,
player,201809090car,car,WrigJa02,targets,5,,,,,
player,201809090car,car,WrigJa02,rec,3,,,,,
player,201809090car,car,WrigJa02,rec_yds,23,,,,,
player,201809090car,car,WrigJa02,rec_td,0,,,,,
player,201809090car,car,WrigJa02,rec_long,10,,,,,
player,201809090car,car,WrigJa02,fumbles,1,,,,,
player,201809090car,car,WrigJa02,fumbles_lost,0,,,,,
player,201809090car,car,SmitTo02,pass_cmp,0,,,,,
player,201809090car,car,SmitTo02,pass_att,0,,,,,
player,201809090car,car,SmitTo02,pass_yds,0,,,,,
player,201809090car,car,SmitTo02,pass_td,0,,,,,
player,201809090car,car,SmitTo02,pass_int,0,,,,,
player,201809090car,car,SmitTo02,pass_sacked,0,,,,,
player,201809090car,car,SmitTo02,pass_sacked_yds,0,,,,,
player,201809090car,car,SmitTo02,pass_long,0,,,,,
player,201809090car,car,SmitTo02,pass_rating,,,,,,
player,201809090car,car,SmitTo02,rush_att,0,,,,,
player,201809090car,car,SmitTo02,rush_yds,0,,,,,
player,201809090car,car,SmitTo02,rush_td,0,,,,,
player,201809090car,car,SmitTo02,rush_long,0,,,,,
player,201809090car,car,SmitTo02,targets,2,,,,,
player,201809090car,car,SmitTo02,rec,1,,,,,
player,201809090car,car,SmitTo02,rec_yds,15,,,,,
player,201809090car,car,SmitTo02,rec_td,0,,,,,
player,201809090car,car,SmitTo02,rec_long,15,,,,,
player,201809090car,car,SmitTo02,fumbles,0,,,,,
player,201809090car,car,SmitTo02,fumbles_lost,0,,,,,
player,201809090car,car,ThomIa00,pass_cmp,0,,,,,
player,201809090car,car,ThomIa00,pass_att,0,,,,,
player,201809090car,car,ThomIa00,pass_yds,0,,,,,
player,201809090car,car,ThomIa00,pass_td,0,,,,,
player,201809090car,car,ThomIa00,pass_int,0,,,,,
player,201809090car,car,ThomIa00,pass_sacked,0,,,,,
player,201809090car,car,ThomIa00,pass_sacked_yds,0,,,,,
player,201809090car,car,ThomIa00,pass_long,0,,,,,
player,201809090car,car,ThomIa00,pass_rating,,,,,,
player,201809090car,car,ThomIa00,rush_att,0,,,,,
player,201809090car,car,ThomIa00,rush_yds,0,,,,,
player,201809090car,car,ThomIa00,rush_td,0,,,,,
player,201809090car,car,ThomIa00,rush_long,0,,,,,
player,201809090car,car,ThomIa00,targets,2,,,,,
player,201809090car,car,ThomIa00,rec,2,,,,,
player,201809090car,car,ThomIa00,rec_yds,4,,,,,
player,201809090car,car,ThomIa00,rec_td,0,,,,,
player,201809090car,car,ThomIa00,rec_long,7,,,,,
player,201809090car,car,ThomIa00,fumbles,0,,,,,
player,201809090car,car,ThomIa00,fumbles_lost,0,,,,,
player,201809090car,dal,LawrDe00,def_int,0,,,,,
player,201809090car,dal,LawrDe00,def_int_yds,0,,,,,
player,201809090car,dal,LawrDe00,def_int_td,0,,,,,
player,201809090car,dal,LawrDe00,def_int_long,0,,,,,
player,201809090car,dal,LawrDe00,pass_defended,0,,,,,
player,201809090car,dal,LawrDe00,sacks,1.0,,,,,
player,201809090car,dal,LawrDe00,tackles_combined,7,,,,,
player,201809090car,dal,LawrDe00,tackles_solo,6,,,,,
player,201809090car,dal,LawrDe00,tackles_assists,1,,,,,
player,201809090car,dal,LawrDe00,tackles_loss,3,,,,,
player,201809090car,dal,LawrDe00,qb_hits,1,,,,,
player,201809090car,dal,LawrDe00,fumbles_rec,1,,,,,
player,201809090car,dal,LawrDe00,fumbles_rec_yds,10,,,,,
player,201809090car,dal,LawrDe00,fumbles_rec_td,0,,,,,
player,201809090car,dal,LawrDe00,fumbles_forced,0,,,,,
player,201809090car,dal,SmitJa05,def_int,0,,,,,
player,201809090car,dal,SmitJa05,def_int_yds,0,,,,,
player,201809090car,dal,SmitJa05,def_int_td,0,,,,,
player,201809090car,dal,SmitJa05,def_int_long,0,,,,,
player,201809090car,dal,SmitJa05,pass_defended,0,,,,,
player,201809090car,dal,SmitJa05,sacks,1.0,,,,,
player,201809090car,dal,SmitJa05,tackles_combined,4,,,,,
player,201809090car,dal,SmitJa05,tackles_solo,3,,,,,
player,201809090car,dal,SmitJa05,tackles_assists,1,,,,,
player,201809090car,dal,SmitJa05,tackles_loss,0,,,,,
player,201809090car,dal,SmitJa05,qb_hits,1,,,,,
player,201809090car,dal,SmitJa05,fumbles_rec,0,,,,,
