game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
player,201811110tam,tam,HumpAd00,fumbles,0,,,,,
player,201811110tam,tam,HumpAd00,fumbles_lost,0,,,,,
player,201811110tam,tam,EvanMi00,pass_cmp,0,,,,,
player,201811110tam,tam,EvanMi00,pass_att,0,,,,,
player,201811110tam,tam,EvanMi00,pass_yds,0,,,,,
player,201811110tam,tam,EvanMi00,pass_td,0,,,,,
player,201811110tam,tam,EvanMi00,pass_int,0,,,,,
player,201811110tam,tam,EvanMi00,pass_sacked,0,,,,,
player,201811110tam,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,EvanMi00,pass_long,0,,,,,
player,201811110tam,tam,EvanMi00,pass_rating,,,,,,
player,201811110tam,tam,EvanMi00,rush_att,0,,,,,
player,201811110tam,tam,EvanMi00,rush_yds,0,,,,,
player,201811110tam,tam,EvanMi00,rush_td,0,,,,,
player,201811110tam,tam,EvanMi00,rush_long,0,,,,,
player,201811110tam,tam,EvanMi00,targets,6,,,,,
player,201811110tam,tam,EvanMi00,rec,3,,,,,
player,201811110tam,tam,EvanMi00,rec_yds,51,,,,,
player,201811110tam,tam,EvanMi00,rec_td,0,,,,,
player,201811110tam,tam,EvanMi00,rec_long,23,,,,,
player,201811110tam,tam,EvanMi00,fumbles,0,,,,,
player,201811110tam,tam,EvanMi00,fumbles_lost,0,,,,,
player,201811110tam,tam,HowaO.00,pass_cmp,0,,,,,
player,201811110tam,tam,HowaO.00,pass_att,0,,,,,
player,201811110tam,tam,HowaO.00,pass_yds,0,,,,,
player,201811110tam,tam,HowaO.00,pass_td,0,,,,,
player,201811110tam,tam,HowaO.00,pass_int,0,,,,,
player,201811110tam,tam,HowaO.00,pass_sacked,0,,,,,
player,201811110tam,tam,HowaO.00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,HowaO.00,pass_long,0,,,,,
player,201811110tam,tam,HowaO.00,pass_rating,,,,,,
player,201811110tam,tam,HowaO.00,rush_att,0,,,,,
player,201811110tam,tam,HowaO.00,rush_yds,0,,,,,
player,201811110tam,tam,HowaO.00,rush_td,0,,,,,
