game,2018,9,20181104,201811040car,tam,"Tampa Bay Buccaneers",28,car,"Carolina Panthers",42
player,201811040car,tam,CrosAl00,rec_drop_pct,0.0,,,,,
player,201811040car,car,OlseGr00,targets,6,,,,,
player,201811040car,car,OlseGr00,rec,6,,,,,
player,201811040car,car,OlseGr00,rec_yds,76,,,,,
player,201811040car,car,OlseGr00,rec_first_down,4,,,,,
player,201811040car,car,OlseGr00,rec_air_yds,49,,,,,
player,201811040car,car,OlseGr00,rec_air_yds_per_rec,8.2,,,,,
player,201811040car,car,OlseGr00,rec_yac,27,,,,,
player,201811040car,car,OlseGr00,rec_yac_per_rec,4.5,,,,,
player,201811040car,car,OlseGr00,rec_broken_tackles,0,,,,,
player,201811040car,car,OlseGr00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,car,OlseGr00,rec_drops,0,,,,,
player,201811040car,car,OlseGr00,rec_drop_pct,0.0,,,,,
player,201811040car,car,McCaCh01,targets,6,,,,,
player,201811040car,car,McCaCh01,rec,5,,,,,
player,201811040car,car,McCaCh01,rec_yds,78,,,,,
player,201811040car,car,McCaCh01,rec_first_down,2,,,,,
player,201811040car,car,McCaCh01,rec_air_yds,-4,,,,,
player,201811040car,car,McCaCh01,rec_air_yds_per_rec,-0.8,,,,,
player,201811040car,car,McCaCh01,rec_yac,82,,,,,
player,201811040car,car,McCaCh01,rec_yac_per_rec,16.4,,,,,
player,201811040car,car,McCaCh01,rec_broken_tackles,1,,,,,
player,201811040car,car,McCaCh01,rec_broken_tackles_per_rec,5.0,,,,,
player,201811040car,car,McCaCh01,rec_drops,0,,,,,
player,201811040car,car,McCaCh01,rec_drop_pct,0.0,,,,,
player,201811040car,car,FuncDe00,targets,5,,,,,
player,201811040car,car,FuncDe00,rec,4,,,,,
player,201811040car,car,FuncDe00,rec_yds,44,,,,,
player,201811040car,car,FuncDe00,rec_first_down,2,,,,,
player,201811040car,car,FuncDe00,rec_air_yds,37,,,,,
player,201811040car,car,FuncDe00,rec_air_yds_per_rec,9.3,,,,,
player,201811040car,car,FuncDe00,rec_yac,7,,,,,
player,201811040car,car,FuncDe00,rec_yac_per_rec,1.8,,,,,
player,201811040car,car,FuncDe00,rec_broken_tackles,0,,,,,
player,201811040car,car,FuncDe00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,car,FuncDe00,rec_drops,0,,,,,
player,201811040car,car,FuncDe00,rec_drop_pct,0.0,,,,,
player,201811040car,car,SamuCu00,targets,4,,,,,
player,201811040car,car,SamuCu00,rec,2,,,,,
player,201811040car,car,SamuCu00,rec_yds,25,,,,,
player,201811040car,car,SamuCu00,rec_first_down,1,,,,,
player,201811040car,car,SamuCu00,rec_air_yds,15,,,,,
player,201811040car,car,SamuCu00,rec_air_yds_per_rec,7.5,,,,,
player,201811040car,car,SamuCu00,rec_yac,10,,,,,
player,201811040car,car,SamuCu00,rec_yac_per_rec,5.0,,,,,
player,201811040car,car,SamuCu00,rec_broken_tackles,0,,,,,
player,201811040car,car,SamuCu00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,car,SamuCu00,rec_drops,1,,,,,
