game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
player,201811250car,sea,DaviMi01,rec_air_yds_per_rec,,,,,,
player,201811250car,sea,DaviMi01,rec_yac,0,,,,,
player,201811250car,sea,DaviMi01,rec_yac_per_rec,,,,,,
player,201811250car,sea,DaviMi01,rec_broken_tackles,0,,,,,
player,201811250car,sea,DaviMi01,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,DaviMi01,rec_drops,1,,,,,
player,201811250car,sea,DaviMi01,rec_drop_pct,100.0,,,,,
player,201811250car,sea,BrowJa03,targets,1,,,,,
player,201811250car,sea,BrowJa03,rec,0,,,,,
player,201811250car,sea,BrowJa03,rec_yds,0,,,,,
player,201811250car,sea,BrowJa03,rec_first_down,,,,,,
player,201811250car,sea,BrowJa03,rec_air_yds,0,,,,,
player,201811250car,sea,BrowJa03,rec_air_yds_per_rec,,,,,,
player,201811250car,sea,BrowJa03,rec_yac,0,,,,,
player,201811250car,sea,BrowJa03,rec_yac_per_rec,,,,,,
player,201811250car,sea,BrowJa03,rec_broken_tackles,0,,,,,
player,201811250car,sea,BrowJa03,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,BrowJa03,rec_drops,0,,,,,
player,201811250car,sea,BrowJa03,rec_drop_pct,0.0,,,,,
player,201811250car,car,McCaCh01,targets,11,,,,,
player,201811250car,car,McCaCh01,rec,11,,,,,
player,201811250car,car,McCaCh01,rec_yds,112,,,,,
player,201811250car,car,McCaCh01,rec_first_down,6,,,,,
player,201811250car,car,McCaCh01,rec_air_yds,-10,,,,,
player,201811250car,car,McCaCh01,rec_air_yds_per_rec,-0.9,,,,,
player,201811250car,car,McCaCh01,rec_yac,122,,,,,
player,201811250car,car,McCaCh01,rec_yac_per_rec,11.1,,,,,
player,201811250car,car,McCaCh01,rec_broken_tackles,0,,,,,
player,201811250car,car,McCaCh01,rec_broken_tackles_per_rec,,,,,,
player,201811250car,car,McCaCh01,rec_drops,0,,,,,
player,201811250car,car,McCaCh01,rec_drop_pct,0.0,,,,,
player,201811250car,car,MoorD.00,targets,9,,,,,
player,201811250car,car,MoorD.00,rec,8,,,,,
player,201811250car,car,MoorD.00,rec_yds,91,,,,,
player,201811250car,car,MoorD.00,rec_first_down,4,,,,,
player,201811250car,car,MoorD.00,rec_air_yds,65,,,,,
player,201811250car,car,MoorD.00,rec_air_yds_per_rec,8.1,,,,,
player,201811250car,car,MoorD.00,rec_yac,26,,,,,
player,201811250car,car,MoorD.00,rec_yac_per_rec,3.3,,,,,
player,201811250car,car,MoorD.00,rec_broken_tackles,0,,,,,
player,201811250car,car,MoorD.00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,car,MoorD.00,rec_drops,0,,,,,
player,201811250car,car,MoorD.00,rec_drop_pct,0.0,,,,,
player,201811250car,car,OlseGr00,targets,4,,,,,
player,201811250car,car,OlseGr00,rec,2,,,,,
player,201811250car,car,OlseGr00,rec_yds,11,,,,,
player,201811250car,car,OlseGr00,rec_first_down,,,,,,
player,201811250car,car,OlseGr00,rec_air_yds,8,,,,,
player,201811250car,car,OlseGr00,rec_air_yds_per_rec,4.0,,,,,
player,201811250car,car,OlseGr00,rec_yac,3,,,,,
player,201811250car,car,OlseGr00,rec_yac_per_rec,1.5,,,,,
player,201811250car,car,OlseGr00,rec_broken_tackles,0,,,,,
player,201811250car,car,OlseGr00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,car,OlseGr00,rec_drops,1,,,,,
player,201811250car,car,OlseGr00,rec_drop_pct,25.0,,,,,
player,201811250car,car,SamuCu00,targets,2,,,,,
player,201811250car,car,SamuCu00,rec,2,,,,,
player,201811250car,car,SamuCu00,rec_yds,17,,,,,
player,201811250car,car,SamuCu00,rec_first_down,2,,,,,
player,201811250car,car,SamuCu00,rec_air_yds,16,,,,,
player,201811250car,car,SamuCu00,rec_air_yds_per_rec,8.0,,,,,
player,201811250car,car,SamuCu00,rec_yac,1,,,,,
player,201811250car,car,SamuCu00,rec_yac_per_rec,0.5,,,,,
player,201811250car,car,SamuCu00,rec_broken_tackles,0,,,,,
player,201811250car,car,SamuCu00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,car,SamuCu00,rec_drops,0,,,,,
player,201811250car,car,SamuCu00,rec_drop_pct,0.0,,,,,
player,201811250car,car,WrigJa02,targets,2,,,,,
player,201811250car,car,WrigJa02,rec,2,,,,,
player,201811250car,car,WrigJa02,rec_yds,25,,,,,
