game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
player,201809230atl,atl,IshmKe00,def_pct,0%,,,,,
player,201809230atl,atl,IshmKe00,special_teams,23,,,,,
player,201809230atl,atl,IshmKe00,st_pct,64%,,,,,
player,201809230atl,atl,BethJu00,pos,CB,,,,,
player,201809230atl,atl,BethJu00,offense,0,,,,,
player,201809230atl,atl,BethJu00,off_pct,0%,,,,,
player,201809230atl,atl,BethJu00,defense,0,,,,,
player,201809230atl,atl,BethJu00,def_pct,0%,,,,,
player,201809230atl,atl,BethJu00,special_teams,20,,,,,
player,201809230atl,atl,BethJu00,st_pct,56%,,,,,
player,201809230atl,atl,JarvRi00,pos,LB,,,,,
player,201809230atl,atl,JarvRi00,offense,0,,,,,
player,201809230atl,atl,JarvRi00,off_pct,0%,,,,,
player,201809230atl,atl,JarvRi00,defense,0,,,,,
player,201809230atl,atl,JarvRi00,def_pct,0%,,,,,
player,201809230atl,atl,JarvRi00,special_teams,17,,,,,
player,201809230atl,atl,JarvRi00,st_pct,47%,,,,,
player,201809230atl,atl,BoshMa00,pos,P,,,,,
player,201809230atl,atl,BoshMa00,offense,0,,,,,
player,201809230atl,atl,BoshMa00,off_pct,0%,,,,,
player,201809230atl,atl,BoshMa00,defense,0,,,,,
player,201809230atl,atl,BoshMa00,def_pct,0%,,,,,
player,201809230atl,atl,BoshMa00,special_teams,17,,,,,
player,201809230atl,atl,BoshMa00,st_pct,47%,,,,,
player,201809230atl,atl,HillBr02,pos,RB,,,,,
player,201809230atl,atl,HillBr02,offense,0,,,,,
player,201809230atl,atl,HillBr02,off_pct,0%,,,,,
player,201809230atl,atl,HillBr02,defense,0,,,,,
player,201809230atl,atl,HillBr02,def_pct,0%,,,,,
player,201809230atl,atl,HillBr02,special_teams,10,,,,,
player,201809230atl,atl,HillBr02,st_pct,28%,,,,,
player,201809230atl,atl,HarrJo02,pos,LS,,,,,
player,201809230atl,atl,HarrJo02,offense,0,,,,,
player,201809230atl,atl,HarrJo02,off_pct,0%,,,,,
player,201809230atl,atl,HarrJo02,defense,0,,,,,
player,201809230atl,atl,HarrJo02,def_pct,0%,,,,,
player,201809230atl,atl,HarrJo02,special_teams,10,,,,,
player,201809230atl,atl,HarrJo02,st_pct,28%,,,,,
player,201809230atl,atl,SambTy00,pos,T,,,,,
player,201809230atl,atl,SambTy00,offense,0,,,,,
player,201809230atl,atl,SambTy00,off_pct,0%,,,,,
player,201809230atl,atl,SambTy00,defense,0,,,,,
player,201809230atl,atl,SambTy00,def_pct,0%,,,,,
player,201809230atl,atl,SambTy00,special_teams,4,,,,,
