game,2014,2,20140915,201409150clt,phi,"Philadelphia Eagles",30,clt,"Indianapolis Colts",27
player,201409150clt,phi,RyanDe20,def_int_yds,0,,,,,
player,201409150clt,phi,RyanDe20,def_int_td,0,,,,,
player,201409150clt,phi,RyanDe20,def_int_long,0,,,,,
player,201409150clt,phi,RyanDe20,pass_defended,1,,,,,
player,201409150clt,phi,RyanDe20,sacks,0.0,,,,,
player,201409150clt,phi,RyanDe20,tackles_combined,10,,,,,
player,201409150clt,phi,RyanDe20,tackles_solo,7,,,,,
player,201409150clt,phi,RyanDe20,tackles_assists,3,,,,,
player,201409150clt,phi,RyanDe20,tackles_loss,1,,,,,
player,201409150clt,phi,RyanDe20,qb_hits,1,,,,,
player,201409150clt,phi,RyanDe20,fumbles_rec,1,,,,,
player,201409150clt,phi,RyanDe20,fumbles_rec_yds,0,,,,,
player,201409150clt,phi,RyanDe20,fumbles_rec_td,0,,,,,
player,201409150clt,phi,RyanDe20,fumbles_forced,0,,,,,
player,201409150clt,phi,WillCa99,def_int,0,,,,,
player,201409150clt,phi,WillCa99,def_int_yds,0,,,,,
player,201409150clt,phi,WillCa99,def_int_td,0,,,,,
player,201409150clt,phi,WillCa99,def_int_long,0,,,,,
player,201409150clt,phi,WillCa99,pass_defended,0,,,,,
player,201409150clt,phi,WillCa99,sacks,0.0,,,,,
player,201409150clt,phi,WillCa99,tackles_combined,8,,,,,
player,201409150clt,phi,WillCa99,tackles_solo,6,,,,,
player,201409150clt,phi,WillCa99,tackles_assists,2,,,,,
player,201409150clt,phi,WillCa99,tackles_loss,1,,,,,
player,201409150clt,phi,WillCa99,qb_hits,0,,,,,
player,201409150clt,phi,WillCa99,fumbles_rec,0,,,,,
player,201409150clt,phi,WillCa99,fumbles_rec_yds,0,,,,,
player,201409150clt,phi,WillCa99,fumbles_rec_td,0,,,,,
player,201409150clt,phi,WillCa99,fumbles_forced,0,,,,,
player,201409150clt,phi,KendMy00,def_int,0,,,,,
player,201409150clt,phi,KendMy00,def_int_yds,0,,,,,
player,201409150clt,phi,KendMy00,def_int_td,0,,,,,
player,201409150clt,phi,KendMy00,def_int_long,0,,,,,
player,201409150clt,phi,KendMy00,pass_defended,1,,,,,
player,201409150clt,phi,KendMy00,sacks,0.0,,,,,
player,201409150clt,phi,KendMy00,tackles_combined,7,,,,,
player,201409150clt,phi,KendMy00,tackles_solo,4,,,,,
player,201409150clt,phi,KendMy00,tackles_assists,3,,,,,
player,201409150clt,phi,KendMy00,tackles_loss,1,,,,,
player,201409150clt,phi,KendMy00,qb_hits,0,,,,,
player,201409150clt,phi,KendMy00,fumbles_rec,0,,,,,
player,201409150clt,phi,KendMy00,fumbles_rec_yds,0,,,,,
player,201409150clt,phi,KendMy00,fumbles_rec_td,0,,,,,
player,201409150clt,phi,KendMy00,fumbles_forced,0,,,,,
player,201409150clt,phi,LogaBe00,def_int,0,,,,,
player,201409150clt,phi,LogaBe00,def_int_yds,0,,,,,
