game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,cle,AustMi00,rec_yds,54,,,,,
player,201411020cle,cle,AustMi00,rec_td,0,,,,,
player,201411020cle,cle,AustMi00,rec_long,25,,,,,
player,201411020cle,cle,AustMi00,fumbles,0,,,,,
player,201411020cle,cle,AustMi00,fumbles_lost,0,,,,,
player,201411020cle,cle,BenjTr00,pass_cmp,0,,,,,
player,201411020cle,cle,BenjTr00,pass_att,0,,,,,
player,201411020cle,cle,BenjTr00,pass_yds,0,,,,,
player,201411020cle,cle,BenjTr00,pass_td,0,,,,,
player,201411020cle,cle,BenjTr00,pass_int,0,,,,,
player,201411020cle,cle,BenjTr00,pass_sacked,0,,,,,
player,201411020cle,cle,BenjTr00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,BenjTr00,pass_long,0,,,,,
player,201411020cle,cle,BenjTr00,pass_rating,,,,,,
player,201411020cle,cle,BenjTr00,rush_att,0,,,,,
player,201411020cle,cle,BenjTr00,rush_yds,0,,,,,
player,201411020cle,cle,BenjTr00,rush_td,0,,,,,
player,201411020cle,cle,BenjTr00,rush_long,0,,,,,
player,201411020cle,cle,BenjTr00,targets,4,,,,,
player,201411020cle,cle,BenjTr00,rec,2,,,,,
player,201411020cle,cle,BenjTr00,rec_yds,52,,,,,
player,201411020cle,cle,BenjTr00,rec_td,0,,,,,
player,201411020cle,cle,BenjTr00,rec_long,31,,,,,
player,201411020cle,cle,BenjTr00,fumbles,0,,,,,
player,201411020cle,cle,BenjTr00,fumbles_lost,0,,,,,
player,201411020cle,cle,HawkAn00,pass_cmp,0,,,,,
player,201411020cle,cle,HawkAn00,pass_att,0,,,,,
player,201411020cle,cle,HawkAn00,pass_yds,0,,,,,
player,201411020cle,cle,HawkAn00,pass_td,0,,,,,
player,201411020cle,cle,HawkAn00,pass_int,0,,,,,
player,201411020cle,cle,HawkAn00,pass_sacked,0,,,,,
player,201411020cle,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,HawkAn00,pass_long,0,,,,,
player,201411020cle,cle,HawkAn00,pass_rating,,,,,,
player,201411020cle,cle,HawkAn00,rush_att,0,,,,,
player,201411020cle,cle,HawkAn00,rush_yds,0,,,,,
player,201411020cle,cle,HawkAn00,rush_td,0,,,,,
player,201411020cle,cle,HawkAn00,rush_long,0,,,,,
