game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,atl,JackSt00,rec_long,10,,,,,
player,201411230atl,atl,JackSt00,fumbles,0,,,,,
player,201411230atl,atl,JackSt00,fumbles_lost,0,,,,,
player,201411230atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201411230atl,atl,RodgJa00,pass_att,0,,,,,
player,201411230atl,atl,RodgJa00,pass_yds,0,,,,,
player,201411230atl,atl,RodgJa00,pass_td,0,,,,,
player,201411230atl,atl,RodgJa00,pass_int,0,,,,,
player,201411230atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201411230atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201411230atl,atl,RodgJa00,pass_long,0,,,,,
player,201411230atl,atl,RodgJa00,pass_rating,,,,,,
player,201411230atl,atl,RodgJa00,rush_att,3,,,,,
player,201411230atl,atl,RodgJa00,rush_yds,16,,,,,
player,201411230atl,atl,RodgJa00,rush_td,0,,,,,
player,201411230atl,atl,RodgJa00,rush_long,7,,,,,
player,201411230atl,atl,RodgJa00,targets,3,,,,,
player,201411230atl,atl,RodgJa00,rec,3,,,,,
player,201411230atl,atl,RodgJa00,rec_yds,11,,,,,
player,201411230atl,atl,RodgJa00,rec_td,1,,,,,
player,201411230atl,atl,RodgJa00,rec_long,8,,,,,
player,201411230atl,atl,RodgJa00,fumbles,0,,,,,
player,201411230atl,atl,RodgJa00,fumbles_lost,0,,,,,
player,201411230atl,atl,FreeDe00,pass_cmp,0,,,,,
player,201411230atl,atl,FreeDe00,pass_att,0,,,,,
player,201411230atl,atl,FreeDe00,pass_yds,0,,,,,
player,201411230atl,atl,FreeDe00,pass_td,0,,,,,
player,201411230atl,atl,FreeDe00,pass_int,0,,,,,
player,201411230atl,atl,FreeDe00,pass_sacked,0,,,,,
player,201411230atl,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201411230atl,atl,FreeDe00,pass_long,0,,,,,
player,201411230atl,atl,FreeDe00,pass_rating,,,,,,
player,201411230atl,atl,FreeDe00,rush_att,5,,,,,
player,201411230atl,atl,FreeDe00,rush_yds,7,,,,,
player,201411230atl,atl,FreeDe00,rush_td,0,,,,,
player,201411230atl,atl,FreeDe00,rush_long,6,,,,,
player,201411230atl,atl,FreeDe00,targets,1,,,,,
player,201411230atl,atl,FreeDe00,rec,0,,,,,
player,201411230atl,atl,FreeDe00,rec_yds,0,,,,,
player,201411230atl,atl,FreeDe00,rec_td,0,,,,,
player,201411230atl,atl,FreeDe00,rec_long,0,,,,,
player,201411230atl,atl,FreeDe00,fumbles,0,,,,,
player,201411230atl,atl,FreeDe00,fumbles_lost,0,,,,,
player,201411230atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201411230atl,atl,WhitRo00,pass_att,0,,,,,
player,201411230atl,atl,WhitRo00,pass_yds,0,,,,,
player,201411230atl,atl,WhitRo00,pass_td,0,,,,,
player,201411230atl,atl,WhitRo00,pass_int,0,,,,,
player,201411230atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201411230atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201411230atl,atl,WhitRo00,pass_long,0,,,,,
player,201411230atl,atl,WhitRo00,pass_rating,,,,,,
player,201411230atl,atl,WhitRo00,rush_att,0,,,,,
player,201411230atl,atl,WhitRo00,rush_yds,0,,,,,
player,201411230atl,atl,WhitRo00,rush_td,0,,,,,
player,201411230atl,atl,WhitRo00,rush_long,0,,,,,
player,201411230atl,atl,WhitRo00,targets,10,,,,,
player,201411230atl,atl,WhitRo00,rec,9,,,,,
player,201411230atl,atl,WhitRo00,rec_yds,96,,,,,
player,201411230atl,atl,WhitRo00,rec_td,0,,,,,
player,201411230atl,atl,WhitRo00,rec_long,32,,,,,
player,201411230atl,atl,WhitRo00,fumbles,0,,,,,
player,201411230atl,atl,WhitRo00,fumbles_lost,0,,,,,
player,201411230atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201411230atl,atl,JoneJu02,pass_att,0,,,,,
player,201411230atl,atl,JoneJu02,pass_yds,0,,,,,
player,201411230atl,atl,JoneJu02,pass_td,0,,,,,
player,201411230atl,atl,JoneJu02,pass_int,0,,,,,
player,201411230atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201411230atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201411230atl,atl,JoneJu02,pass_long,0,,,,,
player,201411230atl,atl,JoneJu02,pass_rating,,,,,,
player,201411230atl,atl,JoneJu02,rush_att,0,,,,,
player,201411230atl,atl,JoneJu02,rush_yds,0,,,,,
player,201411230atl,atl,JoneJu02,rush_td,0,,,,,
player,201411230atl,atl,JoneJu02,rush_long,0,,,,,
player,201411230atl,atl,JoneJu02,targets,13,,,,,
player,201411230atl,atl,JoneJu02,rec,5,,,,,
player,201411230atl,atl,JoneJu02,rec_yds,68,,,,,
player,201411230atl,atl,JoneJu02,rec_td,1,,,,,
player,201411230atl,atl,JoneJu02,rec_long,24,,,,,
player,201411230atl,atl,JoneJu02,fumbles,0,,,,,
player,201411230atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201411230atl,atl,HestDe99,pass_cmp,0,,,,,
player,201411230atl,atl,HestDe99,pass_att,0,,,,,
player,201411230atl,atl,HestDe99,pass_yds,0,,,,,
player,201411230atl,atl,HestDe99,pass_td,0,,,,,
player,201411230atl,atl,HestDe99,pass_int,0,,,,,
player,201411230atl,atl,HestDe99,pass_sacked,0,,,,,
player,201411230atl,atl,HestDe99,pass_sacked_yds,0,,,,,
player,201411230atl,atl,HestDe99,pass_long,0,,,,,
player,201411230atl,atl,HestDe99,pass_rating,,,,,,
player,201411230atl,atl,HestDe99,rush_att,0,,,,,
player,201411230atl,atl,HestDe99,rush_yds,0,,,,,
player,201411230atl,atl,HestDe99,rush_td,0,,,,,
player,201411230atl,atl,HestDe99,rush_long,0,,,,,
player,201411230atl,atl,HestDe99,targets,6,,,,,
player,201411230atl,atl,HestDe99,rec,4,,,,,
player,201411230atl,atl,HestDe99,rec_yds,50,,,,,
player,201411230atl,atl,HestDe99,rec_td,0,,,,,
player,201411230atl,atl,HestDe99,rec_long,16,,,,,
player,201411230atl,atl,HestDe99,fumbles,0,,,,,
player,201411230atl,atl,HestDe99,fumbles_lost,0,,,,,
player,201411230atl,atl,ToilLe00,pass_cmp,0,,,,,
player,201411230atl,atl,ToilLe00,pass_att,0,,,,,
player,201411230atl,atl,ToilLe00,pass_yds,0,,,,,
player,201411230atl,atl,ToilLe00,pass_td,0,,,,,
player,201411230atl,atl,ToilLe00,pass_int,0,,,,,
