game,2014,12,20141123,201411230sfo,was,"Washington Redskins",13,sfo,"San Francisco 49ers",17
player,201411230sfo,was,DucrGr00,sacks,0.0,,,,,
player,201411230sfo,was,DucrGr00,tackles_combined,2,,,,,
player,201411230sfo,was,DucrGr00,tackles_solo,2,,,,,
player,201411230sfo,was,DucrGr00,tackles_assists,0,,,,,
player,201411230sfo,was,DucrGr00,tackles_loss,0,,,,,
player,201411230sfo,was,DucrGr00,qb_hits,0,,,,,
player,201411230sfo,was,DucrGr00,fumbles_rec,0,,,,,
player,201411230sfo,was,DucrGr00,fumbles_rec_yds,0,,,,,
player,201411230sfo,was,DucrGr00,fumbles_rec_td,0,,,,,
player,201411230sfo,was,DucrGr00,fumbles_forced,0,,,,,
player,201411230sfo,was,HatcJa20,def_int,0,,,,,
player,201411230sfo,was,HatcJa20,def_int_yds,0,,,,,
player,201411230sfo,was,HatcJa20,def_int_td,0,,,,,
player,201411230sfo,was,HatcJa20,def_int_long,0,,,,,
player,201411230sfo,was,HatcJa20,pass_defended,0,,,,,
player,201411230sfo,was,HatcJa20,sacks,1.0,,,,,
player,201411230sfo,was,HatcJa20,tackles_combined,3,,,,,
player,201411230sfo,was,HatcJa20,tackles_solo,3,,,,,
player,201411230sfo,was,HatcJa20,tackles_assists,0,,,,,
player,201411230sfo,was,HatcJa20,tackles_loss,2,,,,,
player,201411230sfo,was,HatcJa20,qb_hits,1,,,,,
player,201411230sfo,was,HatcJa20,fumbles_rec,0,,,,,
player,201411230sfo,was,HatcJa20,fumbles_rec_yds,0,,,,,
player,201411230sfo,was,HatcJa20,fumbles_rec_td,0,,,,,
player,201411230sfo,was,HatcJa20,fumbles_forced,0,,,,,
player,201411230sfo,was,KerrRy00,def_int,0,,,,,
player,201411230sfo,was,KerrRy00,def_int_yds,0,,,,,
player,201411230sfo,was,KerrRy00,def_int_td,0,,,,,
player,201411230sfo,was,KerrRy00,def_int_long,0,,,,,
player,201411230sfo,was,KerrRy00,pass_defended,0,,,,,
player,201411230sfo,was,KerrRy00,sacks,1.0,,,,,
player,201411230sfo,was,KerrRy00,tackles_combined,3,,,,,
player,201411230sfo,was,KerrRy00,tackles_solo,2,,,,,
player,201411230sfo,was,KerrRy00,tackles_assists,1,,,,,
player,201411230sfo,was,KerrRy00,tackles_loss,2,,,,,
player,201411230sfo,was,KerrRy00,qb_hits,1,,,,,
player,201411230sfo,was,KerrRy00,fumbles_rec,0,,,,,
player,201411230sfo,was,KerrRy00,fumbles_rec_yds,0,,,,,
player,201411230sfo,was,KerrRy00,fumbles_rec_td,0,,,,,
player,201411230sfo,was,KerrRy00,fumbles_forced,0,,,,,
player,201411230sfo,was,RobiKe01,def_int,0,,,,,
player,201411230sfo,was,RobiKe01,def_int_yds,0,,,,,
player,201411230sfo,was,RobiKe01,def_int_td,0,,,,,
player,201411230sfo,was,RobiKe01,def_int_long,0,,,,,
player,201411230sfo,was,RobiKe01,pass_defended,0,,,,,
player,201411230sfo,was,RobiKe01,sacks,0.0,,,,,
