game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
player,201411300kan,kan,AverDo00,rush_td,0,,,,,
player,201411300kan,kan,AverDo00,rush_long,0,,,,,
player,201411300kan,kan,AverDo00,targets,2,,,,,
player,201411300kan,kan,AverDo00,rec,1,,,,,
player,201411300kan,kan,AverDo00,rec_yds,20,,,,,
player,201411300kan,kan,AverDo00,rec_td,0,,,,,
player,201411300kan,kan,AverDo00,rec_long,20,,,,,
player,201411300kan,kan,AverDo00,fumbles,1,,,,,
player,201411300kan,kan,AverDo00,fumbles_lost,1,,,,,
player,201411300kan,kan,FasaAn00,pass_cmp,0,,,,,
player,201411300kan,kan,FasaAn00,pass_att,0,,,,,
player,201411300kan,kan,FasaAn00,pass_yds,0,,,,,
player,201411300kan,kan,FasaAn00,pass_td,0,,,,,
player,201411300kan,kan,FasaAn00,pass_int,0,,,,,
player,201411300kan,kan,FasaAn00,pass_sacked,0,,,,,
player,201411300kan,kan,FasaAn00,pass_sacked_yds,0,,,,,
player,201411300kan,kan,FasaAn00,pass_long,0,,,,,
player,201411300kan,kan,FasaAn00,pass_rating,,,,,,
player,201411300kan,kan,FasaAn00,rush_att,0,,,,,
player,201411300kan,kan,FasaAn00,rush_yds,0,,,,,
player,201411300kan,kan,FasaAn00,rush_td,0,,,,,
player,201411300kan,kan,FasaAn00,rush_long,0,,,,,
player,201411300kan,kan,FasaAn00,targets,1,,,,,
player,201411300kan,kan,FasaAn00,rec,1,,,,,
player,201411300kan,kan,FasaAn00,rec_yds,20,,,,,
player,201411300kan,kan,FasaAn00,rec_td,1,,,,,
player,201411300kan,kan,FasaAn00,rec_long,20,,,,,
player,201411300kan,kan,FasaAn00,fumbles,0,,,,,
player,201411300kan,kan,FasaAn00,fumbles_lost,0,,,,,
player,201411300kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201411300kan,kan,BoweDw00,pass_att,0,,,,,
player,201411300kan,kan,BoweDw00,pass_yds,0,,,,,
player,201411300kan,kan,BoweDw00,pass_td,0,,,,,
player,201411300kan,kan,BoweDw00,pass_int,0,,,,,
player,201411300kan,kan,BoweDw00,pass_sacked,0,,,,,
player,201411300kan,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201411300kan,kan,BoweDw00,pass_long,0,,,,,
player,201411300kan,kan,BoweDw00,pass_rating,,,,,,
player,201411300kan,kan,BoweDw00,rush_att,0,,,,,
player,201411300kan,kan,BoweDw00,rush_yds,0,,,,,
player,201411300kan,kan,BoweDw00,rush_td,0,,,,,
player,201411300kan,kan,BoweDw00,rush_long,0,,,,,
player,201411300kan,kan,BoweDw00,targets,5,,,,,
player,201411300kan,kan,BoweDw00,rec,2,,,,,
player,201411300kan,kan,BoweDw00,rec_yds,18,,,,,
