game,2014,10,20141110,201411100phi,car,"Carolina Panthers",21,phi,"Philadelphia Eagles",45
player,201411100phi,phi,HuffJo00,pos,WR,,,,,
player,201411100phi,phi,HuffJo00,offense,16,,,,,
player,201411100phi,phi,HuffJo00,off_pct,26%,,,,,
player,201411100phi,phi,HuffJo00,defense,0,,,,,
player,201411100phi,phi,HuffJo00,def_pct,0%,,,,,
player,201411100phi,phi,HuffJo00,special_teams,13,,,,,
player,201411100phi,phi,HuffJo00,st_pct,36%,,,,,
player,201411100phi,phi,CaseJa00,pos,TE,,,,,
player,201411100phi,phi,CaseJa00,offense,15,,,,,
player,201411100phi,phi,CaseJa00,off_pct,24%,,,,,
player,201411100phi,phi,CaseJa00,defense,0,,,,,
player,201411100phi,phi,CaseJa00,def_pct,0%,,,,,
player,201411100phi,phi,CaseJa00,special_teams,33,,,,,
player,201411100phi,phi,CaseJa00,st_pct,92%,,,,,
player,201411100phi,phi,PolkCh00,pos,RB,,,,,
player,201411100phi,phi,PolkCh00,offense,13,,,,,
player,201411100phi,phi,PolkCh00,off_pct,21%,,,,,
player,201411100phi,phi,PolkCh00,defense,0,,,,,
player,201411100phi,phi,PolkCh00,def_pct,0%,,,,,
player,201411100phi,phi,PolkCh00,special_teams,18,,,,,
player,201411100phi,phi,PolkCh00,st_pct,50%,,,,,
player,201411100phi,phi,SmitBr01,pos,WR,,,,,
player,201411100phi,phi,SmitBr01,offense,11,,,,,
player,201411100phi,phi,SmitBr01,off_pct,18%,,,,,
player,201411100phi,phi,SmitBr01,defense,0,,,,,
player,201411100phi,phi,SmitBr01,def_pct,0%,,,,,
player,201411100phi,phi,SmitBr01,special_teams,19,,,,,
player,201411100phi,phi,SmitBr01,st_pct,53%,,,,,
player,201411100phi,phi,SproDa00,pos,RB,,,,,
player,201411100phi,phi,SproDa00,offense,9,,,,,
player,201411100phi,phi,SproDa00,off_pct,15%,,,,,
player,201411100phi,phi,SproDa00,defense,0,,,,,
player,201411100phi,phi,SproDa00,def_pct,0%,,,,,
player,201411100phi,phi,SproDa00,special_teams,7,,,,,
player,201411100phi,phi,SproDa00,st_pct,19%,,,,,
player,201411100phi,phi,GardAn20,pos,T,,,,,
player,201411100phi,phi,GardAn20,offense,6,,,,,
player,201411100phi,phi,GardAn20,off_pct,10%,,,,,
player,201411100phi,phi,GardAn20,defense,0,,,,,
player,201411100phi,phi,GardAn20,def_pct,0%,,,,,
player,201411100phi,phi,GardAn20,special_teams,7,,,,,
player,201411100phi,phi,GardAn20,st_pct,19%,,,,,
player,201411100phi,phi,BarkMa00,pos,QB,,,,,
player,201411100phi,phi,BarkMa00,offense,6,,,,,
player,201411100phi,phi,BarkMa00,off_pct,10%,,,,,
player,201411100phi,phi,BarkMa00,defense,0,,,,,
player,201411100phi,phi,BarkMa00,def_pct,0%,,,,,
player,201411100phi,phi,BarkMa00,special_teams,0,,,,,
player,201411100phi,phi,BarkMa00,st_pct,0%,,,,,
player,201411100phi,phi,MolkDa00,pos,C,,,,,
player,201411100phi,phi,MolkDa00,offense,6,,,,,
player,201411100phi,phi,MolkDa00,off_pct,10%,,,,,
player,201411100phi,phi,MolkDa00,defense,0,,,,,
player,201411100phi,phi,MolkDa00,def_pct,0%,,,,,
player,201411100phi,phi,MolkDa00,special_teams,0,,,,,
player,201411100phi,phi,MolkDa00,st_pct,0%,,,,,
player,201411100phi,phi,FletBr99,pos,CB,,,,,
player,201411100phi,phi,FletBr99,offense,0,,,,,
player,201411100phi,phi,FletBr99,off_pct,0%,,,,,
player,201411100phi,phi,FletBr99,defense,82,,,,,
player,201411100phi,phi,FletBr99,def_pct,100%,,,,,
player,201411100phi,phi,FletBr99,special_teams,10,,,,,
player,201411100phi,phi,FletBr99,st_pct,28%,,,,,
player,201411100phi,phi,AlleNa99,pos,SS,,,,,
player,201411100phi,phi,AlleNa99,offense,0,,,,,
player,201411100phi,phi,AlleNa99,off_pct,0%,,,,,
player,201411100phi,phi,AlleNa99,defense,82,,,,,
player,201411100phi,phi,AlleNa99,def_pct,100%,,,,,
player,201411100phi,phi,AlleNa99,special_teams,4,,,,,
player,201411100phi,phi,AlleNa99,st_pct,11%,,,,,
player,201411100phi,phi,JenkMa99,pos,FS,,,,,
player,201411100phi,phi,JenkMa99,offense,0,,,,,
player,201411100phi,phi,JenkMa99,off_pct,0%,,,,,
player,201411100phi,phi,JenkMa99,defense,82,,,,,
player,201411100phi,phi,JenkMa99,def_pct,100%,,,,,
player,201411100phi,phi,JenkMa99,special_teams,4,,,,,
player,201411100phi,phi,JenkMa99,st_pct,11%,,,,,
player,201411100phi,phi,WillCa99,pos,CB,,,,,
player,201411100phi,phi,WillCa99,offense,0,,,,,
player,201411100phi,phi,WillCa99,off_pct,0%,,,,,
player,201411100phi,phi,WillCa99,defense,82,,,,,
player,201411100phi,phi,WillCa99,def_pct,100%,,,,,
player,201411100phi,phi,WillCa99,special_teams,1,,,,,
player,201411100phi,phi,WillCa99,st_pct,3%,,,,,
player,201411100phi,phi,KendMy00,pos,LB,,,,,
player,201411100phi,phi,KendMy00,offense,0,,,,,
player,201411100phi,phi,KendMy00,off_pct,0%,,,,,
player,201411100phi,phi,KendMy00,defense,66,,,,,
player,201411100phi,phi,KendMy00,def_pct,80%,,,,,
player,201411100phi,phi,KendMy00,special_teams,0,,,,,
player,201411100phi,phi,KendMy00,st_pct,0%,,,,,
player,201411100phi,phi,BarwCo99,pos,LB,,,,,
player,201411100phi,phi,BarwCo99,offense,0,,,,,
player,201411100phi,phi,BarwCo99,off_pct,0%,,,,,
player,201411100phi,phi,BarwCo99,defense,64,,,,,
player,201411100phi,phi,BarwCo99,def_pct,78%,,,,,
player,201411100phi,phi,BarwCo99,special_teams,0,,,,,
player,201411100phi,phi,BarwCo99,st_pct,0%,,,,,
player,201411100phi,phi,ColeTr20,pos,LB,,,,,
player,201411100phi,phi,ColeTr20,offense,0,,,,,
player,201411100phi,phi,ColeTr20,off_pct,0%,,,,,
player,201411100phi,phi,ColeTr20,defense,56,,,,,
player,201411100phi,phi,ColeTr20,def_pct,68%,,,,,
player,201411100phi,phi,ColeTr20,special_teams,3,,,,,
player,201411100phi,phi,ColeTr20,st_pct,8%,,,,,
player,201411100phi,phi,CoxxFl00,pos,DE,,,,,
player,201411100phi,phi,CoxxFl00,offense,0,,,,,
player,201411100phi,phi,CoxxFl00,off_pct,0%,,,,,
player,201411100phi,phi,CoxxFl00,defense,52,,,,,
player,201411100phi,phi,CoxxFl00,def_pct,63%,,,,,
player,201411100phi,phi,CoxxFl00,special_teams,0,,,,,
player,201411100phi,phi,CoxxFl00,st_pct,0%,,,,,
player,201411100phi,phi,LogaBe00,pos,NT,,,,,
player,201411100phi,phi,LogaBe00,offense,0,,,,,
player,201411100phi,phi,LogaBe00,off_pct,0%,,,,,
player,201411100phi,phi,LogaBe00,defense,45,,,,,
player,201411100phi,phi,LogaBe00,def_pct,55%,,,,,
player,201411100phi,phi,LogaBe00,special_teams,10,,,,,
player,201411100phi,phi,LogaBe00,st_pct,28%,,,,,
player,201411100phi,phi,GrahBr99,pos,LB,,,,,
