game,2014,6,20141012,201410120tam,rav,"Baltimore Ravens",48,tam,"Tampa Bay Buccaneers",17
player,201410120tam,tam,ShepRu00,def_int_yds,0,,,,,
player,201410120tam,tam,ShepRu00,def_int_td,0,,,,,
player,201410120tam,tam,ShepRu00,def_int_long,0,,,,,
player,201410120tam,tam,ShepRu00,pass_defended,0,,,,,
player,201410120tam,tam,ShepRu00,sacks,0.0,,,,,
player,201410120tam,tam,ShepRu00,tackles_combined,2,,,,,
player,201410120tam,tam,ShepRu00,tackles_solo,2,,,,,
player,201410120tam,tam,ShepRu00,tackles_assists,0,,,,,
player,201410120tam,tam,ShepRu00,tackles_loss,0,,,,,
player,201410120tam,tam,ShepRu00,qb_hits,0,,,,,
player,201410120tam,tam,ShepRu00,fumbles_rec,0,,,,,
player,201410120tam,tam,ShepRu00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,ShepRu00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,ShepRu00,fumbles_forced,0,,,,,
player,201410120tam,tam,FletDa00,def_int,0,,,,,
player,201410120tam,tam,FletDa00,def_int_yds,0,,,,,
player,201410120tam,tam,FletDa00,def_int_td,0,,,,,
player,201410120tam,tam,FletDa00,def_int_long,0,,,,,
player,201410120tam,tam,FletDa00,pass_defended,0,,,,,
player,201410120tam,tam,FletDa00,sacks,0.0,,,,,
player,201410120tam,tam,FletDa00,tackles_combined,1,,,,,
player,201410120tam,tam,FletDa00,tackles_solo,1,,,,,
player,201410120tam,tam,FletDa00,tackles_assists,0,,,,,
player,201410120tam,tam,FletDa00,tackles_loss,0,,,,,
player,201410120tam,tam,FletDa00,qb_hits,0,,,,,
player,201410120tam,tam,FletDa00,fumbles_rec,0,,,,,
player,201410120tam,tam,FletDa00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,FletDa00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,FletDa00,fumbles_forced,0,,,,,
player,201410120tam,tam,MageBr00,def_int,0,,,,,
player,201410120tam,tam,MageBr00,def_int_yds,0,,,,,
player,201410120tam,tam,MageBr00,def_int_td,0,,,,,
