game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
player,201412040chi,dal,ChurBa99,def_int_long,0,,,,,
player,201412040chi,dal,ChurBa99,pass_defended,1,,,,,
player,201412040chi,dal,ChurBa99,sacks,0.0,,,,,
player,201412040chi,dal,ChurBa99,tackles_combined,5,,,,,
player,201412040chi,dal,ChurBa99,tackles_solo,5,,,,,
player,201412040chi,dal,ChurBa99,tackles_assists,0,,,,,
player,201412040chi,dal,ChurBa99,tackles_loss,0,,,,,
player,201412040chi,dal,ChurBa99,qb_hits,0,,,,,
player,201412040chi,dal,ChurBa99,fumbles_rec,0,,,,,
player,201412040chi,dal,ChurBa99,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,ChurBa99,fumbles_rec_td,0,,,,,
player,201412040chi,dal,ChurBa99,fumbles_forced,0,,,,,
player,201412040chi,dal,HitcAn00,def_int,0,,,,,
player,201412040chi,dal,HitcAn00,def_int_yds,0,,,,,
player,201412040chi,dal,HitcAn00,def_int_td,0,,,,,
player,201412040chi,dal,HitcAn00,def_int_long,0,,,,,
player,201412040chi,dal,HitcAn00,pass_defended,0,,,,,
player,201412040chi,dal,HitcAn00,sacks,0.0,,,,,
player,201412040chi,dal,HitcAn00,tackles_combined,4,,,,,
player,201412040chi,dal,HitcAn00,tackles_solo,4,,,,,
player,201412040chi,dal,HitcAn00,tackles_assists,0,,,,,
player,201412040chi,dal,HitcAn00,tackles_loss,0,,,,,
player,201412040chi,dal,HitcAn00,qb_hits,0,,,,,
player,201412040chi,dal,HitcAn00,fumbles_rec,0,,,,,
player,201412040chi,dal,HitcAn00,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,HitcAn00,fumbles_rec_td,0,,,,,
player,201412040chi,dal,HitcAn00,fumbles_forced,0,,,,,
player,201412040chi,dal,CarrBr99,def_int,0,,,,,
player,201412040chi,dal,CarrBr99,def_int_yds,0,,,,,
player,201412040chi,dal,CarrBr99,def_int_td,0,,,,,
player,201412040chi,dal,CarrBr99,def_int_long,0,,,,,
player,201412040chi,dal,CarrBr99,pass_defended,1,,,,,
player,201412040chi,dal,CarrBr99,sacks,0.0,,,,,
player,201412040chi,dal,CarrBr99,tackles_combined,3,,,,,
player,201412040chi,dal,CarrBr99,tackles_solo,3,,,,,
player,201412040chi,dal,CarrBr99,tackles_assists,0,,,,,
player,201412040chi,dal,CarrBr99,tackles_loss,0,,,,,
player,201412040chi,dal,CarrBr99,qb_hits,0,,,,,
player,201412040chi,dal,CarrBr99,fumbles_rec,0,,,,,
player,201412040chi,dal,CarrBr99,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,CarrBr99,fumbles_rec_td,0,,,,,
player,201412040chi,dal,CarrBr99,fumbles_forced,0,,,,,
player,201412040chi,dal,SpilCJ99,def_int,0,,,,,
player,201412040chi,dal,SpilCJ99,def_int_yds,0,,,,,
player,201412040chi,dal,SpilCJ99,def_int_td,0,,,,,
