game,2014,3,20140918,201409180atl,tam,"Tampa Bay Buccaneers",14,atl,"Atlanta Falcons",56
player,201409180atl,atl,RodgJa00,rec_long,3,,,,,
player,201409180atl,atl,RodgJa00,fumbles,0,,,,,
player,201409180atl,atl,RodgJa00,fumbles_lost,0,,,,,
player,201409180atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201409180atl,atl,JoneJu02,pass_att,0,,,,,
player,201409180atl,atl,JoneJu02,pass_yds,0,,,,,
player,201409180atl,atl,JoneJu02,pass_td,0,,,,,
player,201409180atl,atl,JoneJu02,pass_int,0,,,,,
player,201409180atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201409180atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201409180atl,atl,JoneJu02,pass_long,0,,,,,
player,201409180atl,atl,JoneJu02,pass_rating,,,,,,
player,201409180atl,atl,JoneJu02,rush_att,0,,,,,
player,201409180atl,atl,JoneJu02,rush_yds,0,,,,,
player,201409180atl,atl,JoneJu02,rush_td,0,,,,,
player,201409180atl,atl,JoneJu02,rush_long,0,,,,,
player,201409180atl,atl,JoneJu02,targets,11,,,,,
player,201409180atl,atl,JoneJu02,rec,9,,,,,
player,201409180atl,atl,JoneJu02,rec_yds,161,,,,,
player,201409180atl,atl,JoneJu02,rec_td,2,,,,,
player,201409180atl,atl,JoneJu02,rec_long,40,,,,,
player,201409180atl,atl,JoneJu02,fumbles,0,,,,,
player,201409180atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201409180atl,atl,WeemEr00,pass_cmp,0,,,,,
player,201409180atl,atl,WeemEr00,pass_att,0,,,,,
player,201409180atl,atl,WeemEr00,pass_yds,0,,,,,
player,201409180atl,atl,WeemEr00,pass_td,0,,,,,
player,201409180atl,atl,WeemEr00,pass_int,0,,,,,
player,201409180atl,atl,WeemEr00,pass_sacked,0,,,,,
player,201409180atl,atl,WeemEr00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,WeemEr00,pass_long,0,,,,,
player,201409180atl,atl,WeemEr00,pass_rating,,,,,,
player,201409180atl,atl,WeemEr00,rush_att,0,,,,,
player,201409180atl,atl,WeemEr00,rush_yds,0,,,,,
player,201409180atl,atl,WeemEr00,rush_td,0,,,,,
player,201409180atl,atl,WeemEr00,rush_long,0,,,,,
player,201409180atl,atl,WeemEr00,targets,5,,,,,
player,201409180atl,atl,WeemEr00,rec,4,,,,,
player,201409180atl,atl,WeemEr00,rec_yds,69,,,,,
player,201409180atl,atl,WeemEr00,rec_td,0,,,,,
player,201409180atl,atl,WeemEr00,rec_long,40,,,,,
player,201409180atl,atl,WeemEr00,fumbles,0,,,,,
player,201409180atl,atl,WeemEr00,fumbles_lost,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_cmp,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_att,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_yds,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_td,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_int,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_sacked,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_long,0,,,,,
player,201409180atl,atl,DiMaPa00,pass_rating,,,,,,
player,201409180atl,atl,DiMaPa00,rush_att,0,,,,,
player,201409180atl,atl,DiMaPa00,rush_yds,0,,,,,
player,201409180atl,atl,DiMaPa00,rush_td,0,,,,,
player,201409180atl,atl,DiMaPa00,rush_long,0,,,,,
player,201409180atl,atl,DiMaPa00,targets,3,,,,,
player,201409180atl,atl,DiMaPa00,rec,3,,,,,
player,201409180atl,atl,DiMaPa00,rec_yds,35,,,,,
player,201409180atl,atl,DiMaPa00,rec_td,0,,,,,
player,201409180atl,atl,DiMaPa00,rec_long,16,,,,,
player,201409180atl,atl,DiMaPa00,fumbles,0,,,,,
player,201409180atl,atl,DiMaPa00,fumbles_lost,0,,,,,
player,201409180atl,atl,ToilLe00,pass_cmp,0,,,,,
player,201409180atl,atl,ToilLe00,pass_att,0,,,,,
player,201409180atl,atl,ToilLe00,pass_yds,0,,,,,
player,201409180atl,atl,ToilLe00,pass_td,0,,,,,
player,201409180atl,atl,ToilLe00,pass_int,0,,,,,
player,201409180atl,atl,ToilLe00,pass_sacked,0,,,,,
player,201409180atl,atl,ToilLe00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,ToilLe00,pass_long,0,,,,,
player,201409180atl,atl,ToilLe00,pass_rating,,,,,,
player,201409180atl,atl,ToilLe00,rush_att,0,,,,,
player,201409180atl,atl,ToilLe00,rush_yds,0,,,,,
player,201409180atl,atl,ToilLe00,rush_td,0,,,,,
player,201409180atl,atl,ToilLe00,rush_long,0,,,,,
player,201409180atl,atl,ToilLe00,targets,3,,,,,
player,201409180atl,atl,ToilLe00,rec,2,,,,,
player,201409180atl,atl,ToilLe00,rec_yds,25,,,,,
player,201409180atl,atl,ToilLe00,rec_td,0,,,,,
player,201409180atl,atl,ToilLe00,rec_long,13,,,,,
player,201409180atl,atl,ToilLe00,fumbles,1,,,,,
player,201409180atl,atl,ToilLe00,fumbles_lost,1,,,,,
player,201409180atl,atl,DougHa00,pass_cmp,0,,,,,
player,201409180atl,atl,DougHa00,pass_att,0,,,,,
player,201409180atl,atl,DougHa00,pass_yds,0,,,,,
player,201409180atl,atl,DougHa00,pass_td,0,,,,,
player,201409180atl,atl,DougHa00,pass_int,0,,,,,
player,201409180atl,atl,DougHa00,pass_sacked,0,,,,,
player,201409180atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,DougHa00,pass_long,0,,,,,
player,201409180atl,atl,DougHa00,pass_rating,,,,,,
player,201409180atl,atl,DougHa00,rush_att,0,,,,,
player,201409180atl,atl,DougHa00,rush_yds,0,,,,,
player,201409180atl,atl,DougHa00,rush_td,0,,,,,
player,201409180atl,atl,DougHa00,rush_long,0,,,,,
player,201409180atl,atl,DougHa00,targets,2,,,,,
player,201409180atl,atl,DougHa00,rec,2,,,,,
player,201409180atl,atl,DougHa00,rec_yds,14,,,,,
player,201409180atl,atl,DougHa00,rec_td,1,,,,,
player,201409180atl,atl,DougHa00,rec_long,11,,,,,
player,201409180atl,atl,DougHa00,fumbles,0,,,,,
player,201409180atl,atl,DougHa00,fumbles_lost,0,,,,,
player,201409180atl,atl,RobyCo00,pass_cmp,0,,,,,
player,201409180atl,atl,RobyCo00,pass_att,0,,,,,
player,201409180atl,atl,RobyCo00,pass_yds,0,,,,,
player,201409180atl,atl,RobyCo00,pass_td,0,,,,,
player,201409180atl,atl,RobyCo00,pass_int,0,,,,,
player,201409180atl,atl,RobyCo00,pass_sacked,0,,,,,
player,201409180atl,atl,RobyCo00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,RobyCo00,pass_long,0,,,,,
