game,2014,5,20141005,201410050clt,rav,"Baltimore Ravens",13,clt,"Indianapolis Colts",20
player,201410050clt,rav,TrawBr00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,TrawBr00,fumbles_forced,0,,,,,
player,201410050clt,rav,WillBr02,def_int,0,,,,,
player,201410050clt,rav,WillBr02,def_int_yds,0,,,,,
player,201410050clt,rav,WillBr02,def_int_td,0,,,,,
player,201410050clt,rav,WillBr02,def_int_long,0,,,,,
player,201410050clt,rav,WillBr02,pass_defended,0,,,,,
player,201410050clt,rav,WillBr02,sacks,0.0,,,,,
player,201410050clt,rav,WillBr02,tackles_combined,2,,,,,
player,201410050clt,rav,WillBr02,tackles_solo,2,,,,,
player,201410050clt,rav,WillBr02,tackles_assists,0,,,,,
player,201410050clt,rav,WillBr02,tackles_loss,0,,,,,
player,201410050clt,rav,WillBr02,qb_hits,1,,,,,
player,201410050clt,rav,WillBr02,fumbles_rec,0,,,,,
player,201410050clt,rav,WillBr02,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,WillBr02,fumbles_rec_td,0,,,,,
player,201410050clt,rav,WillBr02,fumbles_forced,0,,,,,
player,201410050clt,rav,BrowCh05,def_int,0,,,,,
player,201410050clt,rav,BrowCh05,def_int_yds,0,,,,,
player,201410050clt,rav,BrowCh05,def_int_td,0,,,,,
player,201410050clt,rav,BrowCh05,def_int_long,0,,,,,
player,201410050clt,rav,BrowCh05,pass_defended,0,,,,,
player,201410050clt,rav,BrowCh05,sacks,0.0,,,,,
player,201410050clt,rav,BrowCh05,tackles_combined,1,,,,,
player,201410050clt,rav,BrowCh05,tackles_solo,1,,,,,
player,201410050clt,rav,BrowCh05,tackles_assists,0,,,,,
player,201410050clt,rav,BrowCh05,tackles_loss,0,,,,,
player,201410050clt,rav,BrowCh05,qb_hits,0,,,,,
player,201410050clt,rav,BrowCh05,fumbles_rec,0,,,,,
player,201410050clt,rav,BrowCh05,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,BrowCh05,fumbles_rec_td,0,,,,,
player,201410050clt,rav,BrowCh05,fumbles_forced,0,,,,,
player,201410050clt,rav,GuyxLa00,def_int,0,,,,,
player,201410050clt,rav,GuyxLa00,def_int_yds,0,,,,,
player,201410050clt,rav,GuyxLa00,def_int_td,0,,,,,
player,201410050clt,rav,GuyxLa00,def_int_long,0,,,,,
player,201410050clt,rav,GuyxLa00,pass_defended,0,,,,,
player,201410050clt,rav,GuyxLa00,sacks,0.0,,,,,
player,201410050clt,rav,GuyxLa00,tackles_combined,1,,,,,
player,201410050clt,rav,GuyxLa00,tackles_solo,0,,,,,
player,201410050clt,rav,GuyxLa00,tackles_assists,1,,,,,
player,201410050clt,rav,GuyxLa00,tackles_loss,0,,,,,
player,201410050clt,rav,GuyxLa00,qb_hits,0,,,,,
player,201410050clt,rav,GuyxLa00,fumbles_rec,0,,,,,
player,201410050clt,rav,GuyxLa00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,GuyxLa00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,GuyxLa00,fumbles_forced,0,,,,,
player,201410050clt,rav,JuszKy00,def_int,0,,,,,
player,201410050clt,rav,JuszKy00,def_int_yds,0,,,,,
player,201410050clt,rav,JuszKy00,def_int_td,0,,,,,
player,201410050clt,rav,JuszKy00,def_int_long,0,,,,,
player,201410050clt,rav,JuszKy00,pass_defended,0,,,,,
player,201410050clt,rav,JuszKy00,sacks,0.0,,,,,
player,201410050clt,rav,JuszKy00,tackles_combined,1,,,,,
player,201410050clt,rav,JuszKy00,tackles_solo,1,,,,,
player,201410050clt,rav,JuszKy00,tackles_assists,0,,,,,
player,201410050clt,rav,JuszKy00,tackles_loss,0,,,,,
player,201410050clt,rav,JuszKy00,qb_hits,0,,,,,
player,201410050clt,rav,JuszKy00,fumbles_rec,0,,,,,
player,201410050clt,rav,JuszKy00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,JuszKy00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,JuszKy00,fumbles_forced,0,,,,,
player,201410050clt,rav,McClAl00,def_int,0,,,,,
