game,2013,4,20130929,201309290rai,was,"Washington Redskins",24,rai,"Oakland Raiders",14
player,201309290rai,rai,MoorDe02,pass_cmp,0,,,,,
player,201309290rai,rai,MoorDe02,pass_att,0,,,,,
player,201309290rai,rai,MoorDe02,pass_yds,0,,,,,
player,201309290rai,rai,MoorDe02,pass_td,0,,,,,
player,201309290rai,rai,MoorDe02,pass_int,0,,,,,
player,201309290rai,rai,MoorDe02,pass_sacked,,,,,,
player,201309290rai,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201309290rai,rai,MoorDe02,pass_long,0,,,,,
player,201309290rai,rai,MoorDe02,pass_rating,,,,,,
player,201309290rai,rai,MoorDe02,rush_att,0,,,,,
player,201309290rai,rai,MoorDe02,rush_yds,0,,,,,
player,201309290rai,rai,MoorDe02,rush_td,0,,,,,
player,201309290rai,rai,MoorDe02,rush_long,0,,,,,
player,201309290rai,rai,MoorDe02,targets,6,,,,,
player,201309290rai,rai,MoorDe02,rec,4,,,,,
player,201309290rai,rai,MoorDe02,rec_yds,66,,,,,
player,201309290rai,rai,MoorDe02,rec_td,0,,,,,
player,201309290rai,rai,MoorDe02,rec_long,34,,,,,
player,201309290rai,rai,MoorDe02,fumbles,0,,,,,
player,201309290rai,rai,MoorDe02,fumbles_lost,0,,,,,
player,201309290rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201309290rai,rai,RiveMy00,pass_att,0,,,,,
player,201309290rai,rai,RiveMy00,pass_yds,0,,,,,
player,201309290rai,rai,RiveMy00,pass_td,0,,,,,
player,201309290rai,rai,RiveMy00,pass_int,0,,,,,
player,201309290rai,rai,RiveMy00,pass_sacked,,,,,,
player,201309290rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,RiveMy00,pass_long,0,,,,,
player,201309290rai,rai,RiveMy00,pass_rating,,,,,,
player,201309290rai,rai,RiveMy00,rush_att,0,,,,,
player,201309290rai,rai,RiveMy00,rush_yds,0,,,,,
player,201309290rai,rai,RiveMy00,rush_td,0,,,,,
player,201309290rai,rai,RiveMy00,rush_long,0,,,,,
player,201309290rai,rai,RiveMy00,targets,6,,,,,
player,201309290rai,rai,RiveMy00,rec,2,,,,,
player,201309290rai,rai,RiveMy00,rec_yds,44,,,,,
player,201309290rai,rai,RiveMy00,rec_td,1,,,,,
player,201309290rai,rai,RiveMy00,rec_long,26,,,,,
player,201309290rai,rai,RiveMy00,fumbles,0,,,,,
player,201309290rai,rai,RiveMy00,fumbles_lost,0,,,,,
player,201309290rai,rai,StreRo00,pass_cmp,0,,,,,
player,201309290rai,rai,StreRo00,pass_att,0,,,,,
player,201309290rai,rai,StreRo00,pass_yds,0,,,,,
player,201309290rai,rai,StreRo00,pass_td,0,,,,,
player,201309290rai,rai,StreRo00,pass_int,0,,,,,
player,201309290rai,rai,StreRo00,pass_sacked,,,,,,
player,201309290rai,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,StreRo00,pass_long,0,,,,,
player,201309290rai,rai,StreRo00,pass_rating,,,,,,
player,201309290rai,rai,StreRo00,rush_att,0,,,,,
player,201309290rai,rai,StreRo00,rush_yds,0,,,,,
player,201309290rai,rai,StreRo00,rush_td,0,,,,,
player,201309290rai,rai,StreRo00,rush_long,0,,,,,
player,201309290rai,rai,StreRo00,targets,3,,,,,
player,201309290rai,rai,StreRo00,rec,2,,,,,
player,201309290rai,rai,StreRo00,rec_yds,18,,,,,
player,201309290rai,rai,StreRo00,rec_td,0,,,,,
player,201309290rai,rai,StreRo00,rec_long,14,,,,,
player,201309290rai,rai,StreRo00,fumbles,0,,,,,
player,201309290rai,rai,StreRo00,fumbles_lost,0,,,,,
player,201309290rai,rai,MastJe20,pass_cmp,0,,,,,
player,201309290rai,rai,MastJe20,pass_att,0,,,,,
