game,2013,8,20131027,201310270den,was,"Washington Redskins",21,den,"Denver Broncos",45
player,201310270den,den,ThomDe03,pass_att,0,,,,,
player,201310270den,den,ThomDe03,pass_yds,0,,,,,
player,201310270den,den,ThomDe03,pass_td,0,,,,,
player,201310270den,den,ThomDe03,pass_int,0,,,,,
player,201310270den,den,ThomDe03,pass_sacked,0,,,,,
player,201310270den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201310270den,den,ThomDe03,pass_long,0,,,,,
player,201310270den,den,ThomDe03,pass_rating,,,,,,
player,201310270den,den,ThomDe03,rush_att,0,,,,,
player,201310270den,den,ThomDe03,rush_yds,0,,,,,
player,201310270den,den,ThomDe03,rush_td,0,,,,,
player,201310270den,den,ThomDe03,rush_long,0,,,,,
player,201310270den,den,ThomDe03,targets,11,,,,,
player,201310270den,den,ThomDe03,rec,7,,,,,
player,201310270den,den,ThomDe03,rec_yds,75,,,,,
player,201310270den,den,ThomDe03,rec_td,1,,,,,
player,201310270den,den,ThomDe03,rec_long,35,,,,,
player,201310270den,den,ThomDe03,fumbles,0,,,,,
player,201310270den,den,ThomDe03,fumbles_lost,0,,,,,
player,201310270den,den,DeckEr00,pass_cmp,0,,,,,
player,201310270den,den,DeckEr00,pass_att,0,,,,,
player,201310270den,den,DeckEr00,pass_yds,0,,,,,
player,201310270den,den,DeckEr00,pass_td,0,,,,,
player,201310270den,den,DeckEr00,pass_int,0,,,,,
player,201310270den,den,DeckEr00,pass_sacked,0,,,,,
player,201310270den,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201310270den,den,DeckEr00,pass_long,0,,,,,
player,201310270den,den,DeckEr00,pass_rating,,,,,,
player,201310270den,den,DeckEr00,rush_att,0,,,,,
player,201310270den,den,DeckEr00,rush_yds,0,,,,,
player,201310270den,den,DeckEr00,rush_td,0,,,,,
player,201310270den,den,DeckEr00,rush_long,0,,,,,
player,201310270den,den,DeckEr00,targets,7,,,,,
