game,2013,6,20131013,201310130sfo,crd,"Arizona Cardinals",20,sfo,"San Francisco 49ers",32
player,201310130sfo,sfo,BoldAn00,pass_rating,,,,,,
player,201310130sfo,sfo,BoldAn00,rush_att,0,,,,,
player,201310130sfo,sfo,BoldAn00,rush_yds,0,,,,,
player,201310130sfo,sfo,BoldAn00,rush_td,0,,,,,
player,201310130sfo,sfo,BoldAn00,rush_long,0,,,,,
player,201310130sfo,sfo,BoldAn00,targets,8,,,,,
player,201310130sfo,sfo,BoldAn00,rec,3,,,,,
player,201310130sfo,sfo,BoldAn00,rec_yds,28,,,,,
player,201310130sfo,sfo,BoldAn00,rec_td,0,,,,,
player,201310130sfo,sfo,BoldAn00,rec_long,15,,,,,
player,201310130sfo,sfo,BoldAn00,fumbles,0,,,,,
player,201310130sfo,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201310130sfo,sfo,WillKy01,pass_cmp,0,,,,,
player,201310130sfo,sfo,WillKy01,pass_att,0,,,,,
player,201310130sfo,sfo,WillKy01,pass_yds,0,,,,,
player,201310130sfo,sfo,WillKy01,pass_td,0,,,,,
player,201310130sfo,sfo,WillKy01,pass_int,0,,,,,
player,201310130sfo,sfo,WillKy01,pass_sacked,0,,,,,
