game,2013,10,20131110,201311100atl,sea,"Seattle Seahawks",33,atl,"Atlanta Falcons",10
player,201311100atl,sea,BennMi99,tackles_loss,0,,,,,
player,201311100atl,sea,BennMi99,qb_hits,2,,,,,
player,201311100atl,sea,BennMi99,fumbles_rec,0,,,,,
player,201311100atl,sea,BennMi99,fumbles_rec_yds,0,,,,,
player,201311100atl,sea,BennMi99,fumbles_rec_td,0,,,,,
player,201311100atl,sea,BennMi99,fumbles_forced,0,,,,,
player,201311100atl,sea,WagnBo00,def_int,0,,,,,
player,201311100atl,sea,WagnBo00,def_int_yds,0,,,,,
player,201311100atl,sea,WagnBo00,def_int_td,0,,,,,
player,201311100atl,sea,WagnBo00,def_int_long,0,,,,,
player,201311100atl,sea,WagnBo00,pass_defended,0,,,,,
player,201311100atl,sea,WagnBo00,sacks,0.0,,,,,
player,201311100atl,sea,WagnBo00,tackles_combined,9,,,,,
player,201311100atl,sea,WagnBo00,tackles_solo,9,,,,,
player,201311100atl,sea,WagnBo00,tackles_assists,0,,,,,
player,201311100atl,sea,WagnBo00,tackles_loss,0,,,,,
player,201311100atl,sea,WagnBo00,qb_hits,0,,,,,
player,201311100atl,sea,WagnBo00,fumbles_rec,0,,,,,
player,201311100atl,sea,WagnBo00,fumbles_rec_yds,0,,,,,
player,201311100atl,sea,WagnBo00,fumbles_rec_td,0,,,,,
player,201311100atl,sea,WagnBo00,fumbles_forced,0,,,,,
player,201311100atl,sea,ThurWa99,def_int,0,,,,,
player,201311100atl,sea,ThurWa99,def_int_yds,0,,,,,
