game,2013,1,20130909,201309090was,phi,"Philadelphia Eagles",33,was,"Washington Redskins",27
player,201309090was,was,YounDa01,rec,0,,,,,
player,201309090was,was,YounDa01,rec_yds,0,,,,,
player,201309090was,was,YounDa01,rec_td,0,,,,,
player,201309090was,was,YounDa01,rec_long,0,,,,,
player,201309090was,was,YounDa01,fumbles,0,,,,,
player,201309090was,was,YounDa01,fumbles_lost,0,,,,,
player,201309090was,phi,WillCa99,def_int,1,,,,,
player,201309090was,phi,WillCa99,def_int_yds,1,,,,,
player,201309090was,phi,WillCa99,def_int_td,0,,,,,
player,201309090was,phi,WillCa99,def_int_long,1,,,,,
player,201309090was,phi,WillCa99,pass_defended,2,,,,,
player,201309090was,phi,WillCa99,sacks,1.0,,,,,
player,201309090was,phi,WillCa99,tackles_combined,2,,,,,
player,201309090was,phi,WillCa99,tackles_solo,2,,,,,
player,201309090was,phi,WillCa99,tackles_assists,0,,,,,
player,201309090was,phi,WillCa99,tackles_loss,1,,,,,
player,201309090was,phi,WillCa99,qb_hits,1,,,,,
player,201309090was,phi,WillCa99,fumbles_rec,0,,,,,
player,201309090was,phi,WillCa99,fumbles_rec_yds,0,,,,,
player,201309090was,phi,WillCa99,fumbles_rec_td,0,,,,,
player,201309090was,phi,WillCa99,fumbles_forced,0,,,,,
player,201309090was,phi,BoykBr00,def_int,1,,,,,
player,201309090was,phi,BoykBr00,def_int_yds,0,,,,,
player,201309090was,phi,BoykBr00,def_int_td,0,,,,,
player,201309090was,phi,BoykBr00,def_int_long,0,,,,,
player,201309090was,phi,BoykBr00,pass_defended,2,,,,,
player,201309090was,phi,BoykBr00,sacks,0.0,,,,,
player,201309090was,phi,BoykBr00,tackles_combined,7,,,,,
player,201309090was,phi,BoykBr00,tackles_solo,5,,,,,
player,201309090was,phi,BoykBr00,tackles_assists,2,,,,,
player,201309090was,phi,BoykBr00,tackles_loss,0,,,,,
player,201309090was,phi,BoykBr00,qb_hits,0,,,,,
player,201309090was,phi,BoykBr00,fumbles_rec,0,,,,,
player,201309090was,phi,BoykBr00,fumbles_rec_yds,0,,,,,
player,201309090was,phi,BoykBr00,fumbles_rec_td,0,,,,,
player,201309090was,phi,BoykBr00,fumbles_forced,0,,,,,
player,201309090was,phi,RyanDe20,def_int,0,,,,,
player,201309090was,phi,RyanDe20,def_int_yds,0,,,,,
player,201309090was,phi,RyanDe20,def_int_td,0,,,,,
player,201309090was,phi,RyanDe20,def_int_long,0,,,,,
player,201309090was,phi,RyanDe20,pass_defended,0,,,,,
player,201309090was,phi,RyanDe20,sacks,1.0,,,,,
player,201309090was,phi,RyanDe20,tackles_combined,8,,,,,
player,201309090was,phi,RyanDe20,tackles_solo,4,,,,,
player,201309090was,phi,RyanDe20,tackles_assists,4,,,,,
player,201309090was,phi,RyanDe20,tackles_loss,1,,,,,
player,201309090was,phi,RyanDe20,qb_hits,1,,,,,
player,201309090was,phi,RyanDe20,fumbles_rec,0,,,,,
player,201309090was,phi,RyanDe20,fumbles_rec_yds,0,,,,,
player,201309090was,phi,RyanDe20,fumbles_rec_td,0,,,,,
player,201309090was,phi,RyanDe20,fumbles_forced,0,,,,,
player,201309090was,phi,CoxxFl00,def_int,0,,,,,
player,201309090was,phi,CoxxFl00,def_int_yds,0,,,,,
player,201309090was,phi,CoxxFl00,def_int_td,0,,,,,
player,201309090was,phi,CoxxFl00,def_int_long,0,,,,,
player,201309090was,phi,CoxxFl00,pass_defended,0,,,,,
player,201309090was,phi,CoxxFl00,sacks,1.0,,,,,
player,201309090was,phi,CoxxFl00,tackles_combined,3,,,,,
player,201309090was,phi,CoxxFl00,tackles_solo,3,,,,,
player,201309090was,phi,CoxxFl00,tackles_assists,0,,,,,
player,201309090was,phi,CoxxFl00,tackles_loss,1,,,,,
player,201309090was,phi,CoxxFl00,qb_hits,2,,,,,
player,201309090was,phi,CoxxFl00,fumbles_rec,0,,,,,
player,201309090was,phi,CoxxFl00,fumbles_rec_yds,0,,,,,
player,201309090was,phi,CoxxFl00,fumbles_rec_td,0,,,,,
player,201309090was,phi,CoxxFl00,fumbles_forced,0,,,,,
player,201309090was,phi,KendMy00,def_int,0,,,,,
player,201309090was,phi,KendMy00,def_int_yds,0,,,,,
player,201309090was,phi,KendMy00,def_int_td,0,,,,,
player,201309090was,phi,KendMy00,def_int_long,0,,,,,
player,201309090was,phi,KendMy00,pass_defended,0,,,,,
player,201309090was,phi,KendMy00,sacks,0.0,,,,,
player,201309090was,phi,KendMy00,tackles_combined,10,,,,,
player,201309090was,phi,KendMy00,tackles_solo,6,,,,,
