game,2013,2,20130915,201309150tam,nor,"New Orleans Saints",16,tam,"Tampa Bay Buccaneers",14
player,201309150tam,nor,HarpRo21,tackles_assists,0,,,,,
player,201309150tam,nor,HarpRo21,tackles_loss,0,,,,,
player,201309150tam,nor,HarpRo21,qb_hits,0,,,,,
player,201309150tam,nor,HarpRo21,fumbles_rec,0,,,,,
player,201309150tam,nor,HarpRo21,fumbles_rec_yds,0,,,,,
player,201309150tam,nor,HarpRo21,fumbles_rec_td,0,,,,,
player,201309150tam,nor,HarpRo21,fumbles_forced,0,,,,,
player,201309150tam,nor,GreeJa22,def_int,0,,,,,
player,201309150tam,nor,GreeJa22,def_int_yds,0,,,,,
player,201309150tam,nor,GreeJa22,def_int_td,0,,,,,
player,201309150tam,nor,GreeJa22,def_int_long,0,,,,,
player,201309150tam,nor,GreeJa22,pass_defended,2,,,,,
player,201309150tam,nor,GreeJa22,sacks,0.0,,,,,
player,201309150tam,nor,GreeJa22,tackles_combined,5,,,,,
player,201309150tam,nor,GreeJa22,tackles_solo,5,,,,,
