game,2013,9,20131103,201311030htx,clt,"Indianapolis Colts",27,htx,"Houston Texans",24
player,201311030htx,htx,HopkDe00,fumbles_lost,0,,,,,
player,201311030htx,htx,GrahGa00,pass_cmp,0,,,,,
player,201311030htx,htx,GrahGa00,pass_att,0,,,,,
player,201311030htx,htx,GrahGa00,pass_yds,0,,,,,
player,201311030htx,htx,GrahGa00,pass_td,0,,,,,
player,201311030htx,htx,GrahGa00,pass_int,0,,,,,
player,201311030htx,htx,GrahGa00,pass_sacked,0,,,,,
player,201311030htx,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201311030htx,htx,GrahGa00,pass_long,0,,,,,
player,201311030htx,htx,GrahGa00,pass_rating,,,,,,
player,201311030htx,htx,GrahGa00,rush_att,0,,,,,
player,201311030htx,htx,GrahGa00,rush_yds,0,,,,,
player,201311030htx,htx,GrahGa00,rush_td,0,,,,,
player,201311030htx,htx,GrahGa00,rush_long,0,,,,,
player,201311030htx,htx,GrahGa00,targets,6,,,,,
player,201311030htx,htx,GrahGa00,rec,4,,,,,
player,201311030htx,htx,GrahGa00,rec_yds,46,,,,,
player,201311030htx,htx,GrahGa00,rec_td,0,,,,,
player,201311030htx,htx,GrahGa00,rec_long,20,,,,,
player,201311030htx,htx,GrahGa00,fumbles,0,,,,,
player,201311030htx,htx,GrahGa00,fumbles_lost,0,,,,,
player,201311030htx,htx,PoseDe00,pass_cmp,0,,,,,
player,201311030htx,htx,PoseDe00,pass_att,0,,,,,
player,201311030htx,htx,PoseDe00,pass_yds,0,,,,,
player,201311030htx,htx,PoseDe00,pass_td,0,,,,,
player,201311030htx,htx,PoseDe00,pass_int,0,,,,,
player,201311030htx,htx,PoseDe00,pass_sacked,0,,,,,
player,201311030htx,htx,PoseDe00,pass_sacked_yds,0,,,,,
player,201311030htx,htx,PoseDe00,pass_long,0,,,,,
player,201311030htx,htx,PoseDe00,pass_rating,,,,,,
player,201311030htx,htx,PoseDe00,rush_att,0,,,,,
player,201311030htx,htx,PoseDe00,rush_yds,0,,,,,
player,201311030htx,htx,PoseDe00,rush_td,0,,,,,
player,201311030htx,htx,PoseDe00,rush_long,0,,,,,
player,201311030htx,htx,PoseDe00,targets,4,,,,,
player,201311030htx,htx,PoseDe00,rec,3,,,,,
player,201311030htx,htx,PoseDe00,rec_yds,23,,,,,
player,201311030htx,htx,PoseDe00,rec_td,0,,,,,
player,201311030htx,htx,PoseDe00,rec_long,12,,,,,
player,201311030htx,htx,PoseDe00,fumbles,0,,,,,
player,201311030htx,htx,PoseDe00,fumbles_lost,0,,,,,
player,201311030htx,htx,FostAr00,pass_cmp,0,,,,,
player,201311030htx,htx,FostAr00,pass_att,0,,,,,
player,201311030htx,htx,FostAr00,pass_yds,0,,,,,
player,201311030htx,htx,FostAr00,pass_td,0,,,,,
player,201311030htx,htx,FostAr00,pass_int,0,,,,,
player,201311030htx,htx,FostAr00,pass_sacked,0,,,,,
player,201311030htx,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201311030htx,htx,FostAr00,pass_long,0,,,,,
player,201311030htx,htx,FostAr00,pass_rating,,,,,,
player,201311030htx,htx,FostAr00,rush_att,0,,,,,
player,201311030htx,htx,FostAr00,rush_yds,0,,,,,
player,201311030htx,htx,FostAr00,rush_td,0,,,,,
player,201311030htx,htx,FostAr00,rush_long,0,,,,,
player,201311030htx,htx,FostAr00,targets,1,,,,,
player,201311030htx,htx,FostAr00,rec,0,,,,,
player,201311030htx,htx,FostAr00,rec_yds,0,,,,,
player,201311030htx,htx,FostAr00,rec_td,0,,,,,
player,201311030htx,htx,FostAr00,rec_long,0,,,,,
player,201311030htx,htx,FostAr00,fumbles,0,,,,,
player,201311030htx,htx,FostAr00,fumbles_lost,0,,,,,
player,201311030htx,htx,JoneGr01,pass_cmp,0,,,,,
player,201311030htx,htx,JoneGr01,pass_att,0,,,,,
player,201311030htx,htx,JoneGr01,pass_yds,0,,,,,
player,201311030htx,htx,JoneGr01,pass_td,0,,,,,
player,201311030htx,htx,JoneGr01,pass_int,0,,,,,
player,201311030htx,htx,JoneGr01,pass_sacked,0,,,,,
player,201311030htx,htx,JoneGr01,pass_sacked_yds,0,,,,,
player,201311030htx,htx,JoneGr01,pass_long,0,,,,,
player,201311030htx,htx,JoneGr01,pass_rating,,,,,,
player,201311030htx,htx,JoneGr01,rush_att,0,,,,,
player,201311030htx,htx,JoneGr01,rush_yds,0,,,,,
player,201311030htx,htx,JoneGr01,rush_td,0,,,,,
player,201311030htx,htx,JoneGr01,rush_long,0,,,,,
player,201311030htx,htx,JoneGr01,targets,1,,,,,
player,201311030htx,htx,JoneGr01,rec,0,,,,,
player,201311030htx,htx,JoneGr01,rec_yds,0,,,,,
player,201311030htx,htx,JoneGr01,rec_td,0,,,,,
player,201311030htx,htx,JoneGr01,rec_long,0,,,,,
player,201311030htx,htx,JoneGr01,fumbles,0,,,,,
player,201311030htx,htx,JoneGr01,fumbles_lost,0,,,,,
player,201311030htx,clt,WaldEr99,def_int,0,,,,,
player,201311030htx,clt,WaldEr99,def_int_yds,0,,,,,
player,201311030htx,clt,WaldEr99,def_int_td,0,,,,,
player,201311030htx,clt,WaldEr99,def_int_long,0,,,,,
player,201311030htx,clt,WaldEr99,pass_defended,1,,,,,
player,201311030htx,clt,WaldEr99,sacks,1.0,,,,,
player,201311030htx,clt,WaldEr99,tackles_combined,4,,,,,
player,201311030htx,clt,WaldEr99,tackles_solo,4,,,,,
player,201311030htx,clt,WaldEr99,tackles_assists,0,,,,,
player,201311030htx,clt,WaldEr99,tackles_loss,2,,,,,
player,201311030htx,clt,WaldEr99,qb_hits,2,,,,,
player,201311030htx,clt,WaldEr99,fumbles_rec,0,,,,,
player,201311030htx,clt,WaldEr99,fumbles_rec_yds,0,,,,,
player,201311030htx,clt,WaldEr99,fumbles_rec_td,0,,,,,
player,201311030htx,clt,WaldEr99,fumbles_forced,0,,,,,
player,201311030htx,clt,AngePa99,def_int,0,,,,,
player,201311030htx,clt,AngePa99,def_int_yds,0,,,,,
player,201311030htx,clt,AngePa99,def_int_td,0,,,,,
player,201311030htx,clt,AngePa99,def_int_long,0,,,,,
player,201311030htx,clt,AngePa99,pass_defended,1,,,,,
player,201311030htx,clt,AngePa99,sacks,0.0,,,,,
player,201311030htx,clt,AngePa99,tackles_combined,12,,,,,
player,201311030htx,clt,AngePa99,tackles_solo,7,,,,,
player,201311030htx,clt,AngePa99,tackles_assists,5,,,,,
player,201311030htx,clt,AngePa99,tackles_loss,1,,,,,
player,201311030htx,clt,AngePa99,qb_hits,1,,,,,
player,201311030htx,clt,AngePa99,fumbles_rec,0,,,,,
player,201311030htx,clt,AngePa99,fumbles_rec_yds,0,,,,,
player,201311030htx,clt,AngePa99,fumbles_rec_td,0,,,,,
player,201311030htx,clt,AngePa99,fumbles_forced,0,,,,,
player,201311030htx,clt,LandLa99,def_int,0,,,,,
player,201311030htx,clt,LandLa99,def_int_yds,0,,,,,
player,201311030htx,clt,LandLa99,def_int_td,0,,,,,
player,201311030htx,clt,LandLa99,def_int_long,0,,,,,
player,201311030htx,clt,LandLa99,pass_defended,0,,,,,
player,201311030htx,clt,LandLa99,sacks,0.0,,,,,
player,201311030htx,clt,LandLa99,tackles_combined,9,,,,,
player,201311030htx,clt,LandLa99,tackles_solo,8,,,,,
player,201311030htx,clt,LandLa99,tackles_assists,1,,,,,
player,201311030htx,clt,LandLa99,tackles_loss,0,,,,,
player,201311030htx,clt,LandLa99,qb_hits,0,,,,,
player,201311030htx,clt,LandLa99,fumbles_rec,0,,,,,
player,201311030htx,clt,LandLa99,fumbles_rec_yds,0,,,,,
player,201311030htx,clt,LandLa99,fumbles_rec_td,0,,,,,
player,201311030htx,clt,LandLa99,fumbles_forced,0,,,,,
player,201311030htx,clt,BethAn20,def_int,0,,,,,
player,201311030htx,clt,BethAn20,def_int_yds,0,,,,,
player,201311030htx,clt,BethAn20,def_int_td,0,,,,,
player,201311030htx,clt,BethAn20,def_int_long,0,,,,,
player,201311030htx,clt,BethAn20,pass_defended,0,,,,,
player,201311030htx,clt,BethAn20,sacks,0.0,,,,,
player,201311030htx,clt,BethAn20,tackles_combined,8,,,,,
player,201311030htx,clt,BethAn20,tackles_solo,7,,,,,
player,201311030htx,clt,BethAn20,tackles_assists,1,,,,,
player,201311030htx,clt,BethAn20,tackles_loss,0,,,,,
player,201311030htx,clt,BethAn20,qb_hits,1,,,,,
player,201311030htx,clt,BethAn20,fumbles_rec,0,,,,,
player,201311030htx,clt,BethAn20,fumbles_rec_yds,0,,,,,
player,201311030htx,clt,BethAn20,fumbles_rec_td,0,,,,,
player,201311030htx,clt,BethAn20,fumbles_forced,0,,,,,
player,201311030htx,clt,FreeJe00,def_int,0,,,,,
player,201311030htx,clt,FreeJe00,def_int_yds,0,,,,,
player,201311030htx,clt,FreeJe00,def_int_td,0,,,,,
player,201311030htx,clt,FreeJe00,def_int_long,0,,,,,
player,201311030htx,clt,FreeJe00,pass_defended,0,,,,,
