game,2015,5,20151011,201510110kan,chi,"Chicago Bears",18,kan,"Kansas City Chiefs",17
player,201510110kan,kan,KelcTr00,rec_long,16,,,,,
player,201510110kan,kan,KelcTr00,fumbles,0,,,,,
player,201510110kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201510110kan,kan,ConlCh00,pass_cmp,0,,,,,
player,201510110kan,kan,ConlCh00,pass_att,0,,,,,
player,201510110kan,kan,ConlCh00,pass_yds,0,,,,,
player,201510110kan,kan,ConlCh00,pass_td,0,,,,,
player,201510110kan,kan,ConlCh00,pass_int,0,,,,,
player,201510110kan,kan,ConlCh00,pass_sacked,0,,,,,
player,201510110kan,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201510110kan,kan,ConlCh00,pass_long,0,,,,,
player,201510110kan,kan,ConlCh00,pass_rating,,,,,,
player,201510110kan,kan,ConlCh00,rush_att,0,,,,,
player,201510110kan,kan,ConlCh00,rush_yds,0,,,,,
player,201510110kan,kan,ConlCh00,rush_td,0,,,,,
player,201510110kan,kan,ConlCh00,rush_long,0,,,,,
player,201510110kan,kan,ConlCh00,targets,3,,,,,
player,201510110kan,kan,ConlCh00,rec,1,,,,,
player,201510110kan,kan,ConlCh00,rec_yds,6,,,,,
player,201510110kan,kan,ConlCh00,rec_td,0,,,,,
player,201510110kan,kan,ConlCh00,rec_long,6,,,,,
player,201510110kan,kan,ConlCh00,fumbles,0,,,,,
player,201510110kan,kan,ConlCh00,fumbles_lost,0,,,,,
player,201510110kan,chi,HousLa99,def_int,0,,,,,
player,201510110kan,chi,HousLa99,def_int_yds,0,,,,,
player,201510110kan,chi,HousLa99,def_int_td,0,,,,,
player,201510110kan,chi,HousLa99,def_int_long,0,,,,,
player,201510110kan,chi,HousLa99,pass_defended,0,,,,,
player,201510110kan,chi,HousLa99,sacks,1.0,,,,,
player,201510110kan,chi,HousLa99,tackles_combined,3,,,,,
player,201510110kan,chi,HousLa99,tackles_solo,3,,,,,
player,201510110kan,chi,HousLa99,tackles_assists,0,,,,,
player,201510110kan,chi,HousLa99,tackles_loss,1,,,,,
player,201510110kan,chi,HousLa99,qb_hits,1,,,,,
player,201510110kan,chi,HousLa99,fumbles_rec,0,,,,,
player,201510110kan,chi,HousLa99,fumbles_rec_yds,0,,,,,
player,201510110kan,chi,HousLa99,fumbles_rec_td,0,,,,,
player,201510110kan,chi,HousLa99,fumbles_forced,0,,,,,
player,201510110kan,chi,McPhPe00,def_int,0,,,,,
player,201510110kan,chi,McPhPe00,def_int_yds,0,,,,,
player,201510110kan,chi,McPhPe00,def_int_td,0,,,,,
player,201510110kan,chi,McPhPe00,def_int_long,0,,,,,
player,201510110kan,chi,McPhPe00,pass_defended,0,,,,,
player,201510110kan,chi,McPhPe00,sacks,1.0,,,,,
player,201510110kan,chi,McPhPe00,tackles_combined,2,,,,,
player,201510110kan,chi,McPhPe00,tackles_solo,1,,,,,
player,201510110kan,chi,McPhPe00,tackles_assists,1,,,,,
player,201510110kan,chi,McPhPe00,tackles_loss,1,,,,,
player,201510110kan,chi,McPhPe00,qb_hits,1,,,,,
player,201510110kan,chi,McPhPe00,fumbles_rec,0,,,,,
player,201510110kan,chi,McPhPe00,fumbles_rec_yds,0,,,,,
player,201510110kan,chi,McPhPe00,fumbles_rec_td,0,,,,,
player,201510110kan,chi,McPhPe00,fumbles_forced,0,,,,,
player,201510110kan,chi,YounWi99,def_int,0,,,,,
player,201510110kan,chi,YounWi99,def_int_yds,0,,,,,
player,201510110kan,chi,YounWi99,def_int_td,0,,,,,
player,201510110kan,chi,YounWi99,def_int_long,0,,,,,
player,201510110kan,chi,YounWi99,pass_defended,0,,,,,
player,201510110kan,chi,YounWi99,sacks,1.0,,,,,
player,201510110kan,chi,YounWi99,tackles_combined,1,,,,,
player,201510110kan,chi,YounWi99,tackles_solo,1,,,,,
player,201510110kan,chi,YounWi99,tackles_assists,0,,,,,
player,201510110kan,chi,YounWi99,tackles_loss,1,,,,,
player,201510110kan,chi,YounWi99,qb_hits,1,,,,,
player,201510110kan,chi,YounWi99,fumbles_rec,0,,,,,
player,201510110kan,chi,YounWi99,fumbles_rec_yds,0,,,,,
player,201510110kan,chi,YounWi99,fumbles_rec_td,0,,,,,
player,201510110kan,chi,YounWi99,fumbles_forced,0,,,,,
player,201510110kan,chi,AchoSa00,def_int,0,,,,,
player,201510110kan,chi,AchoSa00,def_int_yds,0,,,,,
player,201510110kan,chi,AchoSa00,def_int_td,0,,,,,
player,201510110kan,chi,AchoSa00,def_int_long,0,,,,,
