game,2015,17,20160103,201601030clt,oti,"Tennessee Titans",24,clt,"Indianapolis Colts",30
player,201601030clt,clt,HerrDa00,rec_long,0,,,,,
player,201601030clt,clt,HerrDa00,fumbles,0,,,,,
player,201601030clt,clt,HerrDa00,fumbles_lost,0,,,,,
player,201601030clt,clt,FleeCo00,pass_cmp,0,,,,,
player,201601030clt,clt,FleeCo00,pass_att,0,,,,,
player,201601030clt,clt,FleeCo00,pass_yds,0,,,,,
player,201601030clt,clt,FleeCo00,pass_td,0,,,,,
player,201601030clt,clt,FleeCo00,pass_int,0,,,,,
player,201601030clt,clt,FleeCo00,pass_sacked,0,,,,,
player,201601030clt,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,FleeCo00,pass_long,0,,,,,
player,201601030clt,clt,FleeCo00,pass_rating,,,,,,
player,201601030clt,clt,FleeCo00,rush_att,0,,,,,
player,201601030clt,clt,FleeCo00,rush_yds,0,,,,,
player,201601030clt,clt,FleeCo00,rush_td,0,,,,,
player,201601030clt,clt,FleeCo00,rush_long,0,,,,,
player,201601030clt,clt,FleeCo00,targets,7,,,,,
player,201601030clt,clt,FleeCo00,rec,7,,,,,
player,201601030clt,clt,FleeCo00,rec_yds,88,,,,,
player,201601030clt,clt,FleeCo00,rec_td,1,,,,,
player,201601030clt,clt,FleeCo00,rec_long,57,,,,,
player,201601030clt,clt,FleeCo00,fumbles,0,,,,,
player,201601030clt,clt,FleeCo00,fumbles_lost,0,,,,,
player,201601030clt,clt,JohnAn02,pass_cmp,0,,,,,
player,201601030clt,clt,JohnAn02,pass_att,0,,,,,
player,201601030clt,clt,JohnAn02,pass_yds,0,,,,,
player,201601030clt,clt,JohnAn02,pass_td,0,,,,,
player,201601030clt,clt,JohnAn02,pass_int,0,,,,,
player,201601030clt,clt,JohnAn02,pass_sacked,0,,,,,
player,201601030clt,clt,JohnAn02,pass_sacked_yds,0,,,,,
player,201601030clt,clt,JohnAn02,pass_long,0,,,,,
player,201601030clt,clt,JohnAn02,pass_rating,,,,,,
player,201601030clt,clt,JohnAn02,rush_att,0,,,,,
player,201601030clt,clt,JohnAn02,rush_yds,0,,,,,
player,201601030clt,clt,JohnAn02,rush_td,0,,,,,
player,201601030clt,clt,JohnAn02,rush_long,0,,,,,
player,201601030clt,clt,JohnAn02,targets,6,,,,,
player,201601030clt,clt,JohnAn02,rec,4,,,,,
player,201601030clt,clt,JohnAn02,rec_yds,46,,,,,
player,201601030clt,clt,JohnAn02,rec_td,1,,,,,
player,201601030clt,clt,JohnAn02,rec_long,18,,,,,
player,201601030clt,clt,JohnAn02,fumbles,0,,,,,
player,201601030clt,clt,JohnAn02,fumbles_lost,0,,,,,
player,201601030clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201601030clt,clt,HiltT.00,pass_att,0,,,,,
player,201601030clt,clt,HiltT.00,pass_yds,0,,,,,
player,201601030clt,clt,HiltT.00,pass_td,0,,,,,
player,201601030clt,clt,HiltT.00,pass_int,0,,,,,
player,201601030clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201601030clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,HiltT.00,pass_long,0,,,,,
player,201601030clt,clt,HiltT.00,pass_rating,,,,,,
player,201601030clt,clt,HiltT.00,rush_att,0,,,,,
player,201601030clt,clt,HiltT.00,rush_yds,0,,,,,
player,201601030clt,clt,HiltT.00,rush_td,0,,,,,
player,201601030clt,clt,HiltT.00,rush_long,0,,,,,
player,201601030clt,clt,HiltT.00,targets,7,,,,,
player,201601030clt,clt,HiltT.00,rec,4,,,,,
player,201601030clt,clt,HiltT.00,rec_yds,44,,,,,
player,201601030clt,clt,HiltT.00,rec_td,0,,,,,
player,201601030clt,clt,HiltT.00,rec_long,18,,,,,
player,201601030clt,clt,HiltT.00,fumbles,0,,,,,
player,201601030clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201601030clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201601030clt,clt,DoylJa00,pass_att,0,,,,,
player,201601030clt,clt,DoylJa00,pass_yds,0,,,,,
player,201601030clt,clt,DoylJa00,pass_td,0,,,,,
player,201601030clt,clt,DoylJa00,pass_int,0,,,,,
player,201601030clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201601030clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,DoylJa00,pass_long,0,,,,,
player,201601030clt,clt,DoylJa00,pass_rating,,,,,,
player,201601030clt,clt,DoylJa00,rush_att,0,,,,,
player,201601030clt,clt,DoylJa00,rush_yds,0,,,,,
player,201601030clt,clt,DoylJa00,rush_td,0,,,,,
player,201601030clt,clt,DoylJa00,rush_long,0,,,,,
player,201601030clt,clt,DoylJa00,targets,1,,,,,
player,201601030clt,clt,DoylJa00,rec,1,,,,,
player,201601030clt,clt,DoylJa00,rec_yds,3,,,,,
player,201601030clt,clt,DoylJa00,rec_td,0,,,,,
player,201601030clt,clt,DoylJa00,rec_long,3,,,,,
player,201601030clt,clt,DoylJa00,fumbles,0,,,,,
player,201601030clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201601030clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201601030clt,clt,MoncDo00,pass_att,0,,,,,
player,201601030clt,clt,MoncDo00,pass_yds,0,,,,,
player,201601030clt,clt,MoncDo00,pass_td,0,,,,,
player,201601030clt,clt,MoncDo00,pass_int,0,,,,,
player,201601030clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201601030clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,MoncDo00,pass_long,0,,,,,
player,201601030clt,clt,MoncDo00,pass_rating,,,,,,
player,201601030clt,clt,MoncDo00,rush_att,0,,,,,
player,201601030clt,clt,MoncDo00,rush_yds,0,,,,,
player,201601030clt,clt,MoncDo00,rush_td,0,,,,,
player,201601030clt,clt,MoncDo00,rush_long,0,,,,,
player,201601030clt,clt,MoncDo00,targets,2,,,,,
player,201601030clt,clt,MoncDo00,rec,1,,,,,
player,201601030clt,clt,MoncDo00,rec_yds,-2,,,,,
player,201601030clt,clt,MoncDo00,rec_td,0,,,,,
player,201601030clt,clt,MoncDo00,rec_long,-2,,,,,
player,201601030clt,clt,MoncDo00,fumbles,0,,,,,
player,201601030clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201601030clt,oti,SearDa00,def_int,1,,,,,
player,201601030clt,oti,SearDa00,def_int_yds,5,,,,,
player,201601030clt,oti,SearDa00,def_int_td,0,,,,,
player,201601030clt,oti,SearDa00,def_int_long,5,,,,,
player,201601030clt,oti,SearDa00,pass_defended,1,,,,,
player,201601030clt,oti,SearDa00,sacks,0.0,,,,,
player,201601030clt,oti,SearDa00,tackles_combined,3,,,,,
player,201601030clt,oti,SearDa00,tackles_solo,1,,,,,
