game,2015,12,20151129,201511290clt,tam,"Tampa Bay Buccaneers",12,clt,"Indianapolis Colts",25
player,201511290clt,tam,SpenAk00,tackles_loss,1,,,,,
player,201511290clt,tam,SpenAk00,qb_hits,2,,,,,
player,201511290clt,tam,SpenAk00,fumbles_rec,0,,,,,
player,201511290clt,tam,SpenAk00,fumbles_rec_yds,0,,,,,
player,201511290clt,tam,SpenAk00,fumbles_rec_td,0,,,,,
player,201511290clt,tam,SpenAk00,fumbles_forced,0,,,,,
player,201511290clt,tam,McCoGe99,def_int,0,,,,,
player,201511290clt,tam,McCoGe99,def_int_yds,0,,,,,
player,201511290clt,tam,McCoGe99,def_int_td,0,,,,,
player,201511290clt,tam,McCoGe99,def_int_long,0,,,,,
player,201511290clt,tam,McCoGe99,pass_defended,0,,,,,
player,201511290clt,tam,McCoGe99,sacks,1.0,,,,,
player,201511290clt,tam,McCoGe99,tackles_combined,2,,,,,
player,201511290clt,tam,McCoGe99,tackles_solo,2,,,,,
player,201511290clt,tam,McCoGe99,tackles_assists,0,,,,,
player,201511290clt,tam,McCoGe99,tackles_loss,1,,,,,
player,201511290clt,tam,McCoGe99,qb_hits,1,,,,,
player,201511290clt,tam,McCoGe99,fumbles_rec,0,,,,,
player,201511290clt,tam,McCoGe99,fumbles_rec_yds,0,,,,,
player,201511290clt,tam,McCoGe99,fumbles_rec_td,0,,,,,
player,201511290clt,tam,McCoGe99,fumbles_forced,0,,,,,
player,201511290clt,tam,AlexKw00,def_int,0,,,,,
player,201511290clt,tam,AlexKw00,def_int_yds,0,,,,,
player,201511290clt,tam,AlexKw00,def_int_td,0,,,,,
player,201511290clt,tam,AlexKw00,def_int_long,0,,,,,
player,201511290clt,tam,AlexKw00,pass_defended,1,,,,,
player,201511290clt,tam,AlexKw00,sacks,0.0,,,,,
player,201511290clt,tam,AlexKw00,tackles_combined,10,,,,,
player,201511290clt,tam,AlexKw00,tackles_solo,7,,,,,
player,201511290clt,tam,AlexKw00,tackles_assists,3,,,,,
player,201511290clt,tam,AlexKw00,tackles_loss,1,,,,,
player,201511290clt,tam,AlexKw00,qb_hits,0,,,,,
player,201511290clt,tam,AlexKw00,fumbles_rec,0,,,,,
player,201511290clt,tam,AlexKw00,fumbles_rec_yds,0,,,,,
player,201511290clt,tam,AlexKw00,fumbles_rec_td,0,,,,,
player,201511290clt,tam,AlexKw00,fumbles_forced,0,,,,,
player,201511290clt,tam,AdjeJu00,def_int,0,,,,,
player,201511290clt,tam,AdjeJu00,def_int_yds,0,,,,,
player,201511290clt,tam,AdjeJu00,def_int_td,0,,,,,
player,201511290clt,tam,AdjeJu00,def_int_long,0,,,,,
player,201511290clt,tam,AdjeJu00,pass_defended,0,,,,,
player,201511290clt,tam,AdjeJu00,sacks,0.0,,,,,
player,201511290clt,tam,AdjeJu00,tackles_combined,9,,,,,
player,201511290clt,tam,AdjeJu00,tackles_solo,6,,,,,
player,201511290clt,tam,AdjeJu00,tackles_assists,3,,,,,
player,201511290clt,tam,AdjeJu00,tackles_loss,0,,,,,
player,201511290clt,tam,AdjeJu00,qb_hits,0,,,,,
player,201511290clt,tam,AdjeJu00,fumbles_rec,0,,,,,
player,201511290clt,tam,AdjeJu00,fumbles_rec_yds,0,,,,,
player,201511290clt,tam,AdjeJu00,fumbles_rec_td,0,,,,,
player,201511290clt,tam,AdjeJu00,fumbles_forced,0,,,,,
player,201511290clt,tam,DaviLa00,def_int,0,,,,,
player,201511290clt,tam,DaviLa00,def_int_yds,0,,,,,
player,201511290clt,tam,DaviLa00,def_int_td,0,,,,,
player,201511290clt,tam,DaviLa00,def_int_long,0,,,,,
player,201511290clt,tam,DaviLa00,pass_defended,1,,,,,
player,201511290clt,tam,DaviLa00,sacks,0.0,,,,,
player,201511290clt,tam,DaviLa00,tackles_combined,7,,,,,
player,201511290clt,tam,DaviLa00,tackles_solo,4,,,,,
