game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,htx,SavaTo00,rush_td,0,,,,,
player,201711190htx,htx,SavaTo00,rush_long,3,,,,,
player,201711190htx,htx,SavaTo00,targets,0,,,,,
player,201711190htx,htx,SavaTo00,rec,0,,,,,
player,201711190htx,htx,SavaTo00,rec_yds,0,,,,,
player,201711190htx,htx,SavaTo00,rec_td,0,,,,,
player,201711190htx,htx,SavaTo00,rec_long,0,,,,,
player,201711190htx,htx,SavaTo00,fumbles,1,,,,,
player,201711190htx,htx,SavaTo00,fumbles_lost,1,,,,,
player,201711190htx,htx,ForeDO00,pass_cmp,0,,,,,
player,201711190htx,htx,ForeDO00,pass_att,0,,,,,
player,201711190htx,htx,ForeDO00,pass_yds,0,,,,,
player,201711190htx,htx,ForeDO00,pass_td,0,,,,,
player,201711190htx,htx,ForeDO00,pass_int,0,,,,,
player,201711190htx,htx,ForeDO00,pass_sacked,0,,,,,
player,201711190htx,htx,ForeDO00,pass_sacked_yds,0,,,,,
player,201711190htx,htx,ForeDO00,pass_long,0,,,,,
player,201711190htx,htx,ForeDO00,pass_rating,,,,,,
player,201711190htx,htx,ForeDO00,rush_att,10,,,,,
player,201711190htx,htx,ForeDO00,rush_yds,65,,,,,
player,201711190htx,htx,ForeDO00,rush_td,2,,,,,
player,201711190htx,htx,ForeDO00,rush_long,34,,,,,
player,201711190htx,htx,ForeDO00,targets,3,,,,,
player,201711190htx,htx,ForeDO00,rec,3,,,,,
player,201711190htx,htx,ForeDO00,rec_yds,15,,,,,
player,201711190htx,htx,ForeDO00,rec_td,0,,,,,
player,201711190htx,htx,ForeDO00,rec_long,8,,,,,
player,201711190htx,htx,ForeDO00,fumbles,1,,,,,
player,201711190htx,htx,ForeDO00,fumbles_lost,0,,,,,
player,201711190htx,htx,MillLa01,pass_cmp,0,,,,,
player,201711190htx,htx,MillLa01,pass_att,0,,,,,
player,201711190htx,htx,MillLa01,pass_yds,0,,,,,
player,201711190htx,htx,MillLa01,pass_td,0,,,,,
player,201711190htx,htx,MillLa01,pass_int,0,,,,,
player,201711190htx,htx,MillLa01,pass_sacked,0,,,,,
player,201711190htx,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201711190htx,htx,MillLa01,pass_long,0,,,,,
player,201711190htx,htx,MillLa01,pass_rating,,,,,,
player,201711190htx,htx,MillLa01,rush_att,22,,,,,
player,201711190htx,htx,MillLa01,rush_yds,61,,,,,
player,201711190htx,htx,MillLa01,rush_td,0,,,,,
player,201711190htx,htx,MillLa01,rush_long,13,,,,,
player,201711190htx,htx,MillLa01,targets,5,,,,,
player,201711190htx,htx,MillLa01,rec,4,,,,,
player,201711190htx,htx,MillLa01,rec_yds,22,,,,,
player,201711190htx,htx,MillLa01,rec_td,1,,,,,
player,201711190htx,htx,MillLa01,rec_long,8,,,,,
player,201711190htx,htx,MillLa01,fumbles,1,,,,,
player,201711190htx,htx,MillLa01,fumbles_lost,0,,,,,
player,201711190htx,htx,ElliBr00,pass_cmp,0,,,,,
player,201711190htx,htx,ElliBr00,pass_att,0,,,,,
player,201711190htx,htx,ElliBr00,pass_yds,0,,,,,
player,201711190htx,htx,ElliBr00,pass_td,0,,,,,
