game,2017,10,20171112,201711120det,cle,"Cleveland Browns",24,det,"Detroit Lions",38
player,201711120det,det,GollKe00,pass_att,0,,,,,
player,201711120det,det,GollKe00,pass_yds,0,,,,,
player,201711120det,det,GollKe00,pass_td,0,,,,,
player,201711120det,det,GollKe00,pass_int,0,,,,,
player,201711120det,det,GollKe00,pass_sacked,0,,,,,
player,201711120det,det,GollKe00,pass_sacked_yds,0,,,,,
player,201711120det,det,GollKe00,pass_long,0,,,,,
player,201711120det,det,GollKe00,pass_rating,,,,,,
player,201711120det,det,GollKe00,rush_att,0,,,,,
player,201711120det,det,GollKe00,rush_yds,0,,,,,
player,201711120det,det,GollKe00,rush_td,0,,,,,
player,201711120det,det,GollKe00,rush_long,0,,,,,
player,201711120det,det,GollKe00,targets,3,,,,,
player,201711120det,det,GollKe00,rec,2,,,,,
player,201711120det,det,GollKe00,rec_yds,64,,,,,
player,201711120det,det,GollKe00,rec_td,0,,,,,
player,201711120det,det,GollKe00,rec_long,50,,,,,
player,201711120det,det,GollKe00,fumbles,0,,,,,
player,201711120det,det,GollKe00,fumbles_lost,0,,,,,
player,201711120det,det,EbroEr00,pass_cmp,0,,,,,
player,201711120det,det,EbroEr00,pass_att,0,,,,,
player,201711120det,det,EbroEr00,pass_yds,0,,,,,
player,201711120det,det,EbroEr00,pass_td,0,,,,,
player,201711120det,det,EbroEr00,pass_int,0,,,,,
player,201711120det,det,EbroEr00,pass_sacked,0,,,,,
player,201711120det,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201711120det,det,EbroEr00,pass_long,0,,,,,
player,201711120det,det,EbroEr00,pass_rating,,,,,,
player,201711120det,det,EbroEr00,rush_att,0,,,,,
player,201711120det,det,EbroEr00,rush_yds,0,,,,,
player,201711120det,det,EbroEr00,rush_td,0,,,,,
player,201711120det,det,EbroEr00,rush_long,0,,,,,
player,201711120det,det,EbroEr00,targets,3,,,,,
player,201711120det,det,EbroEr00,rec,2,,,,,
player,201711120det,det,EbroEr00,rec_yds,39,,,,,
player,201711120det,det,EbroEr00,rec_td,1,,,,,
player,201711120det,det,EbroEr00,rec_long,29,,,,,
player,201711120det,det,EbroEr00,fumbles,0,,,,,
player,201711120det,det,EbroEr00,fumbles_lost,0,,,,,
player,201711120det,det,JoneMa02,pass_cmp,0,,,,,
player,201711120det,det,JoneMa02,pass_att,0,,,,,
player,201711120det,det,JoneMa02,pass_yds,0,,,,,
player,201711120det,det,JoneMa02,pass_td,0,,,,,
player,201711120det,det,JoneMa02,pass_int,0,,,,,
player,201711120det,det,JoneMa02,pass_sacked,0,,,,,
player,201711120det,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201711120det,det,JoneMa02,pass_long,0,,,,,
player,201711120det,det,JoneMa02,pass_rating,,,,,,
player,201711120det,det,JoneMa02,rush_att,0,,,,,
player,201711120det,det,JoneMa02,rush_yds,0,,,,,
player,201711120det,det,JoneMa02,rush_td,0,,,,,
player,201711120det,det,JoneMa02,rush_long,0,,,,,
player,201711120det,det,JoneMa02,targets,2,,,,,
player,201711120det,det,JoneMa02,rec,1,,,,,
player,201711120det,det,JoneMa02,rec_yds,22,,,,,
player,201711120det,det,JoneMa02,rec_td,0,,,,,
player,201711120det,det,JoneMa02,rec_long,22,,,,,
player,201711120det,det,JoneMa02,fumbles,0,,,,,
player,201711120det,det,JoneMa02,fumbles_lost,0,,,,,
player,201711120det,det,WashDw00,pass_cmp,0,,,,,
player,201711120det,det,WashDw00,pass_att,0,,,,,
player,201711120det,det,WashDw00,pass_yds,0,,,,,
player,201711120det,det,WashDw00,pass_td,0,,,,,
player,201711120det,det,WashDw00,pass_int,0,,,,,
player,201711120det,det,WashDw00,pass_sacked,0,,,,,
player,201711120det,det,WashDw00,pass_sacked_yds,0,,,,,
player,201711120det,det,WashDw00,pass_long,0,,,,,
player,201711120det,det,WashDw00,pass_rating,,,,,,
player,201711120det,det,WashDw00,rush_att,0,,,,,
player,201711120det,det,WashDw00,rush_yds,0,,,,,
player,201711120det,det,WashDw00,rush_td,0,,,,,
player,201711120det,det,WashDw00,rush_long,0,,,,,
player,201711120det,det,WashDw00,targets,1,,,,,
player,201711120det,det,WashDw00,rec,1,,,,,
player,201711120det,det,WashDw00,rec_yds,10,,,,,
player,201711120det,det,WashDw00,rec_td,0,,,,,
player,201711120det,det,WashDw00,rec_long,10,,,,,
player,201711120det,det,WashDw00,fumbles,0,,,,,
player,201711120det,det,WashDw00,fumbles_lost,0,,,,,
player,201711120det,det,JoneT.00,pass_cmp,0,,,,,
player,201711120det,det,JoneT.00,pass_att,0,,,,,
player,201711120det,det,JoneT.00,pass_yds,0,,,,,
player,201711120det,det,JoneT.00,pass_td,0,,,,,
player,201711120det,det,JoneT.00,pass_int,0,,,,,
player,201711120det,det,JoneT.00,pass_sacked,0,,,,,
player,201711120det,det,JoneT.00,pass_sacked_yds,0,,,,,
player,201711120det,det,JoneT.00,pass_long,0,,,,,
player,201711120det,det,JoneT.00,pass_rating,,,,,,
player,201711120det,det,JoneT.00,rush_att,0,,,,,
player,201711120det,det,JoneT.00,rush_yds,0,,,,,
player,201711120det,det,JoneT.00,rush_td,0,,,,,
player,201711120det,det,JoneT.00,rush_long,0,,,,,
player,201711120det,det,JoneT.00,targets,3,,,,,
player,201711120det,det,JoneT.00,rec,1,,,,,
player,201711120det,det,JoneT.00,rec_yds,2,,,,,
player,201711120det,det,JoneT.00,rec_td,0,,,,,
player,201711120det,det,JoneT.00,rec_long,2,,,,,
player,201711120det,det,JoneT.00,fumbles,0,,,,,
player,201711120det,det,JoneT.00,fumbles_lost,0,,,,,
player,201711120det,det,FellDa01,pass_cmp,0,,,,,
player,201711120det,det,FellDa01,pass_att,0,,,,,
player,201711120det,det,FellDa01,pass_yds,0,,,,,
player,201711120det,det,FellDa01,pass_td,0,,,,,
player,201711120det,det,FellDa01,pass_int,0,,,,,
player,201711120det,det,FellDa01,pass_sacked,0,,,,,
player,201711120det,det,FellDa01,pass_sacked_yds,0,,,,,
player,201711120det,det,FellDa01,pass_long,0,,,,,
player,201711120det,det,FellDa01,pass_rating,,,,,,
player,201711120det,det,FellDa01,rush_att,0,,,,,
player,201711120det,det,FellDa01,rush_yds,0,,,,,
player,201711120det,det,FellDa01,rush_td,0,,,,,
player,201711120det,det,FellDa01,rush_long,0,,,,,
player,201711120det,det,FellDa01,targets,1,,,,,
player,201711120det,det,FellDa01,rec,0,,,,,
player,201711120det,det,FellDa01,rec_yds,0,,,,,
player,201711120det,det,FellDa01,rec_td,0,,,,,
player,201711120det,det,FellDa01,rec_long,0,,,,,
player,201711120det,det,FellDa01,fumbles,0,,,,,
player,201711120det,det,FellDa01,fumbles_lost,0,,,,,
player,201711120det,cle,CollJa00,def_int,1,,,,,
player,201711120det,cle,CollJa00,def_int_yds,0,,,,,
player,201711120det,cle,CollJa00,def_int_td,0,,,,,
player,201711120det,cle,CollJa00,def_int_long,0,,,,,
player,201711120det,cle,CollJa00,pass_defended,1,,,,,
player,201711120det,cle,CollJa00,sacks,0.0,,,,,
player,201711120det,cle,CollJa00,tackles_combined,1,,,,,
player,201711120det,cle,CollJa00,tackles_solo,0,,,,,
player,201711120det,cle,CollJa00,tackles_assists,1,,,,,
player,201711120det,cle,CollJa00,tackles_loss,0,,,,,
player,201711120det,cle,CollJa00,qb_hits,0,,,,,
player,201711120det,cle,CollJa00,fumbles_rec,0,,,,,
player,201711120det,cle,CollJa00,fumbles_rec_yds,0,,,,,
