game,2017,8,20171029,201710290sea,htx,"Houston Texans",38,sea,"Seattle Seahawks",41
player,201710290sea,sea,LockTy00,pass_td,0,,,,,
player,201710290sea,sea,LockTy00,pass_int,0,,,,,
player,201710290sea,sea,LockTy00,pass_sacked,0,,,,,
player,201710290sea,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,LockTy00,pass_long,0,,,,,
player,201710290sea,sea,LockTy00,pass_rating,,,,,,
player,201710290sea,sea,LockTy00,rush_att,1,,,,,
player,201710290sea,sea,LockTy00,rush_yds,-2,,,,,
player,201710290sea,sea,LockTy00,rush_td,0,,,,,
player,201710290sea,sea,LockTy00,rush_long,-2,,,,,
player,201710290sea,sea,LockTy00,targets,8,,,,,
player,201710290sea,sea,LockTy00,rec,6,,,,,
player,201710290sea,sea,LockTy00,rec_yds,121,,,,,
player,201710290sea,sea,LockTy00,rec_td,0,,,,,
player,201710290sea,sea,LockTy00,rec_long,54,,,,,
player,201710290sea,sea,LockTy00,fumbles,0,,,,,
player,201710290sea,sea,LockTy00,fumbles_lost,0,,,,,
player,201710290sea,htx,WillMa03,def_int,1,,,,,
player,201710290sea,htx,WillMa03,def_int_yds,2,,,,,
player,201710290sea,htx,WillMa03,def_int_td,0,,,,,
player,201710290sea,htx,WillMa03,def_int_long,2,,,,,
player,201710290sea,htx,WillMa03,pass_defended,1,,,,,
player,201710290sea,htx,WillMa03,sacks,0.0,,,,,
player,201710290sea,htx,WillMa03,tackles_combined,4,,,,,
player,201710290sea,htx,WillMa03,tackles_solo,4,,,,,
player,201710290sea,htx,WillMa03,tackles_assists,0,,,,,
player,201710290sea,htx,WillMa03,tackles_loss,0,,,,,
player,201710290sea,htx,WillMa03,qb_hits,0,,,,,
player,201710290sea,htx,WillMa03,fumbles_rec,0,,,,,
player,201710290sea,htx,WillMa03,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,WillMa03,fumbles_rec_td,0,,,,,
player,201710290sea,htx,WillMa03,fumbles_forced,0,,,,,
player,201710290sea,htx,ClowJa00,def_int,0,,,,,
player,201710290sea,htx,ClowJa00,def_int_yds,0,,,,,
player,201710290sea,htx,ClowJa00,def_int_td,0,,,,,
player,201710290sea,htx,ClowJa00,def_int_long,0,,,,,
player,201710290sea,htx,ClowJa00,pass_defended,0,,,,,
player,201710290sea,htx,ClowJa00,sacks,1.0,,,,,
player,201710290sea,htx,ClowJa00,tackles_combined,4,,,,,
player,201710290sea,htx,ClowJa00,tackles_solo,4,,,,,
player,201710290sea,htx,ClowJa00,tackles_assists,0,,,,,
player,201710290sea,htx,ClowJa00,tackles_loss,2,,,,,
player,201710290sea,htx,ClowJa00,qb_hits,1,,,,,
player,201710290sea,htx,ClowJa00,fumbles_rec,0,,,,,
