game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,det,WashDw00,rec_yds,0,,,,,
player,201709100det,det,WashDw00,rec_td,0,,,,,
player,201709100det,det,WashDw00,rec_long,0,,,,,
player,201709100det,det,WashDw00,fumbles,0,,,,,
player,201709100det,det,WashDw00,fumbles_lost,0,,,,,
player,201709100det,det,RedfKa00,pass_cmp,0,,,,,
player,201709100det,det,RedfKa00,pass_att,0,,,,,
player,201709100det,det,RedfKa00,pass_yds,0,,,,,
player,201709100det,det,RedfKa00,pass_td,0,,,,,
player,201709100det,det,RedfKa00,pass_int,0,,,,,
player,201709100det,det,RedfKa00,pass_sacked,0,,,,,
player,201709100det,det,RedfKa00,pass_sacked_yds,0,,,,,
player,201709100det,det,RedfKa00,pass_long,0,,,,,
player,201709100det,det,RedfKa00,pass_rating,,,,,,
player,201709100det,det,RedfKa00,rush_att,1,,,,,
player,201709100det,det,RedfKa00,rush_yds,10,,,,,
player,201709100det,det,RedfKa00,rush_td,0,,,,,
player,201709100det,det,RedfKa00,rush_long,10,,,,,
player,201709100det,det,RedfKa00,targets,0,,,,,
player,201709100det,det,RedfKa00,rec,0,,,,,
player,201709100det,det,RedfKa00,rec_yds,0,,,,,
player,201709100det,det,RedfKa00,rec_td,0,,,,,
player,201709100det,det,RedfKa00,rec_long,0,,,,,
player,201709100det,det,RedfKa00,fumbles,1,,,,,
player,201709100det,det,RedfKa00,fumbles_lost,0,,,,,
player,201709100det,det,TateGo00,pass_cmp,0,,,,,
player,201709100det,det,TateGo00,pass_att,0,,,,,
player,201709100det,det,TateGo00,pass_yds,0,,,,,
player,201709100det,det,TateGo00,pass_td,0,,,,,
player,201709100det,det,TateGo00,pass_int,0,,,,,
player,201709100det,det,TateGo00,pass_sacked,0,,,,,
player,201709100det,det,TateGo00,pass_sacked_yds,0,,,,,
player,201709100det,det,TateGo00,pass_long,0,,,,,
player,201709100det,det,TateGo00,pass_rating,,,,,,
player,201709100det,det,TateGo00,rush_att,2,,,,,
player,201709100det,det,TateGo00,rush_yds,7,,,,,
player,201709100det,det,TateGo00,rush_td,0,,,,,
player,201709100det,det,TateGo00,rush_long,6,,,,,
player,201709100det,det,TateGo00,targets,12,,,,,
player,201709100det,det,TateGo00,rec,10,,,,,
player,201709100det,det,TateGo00,rec_yds,107,,,,,
player,201709100det,det,TateGo00,rec_td,0,,,,,
player,201709100det,det,TateGo00,rec_long,19,,,,,
player,201709100det,det,TateGo00,fumbles,0,,,,,
player,201709100det,det,TateGo00,fumbles_lost,0,,,,,
player,201709100det,det,GollKe00,pass_cmp,0,,,,,
player,201709100det,det,GollKe00,pass_att,0,,,,,
player,201709100det,det,GollKe00,pass_yds,0,,,,,
player,201709100det,det,GollKe00,pass_td,0,,,,,
player,201709100det,det,GollKe00,pass_int,0,,,,,
player,201709100det,det,GollKe00,pass_sacked,0,,,,,
player,201709100det,det,GollKe00,pass_sacked_yds,0,,,,,
player,201709100det,det,GollKe00,pass_long,0,,,,,
player,201709100det,det,GollKe00,pass_rating,,,,,,
player,201709100det,det,GollKe00,rush_att,0,,,,,
player,201709100det,det,GollKe00,rush_yds,0,,,,,
player,201709100det,det,GollKe00,rush_td,0,,,,,
player,201709100det,det,GollKe00,rush_long,0,,,,,
player,201709100det,det,GollKe00,targets,7,,,,,
player,201709100det,det,GollKe00,rec,4,,,,,
player,201709100det,det,GollKe00,rec_yds,69,,,,,
player,201709100det,det,GollKe00,rec_td,2,,,,,
player,201709100det,det,GollKe00,rec_long,45,,,,,
player,201709100det,det,GollKe00,fumbles,0,,,,,
player,201709100det,det,GollKe00,fumbles_lost,0,,,,,
player,201709100det,det,JoneMa02,pass_cmp,0,,,,,
player,201709100det,det,JoneMa02,pass_att,0,,,,,
player,201709100det,det,JoneMa02,pass_yds,0,,,,,
player,201709100det,det,JoneMa02,pass_td,0,,,,,
player,201709100det,det,JoneMa02,pass_int,0,,,,,
player,201709100det,det,JoneMa02,pass_sacked,0,,,,,
player,201709100det,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201709100det,det,JoneMa02,pass_long,0,,,,,
player,201709100det,det,JoneMa02,pass_rating,,,,,,
player,201709100det,det,JoneMa02,rush_att,0,,,,,
player,201709100det,det,JoneMa02,rush_yds,0,,,,,
player,201709100det,det,JoneMa02,rush_td,0,,,,,
player,201709100det,det,JoneMa02,rush_long,0,,,,,
player,201709100det,det,JoneMa02,targets,2,,,,,
player,201709100det,det,JoneMa02,rec,2,,,,,
player,201709100det,det,JoneMa02,rec_yds,37,,,,,
player,201709100det,det,JoneMa02,rec_td,1,,,,,
player,201709100det,det,JoneMa02,rec_long,31,,,,,
player,201709100det,det,JoneMa02,fumbles,0,,,,,
player,201709100det,det,JoneMa02,fumbles_lost,0,,,,,
player,201709100det,det,JoneT.00,pass_cmp,0,,,,,
player,201709100det,det,JoneT.00,pass_att,0,,,,,
player,201709100det,det,JoneT.00,pass_yds,0,,,,,
player,201709100det,det,JoneT.00,pass_td,0,,,,,
player,201709100det,det,JoneT.00,pass_int,0,,,,,
player,201709100det,det,JoneT.00,pass_sacked,0,,,,,
player,201709100det,det,JoneT.00,pass_sacked_yds,0,,,,,
player,201709100det,det,JoneT.00,pass_long,0,,,,,
player,201709100det,det,JoneT.00,pass_rating,,,,,,
player,201709100det,det,JoneT.00,rush_att,0,,,,,
player,201709100det,det,JoneT.00,rush_yds,0,,,,,
