game,2017,2,20170917,201709170sdg,mia,"Miami Dolphins",19,sdg,"Los Angeles Chargers",17
player,201709170sdg,sdg,GateAn00,fumbles,0,,,,,
player,201709170sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_cmp,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_att,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_yds,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_td,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_int,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_sacked,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_long,0,,,,,
player,201709170sdg,sdg,McGrSe00,pass_rating,,,,,,
player,201709170sdg,sdg,McGrSe00,rush_att,0,,,,,
player,201709170sdg,sdg,McGrSe00,rush_yds,0,,,,,
player,201709170sdg,sdg,McGrSe00,rush_td,0,,,,,
player,201709170sdg,sdg,McGrSe00,rush_long,0,,,,,
player,201709170sdg,sdg,McGrSe00,targets,1,,,,,
player,201709170sdg,sdg,McGrSe00,rec,1,,,,,
player,201709170sdg,sdg,McGrSe00,rec_yds,10,,,,,
player,201709170sdg,sdg,McGrSe00,rec_td,0,,,,,
player,201709170sdg,sdg,McGrSe00,rec_long,10,,,,,
player,201709170sdg,sdg,McGrSe00,fumbles,0,,,,,
player,201709170sdg,sdg,McGrSe00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_cmp,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_att,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_yds,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_td,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_int,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_sacked,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_long,0,,,,,
player,201709170sdg,sdg,InmaDo00,pass_rating,,,,,,
player,201709170sdg,sdg,InmaDo00,rush_att,0,,,,,
player,201709170sdg,sdg,InmaDo00,rush_yds,0,,,,,
player,201709170sdg,sdg,InmaDo00,rush_td,0,,,,,
player,201709170sdg,sdg,InmaDo00,rush_long,0,,,,,
player,201709170sdg,sdg,InmaDo00,targets,2,,,,,
player,201709170sdg,sdg,InmaDo00,rec,0,,,,,
player,201709170sdg,sdg,InmaDo00,rec_yds,0,,,,,
player,201709170sdg,sdg,InmaDo00,rec_td,0,,,,,
player,201709170sdg,sdg,InmaDo00,rec_long,0,,,,,
player,201709170sdg,sdg,InmaDo00,fumbles,0,,,,,
