game,2017,5,20171009,201710090chi,min,"Minnesota Vikings",20,chi,"Chicago Bears",17
player,201710090chi,min,SmitHa00,tackles_combined,3,,,,,
player,201710090chi,min,SmitHa00,tackles_solo,3,,,,,
player,201710090chi,min,SmitHa00,tackles_assists,0,,,,,
player,201710090chi,min,SmitHa00,tackles_loss,1,,,,,
player,201710090chi,min,SmitHa00,qb_hits,1,,,,,
player,201710090chi,min,SmitHa00,fumbles_rec,0,,,,,
player,201710090chi,min,SmitHa00,fumbles_rec_yds,0,,,,,
player,201710090chi,min,SmitHa00,fumbles_rec_td,0,,,,,
player,201710090chi,min,SmitHa00,fumbles_forced,0,,,,,
player,201710090chi,min,GrifEv99,def_int,0,,,,,
player,201710090chi,min,GrifEv99,def_int_yds,0,,,,,
player,201710090chi,min,GrifEv99,def_int_td,0,,,,,
player,201710090chi,min,GrifEv99,def_int_long,0,,,,,
player,201710090chi,min,GrifEv99,pass_defended,0,,,,,
player,201710090chi,min,GrifEv99,sacks,1.0,,,,,
player,201710090chi,min,GrifEv99,tackles_combined,2,,,,,
player,201710090chi,min,GrifEv99,tackles_solo,2,,,,,
player,201710090chi,min,GrifEv99,tackles_assists,0,,,,,
player,201710090chi,min,GrifEv99,tackles_loss,1,,,,,
player,201710090chi,min,GrifEv99,qb_hits,0,,,,,
player,201710090chi,min,GrifEv99,fumbles_rec,0,,,,,
player,201710090chi,min,GrifEv99,fumbles_rec_yds,0,,,,,
player,201710090chi,min,GrifEv99,fumbles_rec_td,0,,,,,
player,201710090chi,min,GrifEv99,fumbles_forced,1,,,,,
player,201710090chi,min,JoseLi99,def_int,0,,,,,
player,201710090chi,min,JoseLi99,def_int_yds,0,,,,,
player,201710090chi,min,JoseLi99,def_int_td,0,,,,,
player,201710090chi,min,JoseLi99,def_int_long,0,,,,,
player,201710090chi,min,JoseLi99,pass_defended,0,,,,,
player,201710090chi,min,JoseLi99,sacks,0.0,,,,,
player,201710090chi,min,JoseLi99,tackles_combined,6,,,,,
player,201710090chi,min,JoseLi99,tackles_solo,6,,,,,
player,201710090chi,min,JoseLi99,tackles_assists,0,,,,,
player,201710090chi,min,JoseLi99,tackles_loss,0,,,,,
player,201710090chi,min,JoseLi99,qb_hits,0,,,,,
player,201710090chi,min,JoseLi99,fumbles_rec,1,,,,,
player,201710090chi,min,JoseLi99,fumbles_rec_yds,0,,,,,
player,201710090chi,min,JoseLi99,fumbles_rec_td,0,,,,,
player,201710090chi,min,JoseLi99,fumbles_forced,0,,,,,
player,201710090chi,min,WaynTr00,def_int,0,,,,,
player,201710090chi,min,WaynTr00,def_int_yds,0,,,,,
player,201710090chi,min,WaynTr00,def_int_td,0,,,,,
player,201710090chi,min,WaynTr00,def_int_long,0,,,,,
player,201710090chi,min,WaynTr00,pass_defended,1,,,,,
player,201710090chi,min,WaynTr00,sacks,0.0,,,,,
