game,2017,3,20170924,201709240chi,pit,"Pittsburgh Steelers",17,chi,"Chicago Bears",23
player,201709240chi,pit,MitcMi99,def_int_yds,0,,,,,
player,201709240chi,pit,MitcMi99,def_int_td,0,,,,,
player,201709240chi,pit,MitcMi99,def_int_long,0,,,,,
player,201709240chi,pit,MitcMi99,pass_defended,1,,,,,
player,201709240chi,pit,MitcMi99,sacks,0.0,,,,,
player,201709240chi,pit,MitcMi99,tackles_combined,9,,,,,
player,201709240chi,pit,MitcMi99,tackles_solo,8,,,,,
player,201709240chi,pit,MitcMi99,tackles_assists,1,,,,,
player,201709240chi,pit,MitcMi99,tackles_loss,0,,,,,
player,201709240chi,pit,MitcMi99,qb_hits,0,,,,,
player,201709240chi,pit,MitcMi99,fumbles_rec,0,,,,,
player,201709240chi,pit,MitcMi99,fumbles_rec_yds,0,,,,,
player,201709240chi,pit,MitcMi99,fumbles_rec_td,0,,,,,
player,201709240chi,pit,MitcMi99,fumbles_forced,0,,,,,
player,201709240chi,pit,WillVi01,def_int,0,,,,,
player,201709240chi,pit,WillVi01,def_int_yds,0,,,,,
player,201709240chi,pit,WillVi01,def_int_td,0,,,,,
player,201709240chi,pit,WillVi01,def_int_long,0,,,,,
player,201709240chi,pit,WillVi01,pass_defended,0,,,,,
player,201709240chi,pit,WillVi01,sacks,0.0,,,,,
player,201709240chi,pit,WillVi01,tackles_combined,7,,,,,
player,201709240chi,pit,WillVi01,tackles_solo,5,,,,,
player,201709240chi,pit,WillVi01,tackles_assists,2,,,,,
player,201709240chi,pit,WillVi01,tackles_loss,1,,,,,
player,201709240chi,pit,WillVi01,qb_hits,0,,,,,
player,201709240chi,pit,WillVi01,fumbles_rec,0,,,,,
player,201709240chi,pit,WillVi01,fumbles_rec_yds,0,,,,,
player,201709240chi,pit,WillVi01,fumbles_rec_td,0,,,,,
player,201709240chi,pit,WillVi01,fumbles_forced,0,,,,,
player,201709240chi,pit,DuprAl00,def_int,0,,,,,
player,201709240chi,pit,DuprAl00,def_int_yds,0,,,,,
