game,2017,11,20171119,201711190nor,was,"Washington Redskins",31,nor,"New Orleans Saints",34
player,201711190nor,was,VigiZa00,tackles_solo,2,,,,,
player,201711190nor,was,VigiZa00,tackles_assists,0,,,,,
player,201711190nor,was,VigiZa00,tackles_loss,0,,,,,
player,201711190nor,was,VigiZa00,qb_hits,0,,,,,
player,201711190nor,was,VigiZa00,fumbles_rec,0,,,,,
player,201711190nor,was,VigiZa00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,VigiZa00,fumbles_rec_td,0,,,,,
player,201711190nor,was,VigiZa00,fumbles_forced,0,,,,,
player,201711190nor,was,AndeRy00,def_int,0,,,,,
player,201711190nor,was,AndeRy00,def_int_yds,0,,,,,
player,201711190nor,was,AndeRy00,def_int_td,0,,,,,
player,201711190nor,was,AndeRy00,def_int_long,0,,,,,
player,201711190nor,was,AndeRy00,pass_defended,0,,,,,
player,201711190nor,was,AndeRy00,sacks,0.0,,,,,
player,201711190nor,was,AndeRy00,tackles_combined,1,,,,,
player,201711190nor,was,AndeRy00,tackles_solo,1,,,,,
player,201711190nor,was,AndeRy00,tackles_assists,0,,,,,
player,201711190nor,was,AndeRy00,tackles_loss,0,,,,,
player,201711190nor,was,AndeRy00,qb_hits,0,,,,,
player,201711190nor,was,AndeRy00,fumbles_rec,0,,,,,
player,201711190nor,was,AndeRy00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,AndeRy00,fumbles_rec_td,0,,,,,
player,201711190nor,was,AndeRy00,fumbles_forced,0,,,,,
player,201711190nor,was,HolsJo01,def_int,0,,,,,
player,201711190nor,was,HolsJo01,def_int_yds,0,,,,,
player,201711190nor,was,HolsJo01,def_int_td,0,,,,,
player,201711190nor,was,HolsJo01,def_int_long,0,,,,,
player,201711190nor,was,HolsJo01,pass_defended,0,,,,,
player,201711190nor,was,HolsJo01,sacks,0.0,,,,,
player,201711190nor,was,HolsJo01,tackles_combined,1,,,,,
player,201711190nor,was,HolsJo01,tackles_solo,1,,,,,
player,201711190nor,was,HolsJo01,tackles_assists,0,,,,,
player,201711190nor,was,HolsJo01,tackles_loss,0,,,,,
player,201711190nor,was,HolsJo01,qb_hits,0,,,,,
player,201711190nor,was,HolsJo01,fumbles_rec,0,,,,,
player,201711190nor,was,HolsJo01,fumbles_rec_yds,0,,,,,
player,201711190nor,was,HolsJo01,fumbles_rec_td,0,,,,,
player,201711190nor,was,HolsJo01,fumbles_forced,0,,,,,
player,201711190nor,was,McGeSt01,def_int,0,,,,,
player,201711190nor,was,McGeSt01,def_int_yds,0,,,,,
player,201711190nor,was,McGeSt01,def_int_td,0,,,,,
player,201711190nor,was,McGeSt01,def_int_long,0,,,,,
player,201711190nor,was,McGeSt01,pass_defended,0,,,,,
player,201711190nor,was,McGeSt01,sacks,0.0,,,,,
player,201711190nor,was,McGeSt01,tackles_combined,1,,,,,
player,201711190nor,was,McGeSt01,tackles_solo,0,,,,,
player,201711190nor,was,McGeSt01,tackles_assists,1,,,,,
player,201711190nor,was,McGeSt01,tackles_loss,0,,,,,
player,201711190nor,was,McGeSt01,qb_hits,0,,,,,
player,201711190nor,was,McGeSt01,fumbles_rec,0,,,,,
player,201711190nor,was,McGeSt01,fumbles_rec_yds,0,,,,,
player,201711190nor,was,McGeSt01,fumbles_rec_td,0,,,,,
player,201711190nor,was,McGeSt01,fumbles_forced,0,,,,,
player,201711190nor,was,GaleJu00,def_int,0,,,,,
player,201711190nor,was,GaleJu00,def_int_yds,0,,,,,
player,201711190nor,was,GaleJu00,def_int_td,0,,,,,
player,201711190nor,was,GaleJu00,def_int_long,0,,,,,
