game,2017,11,20171119,201711190gnb,rav,"Baltimore Ravens",23,gnb,"Green Bay Packers",0
player,201711190gnb,gnb,KendLa00,pass_sacked,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_long,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_rating,,,,,,
player,201711190gnb,gnb,KendLa00,rush_att,0,,,,,
player,201711190gnb,gnb,KendLa00,rush_yds,0,,,,,
player,201711190gnb,gnb,KendLa00,rush_td,0,,,,,
player,201711190gnb,gnb,KendLa00,rush_long,0,,,,,
player,201711190gnb,gnb,KendLa00,targets,4,,,,,
player,201711190gnb,gnb,KendLa00,rec,1,,,,,
player,201711190gnb,gnb,KendLa00,rec_yds,5,,,,,
player,201711190gnb,gnb,KendLa00,rec_td,0,,,,,
player,201711190gnb,gnb,KendLa00,rec_long,5,,,,,
player,201711190gnb,gnb,KendLa00,fumbles,0,,,,,
player,201711190gnb,gnb,KendLa00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_cmp,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_att,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_yds,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_td,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_int,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_sacked,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_long,0,,,,,
player,201711190gnb,gnb,RodgRi00,pass_rating,,,,,,
player,201711190gnb,gnb,RodgRi00,rush_att,0,,,,,
player,201711190gnb,gnb,RodgRi00,rush_yds,0,,,,,
player,201711190gnb,gnb,RodgRi00,rush_td,0,,,,,
player,201711190gnb,gnb,RodgRi00,rush_long,0,,,,,
player,201711190gnb,gnb,RodgRi00,targets,1,,,,,
player,201711190gnb,gnb,RodgRi00,rec,1,,,,,
player,201711190gnb,gnb,RodgRi00,rec_yds,3,,,,,
player,201711190gnb,gnb,RodgRi00,rec_td,0,,,,,
player,201711190gnb,gnb,RodgRi00,rec_long,3,,,,,
player,201711190gnb,gnb,RodgRi00,fumbles,0,,,,,
player,201711190gnb,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_cmp,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_att,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_yds,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_td,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_int,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_sacked,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_long,0,,,,,
player,201711190gnb,gnb,KerrJo00,pass_rating,,,,,,
player,201711190gnb,gnb,KerrJo00,rush_att,0,,,,,
player,201711190gnb,gnb,KerrJo00,rush_yds,0,,,,,
player,201711190gnb,gnb,KerrJo00,rush_td,0,,,,,
player,201711190gnb,gnb,KerrJo00,rush_long,0,,,,,
player,201711190gnb,gnb,KerrJo00,targets,1,,,,,
player,201711190gnb,gnb,KerrJo00,rec,1,,,,,
player,201711190gnb,gnb,KerrJo00,rec_yds,3,,,,,
player,201711190gnb,gnb,KerrJo00,rec_td,0,,,,,
player,201711190gnb,gnb,KerrJo00,rec_long,3,,,,,
player,201711190gnb,gnb,KerrJo00,fumbles,0,,,,,
player,201711190gnb,gnb,KerrJo00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_cmp,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_att,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_yds,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_td,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_int,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_sacked,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_long,0,,,,,
player,201711190gnb,gnb,MaysDe00,pass_rating,,,,,,
player,201711190gnb,gnb,MaysDe00,rush_att,3,,,,,
player,201711190gnb,gnb,MaysDe00,rush_yds,-1,,,,,
player,201711190gnb,gnb,MaysDe00,rush_td,0,,,,,
player,201711190gnb,gnb,MaysDe00,rush_long,2,,,,,
player,201711190gnb,gnb,MaysDe00,targets,0,,,,,
