game,2011,14,20111211,201112110det,min,"Minnesota Vikings",28,det,"Detroit Lions",34
player,201112110det,min,GrifCe20,sacks,0.0,,,,,
player,201112110det,min,GrifCe20,tackles_combined,1,,,,,
player,201112110det,min,GrifCe20,tackles_solo,0,,,,,
player,201112110det,min,GrifCe20,tackles_assists,1,,,,,
player,201112110det,min,GrifCe20,tackles_loss,0,,,,,
player,201112110det,min,GrifCe20,qb_hits,0,,,,,
player,201112110det,min,GrifCe20,fumbles_rec,0,,,,,
player,201112110det,min,GrifCe20,fumbles_rec_yds,0,,,,,
player,201112110det,min,GrifCe20,fumbles_rec_td,0,,,,,
player,201112110det,min,GrifCe20,fumbles_forced,0,,,,,
player,201112110det,min,OnatKe00,def_int,0,,,,,
player,201112110det,min,OnatKe00,def_int_yds,0,,,,,
player,201112110det,min,OnatKe00,def_int_td,0,,,,,
player,201112110det,min,OnatKe00,def_int_long,0,,,,,
player,201112110det,min,OnatKe00,pass_defended,0,,,,,
player,201112110det,min,OnatKe00,sacks,0.0,,,,,
player,201112110det,min,OnatKe00,tackles_combined,1,,,,,
player,201112110det,min,OnatKe00,tackles_solo,1,,,,,
player,201112110det,min,OnatKe00,tackles_assists,0,,,,,
player,201112110det,min,OnatKe00,tackles_loss,0,,,,,
player,201112110det,min,OnatKe00,qb_hits,0,,,,,
player,201112110det,min,OnatKe00,fumbles_rec,0,,,,,
player,201112110det,min,OnatKe00,fumbles_rec_yds,0,,,,,
player,201112110det,min,OnatKe00,fumbles_rec_td,0,,,,,
player,201112110det,min,OnatKe00,fumbles_forced,0,,,,,
player,201112110det,min,SappBe20,def_int,0,,,,,
player,201112110det,min,SappBe20,def_int_yds,0,,,,,
player,201112110det,min,SappBe20,def_int_td,0,,,,,
player,201112110det,min,SappBe20,def_int_long,0,,,,,
player,201112110det,min,SappBe20,pass_defended,1,,,,,
player,201112110det,min,SappBe20,sacks,0.0,,,,,
player,201112110det,min,SappBe20,tackles_combined,1,,,,,
player,201112110det,min,SappBe20,tackles_solo,1,,,,,
player,201112110det,min,SappBe20,tackles_assists,0,,,,,
player,201112110det,min,SappBe20,tackles_loss,0,,,,,
player,201112110det,min,SappBe20,qb_hits,0,,,,,
player,201112110det,min,SappBe20,fumbles_rec,0,,,,,
player,201112110det,min,SappBe20,fumbles_rec_yds,0,,,,,
player,201112110det,min,SappBe20,fumbles_rec_td,0,,,,,
player,201112110det,min,SappBe20,fumbles_forced,0,,,,,
player,201112110det,min,SendAn00,def_int,0,,,,,
player,201112110det,min,SendAn00,def_int_yds,0,,,,,
player,201112110det,min,SendAn00,def_int_td,0,,,,,
player,201112110det,min,SendAn00,def_int_long,0,,,,,
player,201112110det,min,SendAn00,pass_defended,0,,,,,
player,201112110det,min,SendAn00,sacks,0.0,,,,,
player,201112110det,min,SendAn00,tackles_combined,1,,,,,
player,201112110det,min,SendAn00,tackles_solo,1,,,,,
player,201112110det,min,SendAn00,tackles_assists,0,,,,,
player,201112110det,min,SendAn00,tackles_loss,0,,,,,
player,201112110det,min,SendAn00,qb_hits,0,,,,,
player,201112110det,min,SendAn00,fumbles_rec,0,,,,,
player,201112110det,min,SendAn00,fumbles_rec_yds,0,,,,,
player,201112110det,min,SendAn00,fumbles_rec_td,0,,,,,
player,201112110det,min,SendAn00,fumbles_forced,0,,,,,
player,201112110det,min,BurtBr00,def_int,,,,,,
player,201112110det,min,BurtBr00,def_int_yds,,,,,,
player,201112110det,min,BurtBr00,def_int_td,,,,,,
player,201112110det,min,BurtBr00,def_int_long,,,,,,
player,201112110det,min,BurtBr00,pass_defended,0,,,,,
player,201112110det,min,BurtBr00,sacks,0.0,,,,,
player,201112110det,min,BurtBr00,tackles_combined,1,,,,,
player,201112110det,min,BurtBr00,tackles_solo,1,,,,,
player,201112110det,min,BurtBr00,tackles_assists,0,,,,,
player,201112110det,min,BurtBr00,tackles_loss,0,,,,,
player,201112110det,min,BurtBr00,qb_hits,0,,,,,
player,201112110det,min,BurtBr00,fumbles_rec,0,,,,,
player,201112110det,min,BurtBr00,fumbles_rec_yds,,,,,,
player,201112110det,min,BurtBr00,fumbles_rec_td,,,,,,
player,201112110det,min,BurtBr00,fumbles_forced,0,,,,,
player,201112110det,det,SmitAl98,def_int,2,,,,,
player,201112110det,det,SmitAl98,def_int_yds,34,,,,,
player,201112110det,det,SmitAl98,def_int_td,1,,,,,
player,201112110det,det,SmitAl98,def_int_long,30,,,,,
player,201112110det,det,SmitAl98,pass_defended,3,,,,,
player,201112110det,det,SmitAl98,sacks,0.0,,,,,
player,201112110det,det,SmitAl98,tackles_combined,5,,,,,
player,201112110det,det,SmitAl98,tackles_solo,5,,,,,
player,201112110det,det,SmitAl98,tackles_assists,0,,,,,
player,201112110det,det,SmitAl98,tackles_loss,0,,,,,
player,201112110det,det,SmitAl98,qb_hits,0,,,,,
player,201112110det,det,SmitAl98,fumbles_rec,0,,,,,
player,201112110det,det,SmitAl98,fumbles_rec_yds,0,,,,,
player,201112110det,det,SmitAl98,fumbles_rec_td,0,,,,,
