game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
player,201112190sfo,sfo,MillBr02,pass_rating,,,,,,
player,201112190sfo,sfo,MillBr02,rush_att,1,,,,,
player,201112190sfo,sfo,MillBr02,rush_yds,3,,,,,
player,201112190sfo,sfo,MillBr02,rush_td,0,,,,,
player,201112190sfo,sfo,MillBr02,rush_long,3,,,,,
player,201112190sfo,sfo,MillBr02,targets,0,,,,,
player,201112190sfo,sfo,MillBr02,rec,0,,,,,
player,201112190sfo,sfo,MillBr02,rec_yds,0,,,,,
player,201112190sfo,sfo,MillBr02,rec_td,0,,,,,
player,201112190sfo,sfo,MillBr02,rec_long,0,,,,,
player,201112190sfo,sfo,MillBr02,fumbles,0,,,,,
player,201112190sfo,sfo,MillBr02,fumbles_lost,,,,,,
player,201112190sfo,sfo,HuntKe00,pass_cmp,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_att,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_yds,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_td,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_int,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_sacked,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_long,0,,,,,
player,201112190sfo,sfo,HuntKe00,pass_rating,,,,,,
player,201112190sfo,sfo,HuntKe00,rush_att,2,,,,,
player,201112190sfo,sfo,HuntKe00,rush_yds,2,,,,,
player,201112190sfo,sfo,HuntKe00,rush_td,0,,,,,
player,201112190sfo,sfo,HuntKe00,rush_long,2,,,,,
player,201112190sfo,sfo,HuntKe00,targets,2,,,,,
player,201112190sfo,sfo,HuntKe00,rec,2,,,,,
player,201112190sfo,sfo,HuntKe00,rec_yds,24,,,,,
player,201112190sfo,sfo,HuntKe00,rec_td,0,,,,,
player,201112190sfo,sfo,HuntKe00,rec_long,27,,,,,
player,201112190sfo,sfo,HuntKe00,fumbles,0,,,,,
player,201112190sfo,sfo,HuntKe00,fumbles_lost,,,,,,
player,201112190sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201112190sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201112190sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201112190sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201112190sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201112190sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201112190sfo,sfo,DaviVe00,targets,10,,,,,
player,201112190sfo,sfo,DaviVe00,rec,6,,,,,
player,201112190sfo,sfo,DaviVe00,rec_yds,72,,,,,
player,201112190sfo,sfo,DaviVe00,rec_td,1,,,,,
player,201112190sfo,sfo,DaviVe00,rec_long,31,,,,,
player,201112190sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201112190sfo,sfo,DaviVe00,fumbles_lost,,,,,,
player,201112190sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201112190sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201112190sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201112190sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201112190sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201112190sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201112190sfo,sfo,CrabMi00,targets,7,,,,,
player,201112190sfo,sfo,CrabMi00,rec,4,,,,,
player,201112190sfo,sfo,CrabMi00,rec_yds,35,,,,,
player,201112190sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201112190sfo,sfo,CrabMi00,rec_long,12,,,,,
player,201112190sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201112190sfo,sfo,CrabMi00,fumbles_lost,,,,,,
player,201112190sfo,sfo,WillKy01,pass_cmp,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_att,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_yds,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_td,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_int,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_sacked,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_long,0,,,,,
player,201112190sfo,sfo,WillKy01,pass_rating,,,,,,
player,201112190sfo,sfo,WillKy01,rush_att,0,,,,,
player,201112190sfo,sfo,WillKy01,rush_yds,0,,,,,
player,201112190sfo,sfo,WillKy01,rush_td,0,,,,,
player,201112190sfo,sfo,WillKy01,rush_long,0,,,,,
player,201112190sfo,sfo,WillKy01,targets,5,,,,,
player,201112190sfo,sfo,WillKy01,rec,4,,,,,
player,201112190sfo,sfo,WillKy01,rec_yds,33,,,,,
player,201112190sfo,sfo,WillKy01,rec_td,0,,,,,
player,201112190sfo,sfo,WillKy01,rec_long,10,,,,,
player,201112190sfo,sfo,WillKy01,fumbles,0,,,,,
player,201112190sfo,sfo,WillKy01,fumbles_lost,,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_cmp,0,,,,,
player,201112190sfo,sfo,SwaiBr00,pass_att,0,,,,,
