game,2011,10,20111113,201111130tam,htx,"Houston Texans",37,tam,"Tampa Bay Buccaneers",9
player,201111130tam,tam,WinsKe01,pass_td,0,,,,,
player,201111130tam,tam,WinsKe01,pass_int,0,,,,,
player,201111130tam,tam,WinsKe01,pass_sacked,0,,,,,
player,201111130tam,tam,WinsKe01,pass_sacked_yds,0,,,,,
player,201111130tam,tam,WinsKe01,pass_long,0,,,,,
player,201111130tam,tam,WinsKe01,pass_rating,,,,,,
player,201111130tam,tam,WinsKe01,rush_att,0,,,,,
player,201111130tam,tam,WinsKe01,rush_yds,0,,,,,
player,201111130tam,tam,WinsKe01,rush_td,0,,,,,
player,201111130tam,tam,WinsKe01,rush_long,0,,,,,
player,201111130tam,tam,WinsKe01,targets,6,,,,,
player,201111130tam,tam,WinsKe01,rec,3,,,,,
player,201111130tam,tam,WinsKe01,rec_yds,33,,,,,
player,201111130tam,tam,WinsKe01,rec_td,0,,,,,
player,201111130tam,tam,WinsKe01,rec_long,14,,,,,
player,201111130tam,tam,WinsKe01,fumbles,0,,,,,
player,201111130tam,tam,WinsKe01,fumbles_lost,,,,,,
player,201111130tam,tam,ParkPr00,pass_cmp,0,,,,,
player,201111130tam,tam,ParkPr00,pass_att,0,,,,,
player,201111130tam,tam,ParkPr00,pass_yds,0,,,,,
player,201111130tam,tam,ParkPr00,pass_td,0,,,,,
player,201111130tam,tam,ParkPr00,pass_int,0,,,,,
player,201111130tam,tam,ParkPr00,pass_sacked,0,,,,,
player,201111130tam,tam,ParkPr00,pass_sacked_yds,0,,,,,
player,201111130tam,tam,ParkPr00,pass_long,0,,,,,
player,201111130tam,tam,ParkPr00,pass_rating,,,,,,
player,201111130tam,tam,ParkPr00,rush_att,0,,,,,
player,201111130tam,tam,ParkPr00,rush_yds,0,,,,,
player,201111130tam,tam,ParkPr00,rush_td,0,,,,,
player,201111130tam,tam,ParkPr00,rush_long,0,,,,,
player,201111130tam,tam,ParkPr00,targets,4,,,,,
player,201111130tam,tam,ParkPr00,rec,2,,,,,
player,201111130tam,tam,ParkPr00,rec_yds,17,,,,,
player,201111130tam,tam,ParkPr00,rec_td,1,,,,,
player,201111130tam,tam,ParkPr00,rec_long,9,,,,,
player,201111130tam,tam,ParkPr00,fumbles,1,,,,,
player,201111130tam,tam,ParkPr00,fumbles_lost,0,,,,,
player,201111130tam,tam,PianZa00,pass_cmp,0,,,,,
player,201111130tam,tam,PianZa00,pass_att,0,,,,,
player,201111130tam,tam,PianZa00,pass_yds,0,,,,,
player,201111130tam,tam,PianZa00,pass_td,0,,,,,
player,201111130tam,tam,PianZa00,pass_int,0,,,,,
player,201111130tam,tam,PianZa00,pass_sacked,0,,,,,
player,201111130tam,tam,PianZa00,pass_sacked_yds,0,,,,,
player,201111130tam,tam,PianZa00,pass_long,0,,,,,
player,201111130tam,tam,PianZa00,pass_rating,,,,,,
player,201111130tam,tam,PianZa00,rush_att,0,,,,,
player,201111130tam,tam,PianZa00,rush_yds,0,,,,,
player,201111130tam,tam,PianZa00,rush_td,0,,,,,
player,201111130tam,tam,PianZa00,rush_long,0,,,,,
player,201111130tam,tam,PianZa00,targets,1,,,,,
player,201111130tam,tam,PianZa00,rec,0,,,,,
player,201111130tam,tam,PianZa00,rec_yds,0,,,,,
player,201111130tam,tam,PianZa00,rec_td,0,,,,,
player,201111130tam,tam,PianZa00,rec_long,0,,,,,
player,201111130tam,tam,PianZa00,fumbles,0,,,,,
player,201111130tam,tam,PianZa00,fumbles_lost,,,,,,
player,201111130tam,tam,StroSa00,pass_cmp,0,,,,,
player,201111130tam,tam,StroSa00,pass_att,0,,,,,
player,201111130tam,tam,StroSa00,pass_yds,0,,,,,
player,201111130tam,tam,StroSa00,pass_td,0,,,,,
