game,2011,4,20111003,201110030tam,clt,"Indianapolis Colts",17,tam,"Tampa Bay Buccaneers",24
player,201110030tam,clt,ConnKa99,def_int_yds,0,,,,,
player,201110030tam,clt,ConnKa99,def_int_td,0,,,,,
player,201110030tam,clt,ConnKa99,def_int_long,0,,,,,
player,201110030tam,clt,ConnKa99,pass_defended,0,,,,,
player,201110030tam,clt,ConnKa99,sacks,0.0,,,,,
player,201110030tam,clt,ConnKa99,tackles_combined,18,,,,,
player,201110030tam,clt,ConnKa99,tackles_solo,14,,,,,
player,201110030tam,clt,ConnKa99,tackles_assists,4,,,,,
player,201110030tam,clt,ConnKa99,tackles_loss,1,,,,,
player,201110030tam,clt,ConnKa99,qb_hits,0,,,,,
player,201110030tam,clt,ConnKa99,fumbles_rec,0,,,,,
player,201110030tam,clt,ConnKa99,fumbles_rec_yds,0,,,,,
player,201110030tam,clt,ConnKa99,fumbles_rec_td,0,,,,,
player,201110030tam,clt,ConnKa99,fumbles_forced,0,,,,,
player,201110030tam,clt,WheePh99,def_int,0,,,,,
player,201110030tam,clt,WheePh99,def_int_yds,0,,,,,
