game,2011,11,20111120,201111200cle,jax,"Jacksonville Jaguars",10,cle,"Cleveland Browns",14
player,201111200cle,jax,RothMa20,fumbles_rec_td,0,,,,,
player,201111200cle,jax,RothMa20,fumbles_forced,0,,,,,
player,201111200cle,jax,AlleRu00,def_int,0,,,,,
player,201111200cle,jax,AlleRu00,def_int_yds,0,,,,,
player,201111200cle,jax,AlleRu00,def_int_td,0,,,,,
player,201111200cle,jax,AlleRu00,def_int_long,0,,,,,
player,201111200cle,jax,AlleRu00,pass_defended,0,,,,,
player,201111200cle,jax,AlleRu00,sacks,0.5,,,,,
player,201111200cle,jax,AlleRu00,tackles_combined,2,,,,,
player,201111200cle,jax,AlleRu00,tackles_solo,1,,,,,
