game,2011,3,20110925,201109250ram,rav,"Baltimore Ravens",37,ram,"St. Louis Rams",7
player,201109250ram,ram,KendLa00,pass_sacked,0,,,,,
player,201109250ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201109250ram,ram,KendLa00,pass_long,0,,,,,
player,201109250ram,ram,KendLa00,pass_rating,,,,,,
player,201109250ram,ram,KendLa00,rush_att,1,,,,,
player,201109250ram,ram,KendLa00,rush_yds,-8,,,,,
player,201109250ram,ram,KendLa00,rush_td,0,,,,,
player,201109250ram,ram,KendLa00,rush_long,-8,,,,,
player,201109250ram,ram,KendLa00,targets,3,,,,,
player,201109250ram,ram,KendLa00,rec,2,,,,,
player,201109250ram,ram,KendLa00,rec_yds,25,,,,,
player,201109250ram,ram,KendLa00,rec_td,0,,,,,
player,201109250ram,ram,KendLa00,rec_long,13,,,,,
player,201109250ram,ram,KendLa00,fumbles,0,,,,,
player,201109250ram,ram,KendLa00,fumbles_lost,,,,,,
player,201109250ram,rav,WebbLa99,def_int,1,,,,,
player,201109250ram,rav,WebbLa99,def_int_yds,0,,,,,
player,201109250ram,rav,WebbLa99,def_int_td,0,,,,,
player,201109250ram,rav,WebbLa99,def_int_long,0,,,,,
player,201109250ram,rav,WebbLa99,pass_defended,1,,,,,
player,201109250ram,rav,WebbLa99,sacks,0.0,,,,,
player,201109250ram,rav,WebbLa99,tackles_combined,4,,,,,
player,201109250ram,rav,WebbLa99,tackles_solo,4,,,,,
player,201109250ram,rav,WebbLa99,tackles_assists,0,,,,,
player,201109250ram,rav,WebbLa99,tackles_loss,0,,,,,
player,201109250ram,rav,WebbLa99,qb_hits,0,,,,,
player,201109250ram,rav,WebbLa99,fumbles_rec,0,,,,,
player,201109250ram,rav,WebbLa99,fumbles_rec_yds,0,,,,,
player,201109250ram,rav,WebbLa99,fumbles_rec_td,0,,,,,
player,201109250ram,rav,WebbLa99,fumbles_forced,0,,,,,
player,201109250ram,rav,LewiRa00,def_int,0,,,,,
player,201109250ram,rav,LewiRa00,def_int_yds,0,,,,,
player,201109250ram,rav,LewiRa00,def_int_td,0,,,,,
player,201109250ram,rav,LewiRa00,def_int_long,0,,,,,
player,201109250ram,rav,LewiRa00,pass_defended,0,,,,,
player,201109250ram,rav,LewiRa00,sacks,1.0,,,,,
