game,2011,11,20111120,201111200atl,oti,"Tennessee Titans",17,atl,"Atlanta Falcons",23
player,201111200atl,oti,FinnCo20,sacks,0.0,,,,,
player,201111200atl,oti,FinnCo20,tackles_combined,4,,,,,
player,201111200atl,oti,FinnCo20,tackles_solo,4,,,,,
player,201111200atl,oti,FinnCo20,tackles_assists,0,,,,,
player,201111200atl,oti,FinnCo20,tackles_loss,0,,,,,
player,201111200atl,oti,FinnCo20,qb_hits,0,,,,,
player,201111200atl,oti,FinnCo20,fumbles_rec,0,,,,,
player,201111200atl,oti,FinnCo20,fumbles_rec_yds,0,,,,,
player,201111200atl,oti,FinnCo20,fumbles_rec_td,0,,,,,
player,201111200atl,oti,FinnCo20,fumbles_forced,0,,,,,
player,201111200atl,oti,GrifMi99,def_int,0,,,,,
player,201111200atl,oti,GrifMi99,def_int_yds,0,,,,,
player,201111200atl,oti,GrifMi99,def_int_td,0,,,,,
player,201111200atl,oti,GrifMi99,def_int_long,0,,,,,
player,201111200atl,oti,GrifMi99,pass_defended,0,,,,,
player,201111200atl,oti,GrifMi99,sacks,0.0,,,,,
player,201111200atl,oti,GrifMi99,tackles_combined,4,,,,,
