game,2011,10,20111113,201111130sfo,nyg,"New York Giants",20,sfo,"San Francisco 49ers",27
player,201111130sfo,nyg,BernRo20,def_int_yds,,,,,,
player,201111130sfo,nyg,BernRo20,def_int_td,,,,,,
player,201111130sfo,nyg,BernRo20,def_int_long,,,,,,
player,201111130sfo,nyg,BernRo20,pass_defended,1,,,,,
player,201111130sfo,nyg,BernRo20,sacks,0.0,,,,,
player,201111130sfo,nyg,BernRo20,tackles_combined,0,,,,,
player,201111130sfo,nyg,BernRo20,tackles_solo,0,,,,,
player,201111130sfo,nyg,BernRo20,tackles_assists,0,,,,,
player,201111130sfo,nyg,BernRo20,tackles_loss,0,,,,,
player,201111130sfo,nyg,BernRo20,qb_hits,0,,,,,
player,201111130sfo,nyg,BernRo20,fumbles_rec,0,,,,,
player,201111130sfo,nyg,BernRo20,fumbles_rec_yds,,,,,,
player,201111130sfo,nyg,BernRo20,fumbles_rec_td,,,,,,
player,201111130sfo,nyg,BernRo20,fumbles_forced,0,,,,,
player,201111130sfo,sfo,RogeCa20,def_int,2,,,,,
player,201111130sfo,sfo,RogeCa20,def_int_yds,17,,,,,
player,201111130sfo,sfo,RogeCa20,def_int_td,0,,,,,
player,201111130sfo,sfo,RogeCa20,def_int_long,17,,,,,
player,201111130sfo,sfo,RogeCa20,pass_defended,2,,,,,
player,201111130sfo,sfo,RogeCa20,sacks,0.0,,,,,
player,201111130sfo,sfo,RogeCa20,tackles_combined,6,,,,,
player,201111130sfo,sfo,RogeCa20,tackles_solo,5,,,,,
player,201111130sfo,sfo,RogeCa20,tackles_assists,1,,,,,
player,201111130sfo,sfo,RogeCa20,tackles_loss,0,,,,,
player,201111130sfo,sfo,RogeCa20,qb_hits,0,,,,,
player,201111130sfo,sfo,RogeCa20,fumbles_rec,0,,,,,
player,201111130sfo,sfo,RogeCa20,fumbles_rec_yds,0,,,,,
player,201111130sfo,sfo,RogeCa20,fumbles_rec_td,0,,,,,
player,201111130sfo,sfo,RogeCa20,fumbles_forced,0,,,,,
player,201111130sfo,sfo,WillPa98,def_int,0,,,,,
player,201111130sfo,sfo,WillPa98,def_int_yds,0,,,,,
player,201111130sfo,sfo,WillPa98,def_int_td,0,,,,,
player,201111130sfo,sfo,WillPa98,def_int_long,0,,,,,
player,201111130sfo,sfo,WillPa98,pass_defended,0,,,,,
player,201111130sfo,sfo,WillPa98,sacks,1.0,,,,,
player,201111130sfo,sfo,WillPa98,tackles_combined,11,,,,,
player,201111130sfo,sfo,WillPa98,tackles_solo,9,,,,,
player,201111130sfo,sfo,WillPa98,tackles_assists,2,,,,,
player,201111130sfo,sfo,WillPa98,tackles_loss,2,,,,,
player,201111130sfo,sfo,WillPa98,qb_hits,1,,,,,
player,201111130sfo,sfo,WillPa98,fumbles_rec,0,,,,,
player,201111130sfo,sfo,WillPa98,fumbles_rec_yds,0,,,,,
player,201111130sfo,sfo,WillPa98,fumbles_rec_td,0,,,,,
player,201111130sfo,sfo,WillPa98,fumbles_forced,0,,,,,
player,201111130sfo,sfo,BowmNa99,def_int,0,,,,,
player,201111130sfo,sfo,BowmNa99,def_int_yds,0,,,,,
player,201111130sfo,sfo,BowmNa99,def_int_td,0,,,,,
player,201111130sfo,sfo,BowmNa99,def_int_long,0,,,,,
player,201111130sfo,sfo,BowmNa99,pass_defended,0,,,,,
player,201111130sfo,sfo,BowmNa99,sacks,0.0,,,,,
player,201111130sfo,sfo,BowmNa99,tackles_combined,15,,,,,
player,201111130sfo,sfo,BowmNa99,tackles_solo,11,,,,,
player,201111130sfo,sfo,BowmNa99,tackles_assists,4,,,,,
player,201111130sfo,sfo,BowmNa99,tackles_loss,1,,,,,
player,201111130sfo,sfo,BowmNa99,qb_hits,0,,,,,
player,201111130sfo,sfo,BowmNa99,fumbles_rec,0,,,,,
player,201111130sfo,sfo,BowmNa99,fumbles_rec_yds,0,,,,,
player,201111130sfo,sfo,BowmNa99,fumbles_rec_td,0,,,,,
player,201111130sfo,sfo,BowmNa99,fumbles_forced,0,,,,,
player,201111130sfo,sfo,WhitDo20,def_int,0,,,,,
player,201111130sfo,sfo,WhitDo20,def_int_yds,0,,,,,
